Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
102901,C.J. Bryce\cj-bryce-1,G,2016-11-26,North Carolina-Wilmington,,Evansville,W,1,38,6,11,.545,5,9,.556,1,2,.500,2,2,1.000,4,3,7,1,1,1,2,2,15,13.0
102902,Willie Wiley\willie-wiley-1,C,2016-11-26,Evansville,,North Carolina-Wilmington,L,1,33,7,11,.636,7,11,.636,0,0,,1,3,.333,3,3,6,1,2,0,0,4,15,13.4
102903,Marcus Barham\marcus-barham-1,G,2016-11-26,Florida A&M,,Stetson,L,1,26,6,14,.429,3,6,.500,3,8,.375,0,0,,1,1,2,1,0,0,2,4,15,5.7
102904,Drew Charles\drew-charles-1,G,2016-11-26,Texas-Arlington,@,Fordham,W,1,27,5,7,.714,0,0,,5,7,.714,0,0,,1,5,6,1,2,0,1,0,15,16.0
102905,Kevin Hervey\kevin-hervey-1,F,2016-11-26,Texas-Arlington,@,Fordham,W,1,27,3,8,.375,3,5,.600,0,3,.000,9,13,.692,0,7,7,1,1,0,2,1,15,10.4
102906,Tyler Cavanaugh\tyler-cavanaugh-1,F,2016-11-26,George Washington,,Penn State,L,1,27,4,9,.444,3,5,.600,1,4,.250,6,6,1.000,2,2,4,3,1,1,5,4,15,9.5
102907,Anthony Lamb\anthony-lamb-2,F,2017-01-05,Vermont,@,Maine,W,1,22,6,10,.600,6,10,.600,0,0,,3,6,.500,1,3,4,1,1,0,3,1,15,9.1
102908,Kahron Ross\kahron-ross-1,G,2017-01-05,Lehigh,,Loyola (MD),L,1,38,4,7,.571,3,5,.600,1,2,.500,6,8,.750,0,1,1,9,2,1,2,2,15,17.4
102909,Andrew Kostecka\andrew-kostecka-1,G,2017-01-05,Loyola (MD),@,Lehigh,W,0,22,4,7,.571,1,2,.500,3,5,.600,4,4,1.000,1,6,7,1,1,0,2,1,15,13.5
102910,Jorden Kite\jorden-kite-1,G,2017-01-05,Incarnate Word,,Northwestern State,W,0,18,3,6,.500,0,0,,3,6,.500,6,8,.750,0,1,1,0,1,0,1,0,15,11.5
102911,Jalin Hart\jalin-hart-1,G,2017-01-05,Incarnate Word,,Northwestern State,W,0,34,7,13,.538,7,11,.636,0,2,.000,1,4,.250,0,1,1,6,2,1,2,5,15,10.7
102912,Braxton Huggins\braxton-huggins-1,G,2016-12-27,New Mexico State,,Eastern New Mexico,W,1,24,4,8,.500,1,3,.333,3,5,.600,4,5,.800,0,4,4,2,0,1,2,4,15,10.3
102913,Arnaud William Adala Moto\arnaudwilliam-adalamoto-1,F,2017-01-05,Towson,@,College of Charleston,L,1,32,7,15,.467,7,15,.467,0,0,,1,4,.250,0,4,4,0,0,0,2,4,15,3.7
102914,Trayvon Palmer\trayvon-palmer-1,G,2017-01-05,Chicago State,,Texas-Rio Grande Valley,L,1,34,3,6,.500,3,5,.600,0,1,.000,9,11,.818,2,10,12,2,3,1,3,2,15,16.9
102915,Tidell Pierre\tidell-pierre-1,F,2017-01-05,Central Connecticut State,,Sacred Heart,L,1,34,6,13,.462,6,13,.462,0,0,,3,5,.600,4,6,10,0,1,0,1,3,15,10.9
102916,Nisre Zouzoua\nisre-zouzoua-1,G,2017-01-05,Bryant,,Mount St. Mary's,W,0,36,5,13,.385,4,10,.400,1,3,.333,4,5,.800,1,3,4,0,1,0,2,4,15,6.5
102917,Matthew Butler\matthew-butler-1,G,2017-01-05,Tennessee-Martin,@,Belmont,L,1,39,6,15,.400,5,9,.556,1,6,.167,2,2,1.000,1,3,4,3,1,0,3,1,15,8.2
102918,Dylan Windler\dylan-windler-1,G,2017-01-05,Belmont,,Tennessee-Martin,W,1,29,5,7,.714,2,2,1.000,3,5,.600,2,2,1.000,2,5,7,2,2,0,0,4,15,16.8
102919,Obinna Oleka\obinna-oleka-1,F,2017-01-05,Arizona State,,Colorado,W,1,35,7,11,.636,7,8,.875,0,3,.000,1,2,.500,3,7,10,0,1,1,3,3,15,11.4
102920,Reed Tellinghuisen\reed-tellinghuisen-1,G,2017-01-04,South Dakota State,@,Western Illinois,L,1,36,4,9,.444,2,4,.500,2,5,.400,5,7,.714,0,6,6,2,0,1,1,5,15,10.4
102921,Ike Iroegbu\ike-iroegbu-1,G,2017-01-04,Washington State,,Oregon State,W,1,39,5,8,.625,5,7,.714,0,1,.000,5,6,.833,0,6,6,4,2,0,2,1,15,15.2
102922,Marcus Foster\marcus-foster-1,G,2017-01-04,Creighton,@,St. John's (NY),W,1,33,6,16,.375,6,13,.462,0,3,.000,3,3,1.000,0,1,1,0,1,0,0,2,15,6.7
102923,Brenton Scott\brenton-scott-1,G,2017-01-04,Indiana State,@,Southern Illinois,L,1,36,6,12,.500,3,7,.429,3,5,.600,0,2,.000,0,5,5,1,2,0,2,3,15,9.2
102924,Gian Clavell\gian-clavell-1,G,2017-01-04,Colorado State,@,San Jose State,W,1,36,6,12,.500,4,7,.571,2,5,.400,1,2,.500,0,4,4,0,0,0,1,0,15,8.8
102925,Rodney Bullock\rodney-bullock-1,F,2017-01-04,Providence,,Georgetown,W,1,33,5,12,.417,5,8,.625,0,4,.000,5,6,.833,1,8,9,5,0,3,2,4,15,13.3
102926,Kyron Cartwright\kyron-cartwright-1,G,2017-01-04,Providence,,Georgetown,W,1,39,5,11,.455,4,8,.500,1,3,.333,4,4,1.000,0,4,4,3,1,0,2,2,15,10.8
102927,Devon Hall\devon-hall-1,G,2017-01-04,Virginia,@,Pittsburgh,L,1,39,6,13,.462,4,7,.571,2,6,.333,1,1,1.000,2,7,9,1,1,1,0,3,15,13.0
102928,Chris Clarke\chris-clarke-2,G,2017-01-04,Virginia Tech,@,North Carolina State,L,1,32,5,12,.417,5,11,.455,0,1,.000,5,8,.625,1,3,4,5,3,0,4,2,15,10.7
102929,Tim Coleman\tim-coleman-2,F,2017-01-04,NJIT,,Brown,W,1,32,3,10,.300,3,8,.375,0,2,.000,9,11,.818,1,8,9,5,3,2,1,4,15,16.8
102930,Max Hoetzel\max-hoetzel-1,F,2017-01-04,San Diego State,@,Nevada,L,1,29,5,10,.500,0,1,.000,5,9,.556,0,0,,1,3,4,1,1,0,1,3,15,11.1
102931,Kevin Puryear\kevin-puryear-1,F,2017-01-04,Missouri,,Louisiana State,L,1,27,7,12,.583,6,8,.750,1,4,.250,0,1,.000,2,5,7,0,0,0,3,5,15,6.9
102932,Nick Ward\nick-ward-1,F,2017-01-04,Michigan State,,Rutgers,W,1,24,5,9,.556,5,9,.556,0,0,,5,8,.625,2,4,6,2,1,4,0,2,15,16.5
102933,Nigel Johnson\nigel-johnson-2,G,2017-01-04,Rutgers,@,Michigan State,L,1,29,6,12,.500,5,10,.500,1,2,.500,2,4,.500,0,1,1,1,2,0,1,1,15,9.8
102934,Ben Richardson\ben-richardson-1,G,2017-01-04,Loyola (IL),,Northern Iowa,W,1,37,5,9,.556,3,5,.600,2,4,.500,3,4,.750,0,3,3,5,1,0,3,3,15,11.5
102935,Tarique Thompson\tarique-thompson-1,F,2017-01-04,High Point,,Winthrop,L,0,23,7,7,1.000,6,6,1.000,1,1,1.000,0,0,,2,3,5,0,1,0,0,2,15,15.4
102936,Miles Bowman\miles-bowman-1,F,2017-01-04,High Point,,Winthrop,L,1,26,4,12,.333,4,8,.500,0,4,.000,7,9,.778,2,9,11,0,0,0,0,3,15,10.3
102937,Bjorn Broman\bjorn-broman-1,G,2017-01-04,Winthrop,@,High Point,W,1,33,5,7,.714,0,0,,5,7,.714,0,0,,1,0,1,5,0,0,1,2,15,14.5
102938,Donte Clark\donte-clark-1,G,2017-01-04,Massachusetts,@,George Mason,L,1,34,6,18,.333,5,12,.417,1,6,.167,2,2,1.000,2,5,7,1,0,1,2,5,15,5.1
102939,Grayson Allen\grayson-allen-1,G,2017-01-04,Duke,,Georgia Tech,W,1,27,3,5,.600,1,1,1.000,2,4,.500,7,7,1.000,1,2,3,7,1,0,1,0,15,18.9
102940,Frank Jackson\frank-jackson-2,G,2017-01-04,Duke,,Georgia Tech,W,0,24,5,9,.556,1,2,.500,4,7,.571,1,1,1.000,0,2,2,4,1,0,0,2,15,14.3
102941,Ryan Kemrite\ryan-kemrite-1,G,2016-12-19,Liberty,@,Lamar,L,1,33,7,10,.700,7,7,1.000,0,3,.000,1,3,.333,1,3,4,1,1,0,3,4,15,8.7
