Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
202601,Tim Burns\tim-burns-2,G,2010-11-20,Maryland-Eastern Shore,,Kean,W,1,27,4,7,.571,4,5,.800,0,2,.000,3,3,1.000,0,3,3,3,1,0,0,0,11,11.7
202602,Diego Kapelan\diego-kapelan-1,G,2010-11-20,McNeese State,,Louisiana College,W,1,17,4,9,.444,1,5,.200,3,4,.750,0,0,,1,2,3,1,2,0,0,1,11,9.9
202603,Quinten Rollins\quinten-rollins-1,G,2010-11-20,Miami (OH),,IUPUI,W,1,39,4,5,.800,3,3,1.000,1,2,.500,2,3,.667,0,5,5,0,1,0,4,2,11,6.4
202604,Stephen Thomas\stephen-thomas-2,G,2010-11-20,IUPUI,@,Miami (OH),L,0,33,4,6,.667,3,5,.600,1,1,1.000,2,2,1.000,0,1,1,2,3,1,1,2,11,12.0
202605,Lucas O'Rear\lucas-orear-1,F,2010-11-20,Northern Iowa,@,Milwaukee,L,1,28,3,5,.600,3,5,.600,0,0,,5,8,.625,2,4,6,0,2,0,1,3,11,9.9
202606,Chris Warren\chris-warren-2,G,2010-11-20,Mississippi,,Dayton,L,1,36,4,17,.235,3,5,.600,1,12,.083,2,2,1.000,1,0,1,6,0,0,2,3,11,2.4
202607,Michael Dixon\michael-dixon-1,G,2010-11-20,Missouri,,North Florida,W,1,16,2,2,1.000,1,1,1.000,1,1,1.000,6,8,.750,0,2,2,4,5,0,2,4,11,14.4
202608,Brandon Gibson\brandon-gibson-1,G,2010-11-20,Louisiana Tech,,Navy,W,1,25,5,9,.556,4,5,.800,1,4,.250,0,1,.000,1,5,6,2,2,0,1,3,11,9.7
202609,Jordan Sugars\jordan-sugars-1,G,2010-11-20,Navy,,Louisiana Tech,L,1,34,4,15,.267,1,5,.200,3,10,.300,0,0,,1,2,3,1,0,0,3,4,11,-0.5
202610,Ryan Evans\ryan-evans-1,G,2010-11-20,Wisconsin,@,Nevada-Las Vegas,L,0,20,4,8,.500,4,8,.500,0,0,,3,4,.750,1,5,6,0,0,0,4,2,11,4.0
202611,Dane DiLiegro\dane-diliegro-1,C,2010-11-20,New Hampshire,,Holy Cross,W,1,34,5,11,.455,5,11,.455,0,0,,1,1,1.000,6,3,9,2,2,0,0,3,11,12.6
202612,Mike Cavataio\mike-cavataio-1,G,2010-11-20,Holy Cross,@,New Hampshire,L,1,33,4,11,.364,4,11,.364,0,0,,3,4,.750,3,4,7,1,2,0,2,3,11,7.3
202613,John Williams\john-williams-6,F,2010-11-20,North Carolina-Asheville,,Virginia Intermont,W,1,21,4,9,.444,4,8,.500,0,1,.000,3,3,1.000,1,4,5,1,5,2,1,0,11,14.3
202614,O.D. Anosike\od-anosike-1,F,2010-11-20,Siena,@,Northeastern,W,1,22,5,7,.714,5,7,.714,0,0,,1,1,1.000,0,3,3,0,1,1,3,4,11,6.1
202615,Mike Liabo\mike-liabo-1,G,2010-11-20,Tennessee-Martin,@,Northwestern State,L,1,20,4,12,.333,3,8,.375,1,4,.250,2,2,1.000,2,2,4,0,1,0,2,0,11,5.2
202616,Jared Sullinger\jared-sullinger-1,F,2010-11-20,Ohio State,,North Carolina-Wilmington,W,1,27,3,6,.500,3,5,.600,0,1,.000,5,8,.625,2,6,8,0,2,0,4,2,11,7.2
