Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
82201,Delon Wright\delon-wright-1,G,2015-03-13,Utah,,Oregon,L,1,38,5,8,.625,4,7,.571,1,1,1.000,5,7,.714,1,8,9,5,2,1,2,2,16,18.1
82202,Ty Charles\ty-charles-1,G,2015-03-13,Stephen F. Austin,,Northwestern State,W,1,26,6,10,.600,4,7,.571,2,3,.667,2,3,.667,3,4,7,3,0,0,1,4,16,13.8
82203,Sabri Thompson\sabri-thompson-1,G,2015-03-13,Northwestern State,,Stephen F. Austin,L,0,29,6,10,.600,2,3,.667,4,7,.571,0,0,,0,0,0,1,0,0,1,1,16,10.7
82204,Jared Johnson\jared-johnson-2,G,2015-03-13,Stephen F. Austin,,Northwestern State,W,0,20,5,12,.417,1,4,.250,4,8,.500,2,2,1.000,0,0,0,3,2,0,1,1,16,12.3
82205,Deshon Taylor\deshon-taylor-1,G,2015-03-13,Missouri-Kansas City,,Seattle,L,1,33,5,13,.385,2,5,.400,3,8,.375,3,4,.750,1,1,2,0,1,0,0,4,16,8.9
82206,Frank Kaminsky\frank-kaminsky-1,C,2015-03-13,Wisconsin,,Michigan,W,1,31,6,12,.500,6,11,.545,0,1,.000,4,4,1.000,3,9,12,2,0,0,2,0,16,14.2
82207,Trahson Burrell\trahson-burrell-1,F,2015-03-13,Memphis,,Temple,L,1,24,6,14,.429,4,8,.500,2,6,.333,2,4,.500,4,3,7,0,0,1,1,5,16,9.2
82208,Dionte Ferguson\dionte-ferguson-1,G,2015-03-13,South Alabama,,Louisiana-Monroe,L,1,28,5,6,.833,5,6,.833,0,0,,6,6,1.000,2,5,7,1,0,2,1,1,16,17.4
82209,Kasey Shepherd\kasey-shepherd-1,G,2015-03-13,Louisiana-Lafayette,,Texas State,W,0,24,5,11,.455,3,5,.600,2,6,.333,4,4,1.000,0,3,3,2,0,1,0,0,16,13.3
82210,Buddy Hield\buddy-hield-1,G,2015-03-13,Oklahoma,,Iowa State,L,1,37,6,20,.300,4,7,.571,2,13,.154,2,2,1.000,2,8,10,2,1,0,1,2,16,8.8
82211,D'Shon Taylor\dshon-taylor-1,G,2015-03-13,Norfolk State,,Hampton,L,1,38,3,9,.333,2,6,.333,1,3,.333,9,12,.750,2,5,7,2,0,0,2,3,16,10.8
