Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
241601,Tim Douglas\tim-douglas-1,G,2011-02-17,Portland,,San Francisco,L,1,34,4,9,.444,3,6,.500,1,3,.333,1,2,.500,0,3,3,7,0,0,1,3,10,8.5
241602,Preston Blackmon\preston-blackmon-1,G,2011-02-17,Savannah State,,Trinity Baptist,W,1,25,5,9,.556,5,9,.556,0,0,,0,0,,3,1,4,4,1,0,0,0,10,11.9
241603,Scootie Randall\scootie-randall-1,F,2011-02-17,Temple,,Richmond,W,1,23,4,10,.400,3,5,.600,1,5,.200,1,2,.500,1,4,5,2,0,0,0,2,10,6.7
241604,Levan Patsatsia\levan-patsatsia-1,G,2011-02-17,Troy,,Middle Tennessee,W,0,27,4,8,.500,4,7,.571,0,1,.000,2,5,.400,2,2,4,3,0,1,5,4,10,3.0
241605,Regis Huddleston\regis-huddleston-1,G,2011-02-17,Troy,,Middle Tennessee,W,0,20,3,5,.600,0,1,.000,3,4,.750,1,2,.500,0,1,1,0,0,0,0,2,10,6.8
241606,Mike Howlett\mike-howlett-1,C,2011-02-18,Pennsylvania,@,Brown,W,0,21,4,5,.800,4,5,.800,0,0,,2,2,1.000,4,3,7,0,1,0,4,3,10,7.6
241607,Asenso Ampim\asenso-ampim-1,F,2011-02-18,Columbia,,Dartmouth,W,1,34,2,11,.182,1,8,.125,1,3,.333,5,6,.833,4,6,10,1,2,3,3,2,10,8.3
241608,R.J. Griffin\rj-griffin-1,G,2011-02-18,Dartmouth,@,Columbia,L,1,28,1,3,.333,1,2,.500,0,1,.000,8,10,.800,0,2,2,0,0,0,2,4,10,4.5
241609,Keith Wright\keith-wright-1,F,2011-02-18,Harvard,@,Cornell,W,1,29,4,7,.571,4,7,.571,0,0,,2,6,.333,6,5,11,2,1,1,3,3,10,9.7
241610,Laurent Rivard\laurent-rivard-1,G,2011-02-18,Harvard,@,Cornell,W,0,26,3,7,.429,2,2,1.000,1,5,.200,3,4,.750,0,2,2,0,1,1,0,0,10,8.2
241611,Max Groebe\max-groebe-1,G,2011-02-18,Cornell,,Harvard,L,0,21,4,12,.333,2,6,.333,2,6,.333,0,0,,1,1,2,2,0,0,0,0,10,5.6
241612,Dartaye Ruffin\dartaye-ruffin-1,F,2011-02-18,Drexel,,Kent State,W,0,21,4,7,.571,4,7,.571,0,0,,2,3,.667,5,6,11,0,0,1,0,4,10,10.7
241613,Randal Holt\randal-holt-1,G,2011-02-18,Kent State,@,Drexel,L,1,25,4,8,.500,3,3,1.000,1,5,.200,1,3,.333,0,1,1,0,1,0,0,2,10,5.7
241614,LaDaris Green\ladaris-green-1,F,2011-02-18,Kennesaw State,@,Jacksonville,L,1,32,4,6,.667,3,4,.750,1,2,.500,1,4,.250,5,6,11,3,0,1,5,3,10,8.1
241615,Jerron Granberry\jerron-granberry-1,G,2011-02-18,North Florida,,Mercer,L,1,21,0,4,.000,0,0,,0,4,.000,10,10,1.000,1,3,4,1,2,0,3,4,10,6.9
