Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
446201,Tre' McLean\tre-mclean-1,F,2014-12-02,Chattanooga,,Georgia,L,0,17,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,0,1,1,0,0,0,1,1,4,-0.2
446202,Curtis Diamond\curtis-diamond-1,G,2014-12-02,Georgia Southern,@,Central Florida,L,1,24,2,6,.333,2,5,.400,0,1,.000,0,0,,0,2,2,0,1,0,1,2,4,0.4
446203,Tre Hale-Edmerson\tre-hale-edmerson-1,F,2014-12-02,Cal State Northridge,,South Dakota,L,1,31,2,5,.400,2,5,.400,0,0,,0,0,,2,7,9,5,1,3,0,2,4,10.6
446204,Eric Robertson\eric-robertson-2,F,2014-12-02,South Dakota,@,Cal State Northridge,W,0,25,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,2,1,3,0,0,0,1,3,4,0.4
446205,Aaron Parks\aaron-parks-1,G,2014-12-02,Cal State Northridge,,South Dakota,L,1,31,2,9,.222,2,9,.222,0,0,,0,0,,0,0,0,1,3,1,2,4,4,-0.7
446206,Tyrell Corbin\tyrell-corbin-2,G,2014-12-02,Cal State Bakersfield,,UC-Riverside,L,0,26,2,5,.400,2,4,.500,0,1,.000,0,0,,1,3,4,4,1,0,3,1,4,3.3
446207,Steven Jones\steven-jones-1,G,2014-12-02,UC-Riverside,@,Cal State Bakersfield,W,1,33,1,3,.333,1,2,.500,0,1,.000,2,2,1.000,1,1,2,1,2,0,1,2,4,4.2
446208,Jaylin Airington\jaylin-airington-1,G,2014-12-02,Cal State Bakersfield,,UC-Riverside,L,0,13,2,3,.667,2,3,.667,0,0,,0,0,,0,0,0,0,0,2,1,1,4,2.7
446209,Mike Shaw\mike-shaw-1,F,2014-12-02,Bradley,,Central Michigan,W,0,21,2,2,1.000,2,2,1.000,0,0,,0,1,.000,0,4,4,1,1,0,3,3,4,1.7
446210,Matt Korcheck\matt-korcheck-1,F,2014-12-02,Arizona,,Gardner-Webb,W,0,3,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4,4.4
446211,Shannon Hale\shannon-hale-1,F,2014-12-02,Alabama,,South Florida,W,1,22,1,6,.167,1,2,.500,0,4,.000,2,4,.500,1,3,4,4,1,0,3,4,4,0.2
446212,Jimmie Taylor\jimmie-taylor-1,F,2014-12-02,Alabama,,South Florida,W,1,28,2,2,1.000,2,2,1.000,0,0,,0,0,,4,7,11,1,0,0,2,2,4,6.2
446213,Bo Zeigler\bo-zeigler-1,G,2014-12-02,South Florida,@,Alabama,L,0,25,2,3,.667,2,3,.667,0,0,,0,4,.000,2,2,4,1,1,0,3,2,4,1.0
446214,Trent Whiting\trent-whiting-2,F,2014-12-02,Arkansas-Pine Bluff,@,Akron,L,0,17,2,5,.400,2,5,.400,0,0,,0,0,,1,2,3,1,0,0,0,3,4,2.1
446215,Jake Kretzer\jake-kretzer-1,F,2014-12-02,Akron,,Arkansas-Pine Bluff,W,0,16,0,2,.000,0,0,,0,2,.000,4,4,1.000,1,1,2,0,0,0,2,0,4,1.6
446216,Devin Berry\devin-berry-1,F,2014-12-02,Arkansas-Pine Bluff,@,Akron,L,0,15,2,4,.500,2,4,.500,0,0,,0,0,,3,3,6,2,0,0,1,3,4,4.2
446217,Xavier Cooks\xavier-cooks-1,G,2014-12-01,Winthrop,,Savannah State,W,1,23,2,5,.400,2,3,.667,0,2,.000,0,2,.000,2,4,6,2,0,2,3,2,4,2.1
446218,Denell Henderson\denell-henderson-1,F,2014-12-01,Oral Roberts,@,Weber State,L,1,7,2,6,.333,2,6,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,4,1.3
446219,Marvin Smith\marvin-smith-1,F,2014-12-01,South Carolina Upstate,,Barber-Scotia,W,1,30,2,8,.250,2,6,.333,0,2,.000,0,0,,4,5,9,6,1,0,3,2,4,4.9
446220,Mario Blessing\mario-blessing-1,G,2014-12-01,South Carolina Upstate,,Barber-Scotia,W,1,6,2,3,.667,2,2,1.000,0,1,.000,0,0,,1,0,1,2,1,0,0,0,4,5.8
446221,Marcel Davis\marcel-davis-1,G,2014-12-01,Utah Valley,@,Sacramento State,L,1,32,1,6,.167,1,4,.250,0,2,.000,2,4,.500,1,2,3,6,2,0,3,3,4,2.7
446222,Chad Ross\chad-ross-1,F,2014-12-01,Utah Valley,@,Sacramento State,L,0,10,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,2,2,0,0,0,2,4,4,-0.3
446223,Alex Carr\alex-carr-2,G,2014-12-01,Utah Valley,@,Sacramento State,L,0,15,2,5,.400,2,2,1.000,0,3,.000,0,0,,0,2,2,1,1,0,0,2,4,2.8
446224,Shore Adenekan\shore-adenekan-1,F,2014-12-01,Seattle,,Pacific Lutheran,W,0,13,2,3,.667,2,3,.667,0,0,,0,2,.000,0,3,3,1,0,0,0,1,4,3.1
446225,Theo Turner\theo-turner-1,C,2014-12-01,Seattle,,Pacific Lutheran,W,0,16,1,2,.500,1,2,.500,0,0,,2,3,.667,1,2,3,1,0,0,0,1,4,4.2
446226,Demetrius Henry\demetrius-henry-1,F,2014-12-01,South Carolina,@,Marshall,W,1,15,2,4,.500,2,3,.667,0,1,.000,0,0,,1,2,3,0,1,0,2,5,4,0.3
446227,Aleksa Nikolic\aleksa-nikolic-1,G,2014-12-01,Marshall,,South Carolina,L,0,35,1,5,.200,1,3,.333,0,2,.000,2,3,.667,1,5,6,3,1,0,4,1,4,1.4
446228,Kris Acox\kris-acox-1,F,2014-12-01,Furman,@,Liberty,L,1,21,2,2,1.000,2,2,1.000,0,0,,0,0,,2,2,4,1,0,0,4,1,4,1.7
446229,James Johnson\james-johnson-5,F,2014-12-01,Liberty,,Furman,W,1,20,2,6,.333,2,6,.333,0,0,,0,0,,1,1,2,0,1,1,4,2,4,-1.5
446230,Joe Retic\joe-retic-1,G,2014-12-01,Liberty,,Furman,W,1,36,2,3,.667,2,3,.667,0,0,,0,0,,0,2,2,10,5,0,3,2,4,11.5
446231,Evan Maxwell\evan-maxwell-1,C,2014-12-01,Liberty,,Furman,W,0,4,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,4,2.3
446232,Jarquez Smith\jarquez-smith-1,F,2014-12-01,Florida State,,Nebraska,L,1,26,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,2,4,6,1,0,1,2,3,4,2.4
446233,Cory Starkey\cory-starkey-1,F,2014-12-01,Bucknell,@,Fairfield,W,0,12,2,3,.667,2,3,.667,0,0,,0,0,,0,3,3,0,0,0,0,1,4,3.2
446234,Jerome Hunter\jerome-hunter-1,F,2014-12-01,Eastern Michigan,,Marygrove,W,0,13,2,3,.667,2,3,.667,0,0,,0,0,,2,1,3,1,1,1,0,1,4,6.4
446235,Jarod Williams\jarod-williams-1,G,2014-12-01,Detroit Mercy,,Aquinas,W,0,25,1,5,.200,1,4,.250,0,1,.000,2,6,.333,3,2,5,1,1,1,1,0,4,3.4
446236,Shaquille Doorson\shaquille-doorson-1,C,2014-12-01,Rutgers,@,Clemson,W,0,10,2,4,.500,2,4,.500,0,0,,0,0,,2,1,3,0,0,0,0,0,4,3.7
446237,Paul Gombwer\paul-gombwer-1,F,2014-12-01,Charleston Southern,,Western Carolina,W,1,18,1,2,.500,0,1,.000,1,1,1.000,1,2,.500,1,7,8,1,0,0,0,0,4,6.1
446238,Sean Gardner\sean-gardner-1,G,2014-12-01,Arkansas State,@,Central Arkansas,W,1,32,2,10,.200,2,5,.400,0,5,.000,0,0,,5,3,8,1,1,0,2,1,4,1.5
446239,Otas Iyekekpolor\otas-iyekekpolor-1,F,2014-12-01,Central Arkansas,,Arkansas State,L,0,11,1,2,.500,0,1,.000,1,1,1.000,1,3,.333,1,1,2,1,0,1,0,3,4,3.4
446240,Kelvin Downs\kelvin-downs-1,F,2014-12-01,Arkansas State,@,Central Arkansas,W,1,14,2,4,.500,2,4,.500,0,0,,0,1,.000,1,2,3,0,1,1,0,1,4,4.2
446241,C.J. Foster\cj-foster-1,G,2014-12-01,Arkansas State,@,Central Arkansas,W,0,13,1,2,.500,1,1,1.000,0,1,.000,2,4,.500,1,1,2,1,0,1,0,2,4,3.8
446242,John Cain Carney\john-cain-carney-1,F,2014-12-01,Boston College,,Marist,W,0,13,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,3,3,0,0,0,0,2,4,2.8
446243,Ishmail Wainright\ish-wainright-1,G,2014-12-01,Baylor,,Texas Southern,W,0,16,0,1,.000,0,0,,0,1,.000,4,4,1.000,2,2,4,2,2,0,0,2,4,7.9
446244,Mark Nwakamma\mark-nwakamma-1,F,2014-11-30,Hartford,@,Yale,L,1,28,2,11,.182,2,10,.200,0,1,.000,0,1,.000,0,3,3,2,1,0,1,5,4,-3.0
446245,Nate Sikma\nate-sikma-1,F,2014-11-30,Hartford,@,Yale,L,1,19,2,4,.500,2,3,.667,0,1,.000,0,0,,0,2,2,2,1,0,1,1,4,3.6
446246,Keith Pinckney\keith-pinckney-1,G,2014-11-30,Tulane,,Tennessee Tech,W,0,9,2,3,.667,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,2.7
446247,Cameron Reynolds\cameron-reynolds-1,G,2014-11-30,Tulane,,Tennessee Tech,W,0,8,2,7,.286,2,5,.400,0,2,.000,0,0,,0,2,2,0,1,0,0,2,4,0.7
446248,C.J. Siples\cj-siples-1,G,2014-11-30,Air Force,@,Texas Tech,L,1,17,2,3,.667,2,2,1.000,0,1,.000,0,0,,1,3,4,0,1,0,0,1,4,4.9
446249,Trey Kennedy\trey-kennedy-1,G,2014-11-30,Southern Utah,@,Texas-San Antonio,W,1,29,2,6,.333,2,6,.333,0,0,,0,0,,0,1,1,6,0,0,2,1,4,2.7
446250,Mike Anderson\mike-anderson-2,G,2014-11-30,Washington,,Texas-El Paso,W,1,28,1,3,.333,1,3,.333,0,0,,2,2,1.000,2,0,2,1,0,0,3,2,4,0.6
446251,Martin Hermannsson\martin-hermannsson-1,G,2014-11-30,Long Island University,@,Temple,L,1,20,1,8,.125,1,5,.200,0,3,.000,2,2,1.000,0,2,2,2,0,0,0,3,4,-0.4
446252,Devontae Watson\devontae-watson-1,F,2014-11-30,Temple,,Long Island University,W,1,16,2,4,.500,2,4,.500,0,0,,0,0,,0,2,2,1,1,3,0,3,4,5.2
446253,Sterling Brown\sterling-brown-2,G,2014-11-30,Southern Methodist,,Monmouth,W,0,18,2,4,.500,2,4,.500,0,0,,0,0,,0,3,3,2,0,0,1,0,4,3.3
446254,Keith Frazier\keith-frazier-1,G,2014-11-30,Southern Methodist,,Monmouth,W,1,28,1,6,.167,1,1,1.000,0,5,.000,2,2,1.000,0,5,5,1,1,0,0,2,4,2.6
446255,Ben Moore\ben-moore-1,F,2014-11-30,Southern Methodist,,Monmouth,W,1,25,1,3,.333,1,3,.333,0,0,,2,2,1.000,5,3,8,0,1,1,3,4,4,3.8
446256,Corey Hilliard\corey-hilliard-1,G,2014-11-30,San Francisco,,Montana,W,0,23,2,4,.500,2,2,1.000,0,2,.000,0,0,,0,2,2,2,2,0,2,1,4,3.6
446257,Thomas Jacobs\thomas-jacobs-1,F,2014-11-30,San Diego,,Western Michigan,L,1,28,1,4,.250,1,2,.500,0,2,.000,2,2,1.000,5,0,5,0,3,0,1,4,4,5.5
446258,Drake LaMont\drake-lamont-1,C,2014-11-30,Western Michigan,,San Diego,W,1,23,1,4,.250,1,4,.250,0,0,,2,2,1.000,2,3,5,1,1,0,1,3,4,3.4
446259,Filip Nowicki\filip-nowicki-1,C,2014-11-30,Sacred Heart,,Campbell,W,1,11,2,4,.500,2,4,.500,0,0,,0,0,,3,1,4,0,0,0,1,0,4,3.4
446260,Ethan O'Day\ethan-oday-1,F,2014-11-30,Vermont,@,Quinnipiac,L,1,18,2,7,.286,2,7,.286,0,0,,0,0,,1,0,1,1,0,3,0,5,4,1.4
446261,Volodymyr Gerun\volodymyr-gerun-1,F,2014-11-30,Portland,,Valparaiso,L,1,30,1,6,.167,1,4,.250,0,2,.000,2,2,1.000,4,1,5,0,0,2,0,0,4,4.7
446262,Vashil Fernandez\vashil-fernandez-1,C,2014-11-30,Valparaiso,,Portland,W,1,25,2,5,.400,2,5,.400,0,0,,0,0,,5,5,10,0,0,3,0,2,4,7.6
446263,Nate Buss\nate-buss-1,F,2014-11-30,Northern Iowa,,Richmond,W,0,14,1,5,.200,1,5,.200,0,0,,2,2,1.000,1,1,2,0,0,1,0,0,4,2.6
446264,Jeremy Morgan\jeremy-morgan-1,G,2014-11-30,Northern Iowa,,Richmond,W,1,28,2,6,.333,2,4,.500,0,2,.000,0,0,,2,1,3,1,0,2,0,2,4,3.6
446265,Quentin Bastian\quentin-bastian-1,F,2014-11-30,Florida A&M,@,Northern Colorado,L,1,23,0,4,.000,0,4,.000,0,0,,4,6,.667,1,1,2,0,0,0,1,1,4,0.0
446266,Johnathan Spicer\johnathan-spicer-1,F,2014-11-30,Florida A&M,@,Northern Colorado,L,0,15,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,2,2,4,0.2
446267,Jerran Foster\jerran-foster-1,G,2014-11-30,Florida A&M,@,Northern Colorado,L,0,22,1,2,.500,1,2,.500,0,0,,2,4,.500,1,3,4,1,0,0,2,2,4,1.7
446268,Jaleel Roberts\jaleel-roberts-1,C,2014-11-30,North Carolina-Asheville,,Charlotte,L,0,27,2,8,.250,2,8,.250,0,0,,0,0,,4,8,12,0,0,10,2,3,4,8.2
446269,Chudier Pal\chudier-pal-1,C,2014-11-30,North Carolina-Asheville,,Charlotte,L,1,13,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,2,0,1,0,3,4,4.3
446270,Xavier Adams\xavier-adams-1,G,2014-11-30,New Mexico,,Southern California,L,1,21,1,4,.250,1,2,.500,0,2,.000,2,5,.400,1,2,3,0,0,1,1,1,4,1.0
446271,Joe Furstinger\joe-furstinger-1,F,2014-11-30,New Mexico,,Southern California,L,0,14,2,5,.400,2,4,.500,0,1,.000,0,0,,1,1,2,2,0,2,2,1,4,2.7
446272,Marcus Colbert\marcus-colbert-1,G,2014-11-30,Montana State,,North Dakota State,L,1,34,2,9,.222,2,6,.333,0,3,.000,0,0,,1,6,7,4,0,0,1,2,4,2.0
446273,Logan McLane\logan-mclane-1,F,2014-11-30,Miami (OH),,Elon,L,0,15,1,2,.500,1,2,.500,0,0,,2,2,1.000,1,1,2,0,2,0,1,2,4,4.2
446274,Damonte Dodd\damonte-dodd-1,F,2014-11-30,Maryland,,Virginia Military Institute,W,1,8,2,2,1.000,2,2,1.000,0,0,,0,0,,1,4,5,0,0,3,0,3,4,6.2
446275,Willie Carmichael\willie-carmichael-1,F,2014-11-30,Tennessee,,Marquette,L,1,23,2,2,1.000,2,2,1.000,0,0,,0,1,.000,0,2,2,0,2,1,0,3,4,5.1
446276,Steve Taylor\steve-taylor-2,F,2014-11-30,Marquette,,Tennessee,W,1,26,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,1,0,1,1,2,4,3.3
446277,JaJuan Johnson\jajuan-johnson-2,G,2014-11-30,Marquette,,Tennessee,W,1,15,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,4,4.1
446278,Derek Reese\derek-reese-1,G,2014-11-30,Tennessee,,Marquette,L,0,11,1,2,.500,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,0,2,4,2.9
446279,Remy Abell\remy-abell-1,G,2014-11-30,Xavier,,Long Beach State,L,1,17,2,4,.500,2,3,.667,0,1,.000,0,0,,0,0,0,0,2,0,0,2,4,3.2
446280,Edmond Sumner\edmond-sumner-1,G,2014-11-30,Xavier,,Long Beach State,L,0,8,2,5,.400,2,4,.500,0,1,.000,0,0,,1,1,2,0,0,0,1,2,4,0.5
446281,Dee Davis\dee-davis-1,G,2014-11-30,Xavier,,Long Beach State,L,1,31,2,6,.333,2,5,.400,0,1,.000,0,0,,0,1,1,6,1,0,1,1,4,4.7
446282,David Samuels\david-samuels-1,F,2014-11-30,Long Beach State,,Xavier,W,1,23,1,8,.125,1,7,.143,0,1,.000,2,6,.333,2,6,8,3,0,2,0,3,4,2.7
446283,Miles Simelton\miles-simelton-1,G,2014-11-30,Lehigh,,Penn State-Mont Alto,W,1,19,1,7,.143,0,3,.000,1,4,.250,1,2,.500,0,2,2,4,1,0,0,1,4,3.1
446284,Matt Costello\matt-costello-1,F,2014-11-30,Michigan State,,Kansas,L,0,15,2,4,.500,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,1,3,4,1.4
446285,Tadric Jackson\tadric-jackson-1,G,2014-11-30,Georgia Tech,,Rhode Island,W,0,15,0,2,.000,0,2,.000,0,0,,4,5,.800,0,0,0,1,0,0,2,2,4,0.1
446286,Charles Mitchell\charles-mitchell-1,F,2014-11-30,Georgia Tech,,Rhode Island,W,1,24,1,5,.200,1,5,.200,0,0,,2,2,1.000,2,2,4,1,1,0,2,3,4,1.4
446287,Sam Singer\sam-singer-1,G,2014-11-30,University of California,@,Fresno State,W,0,27,2,4,.500,2,3,.667,0,1,.000,0,0,,1,2,3,6,0,0,3,4,4,2.9
446288,Jabari Bird\jabari-bird-1,G,2014-11-30,University of California,@,Fresno State,W,1,25,1,9,.111,1,4,.250,0,5,.000,2,2,1.000,0,2,2,1,0,0,1,2,4,-2.4
446289,Zach Horstman\zach-horstman-1,G,2014-11-30,South Dakota State,,Florida Gulf Coast,L,1,19,2,5,.400,2,3,.667,0,2,.000,0,0,,1,2,3,0,2,1,1,1,4,3.9
446290,Keaton Moffitt\keaton-moffitt-1,G,2014-11-30,South Dakota State,,Florida Gulf Coast,L,1,32,1,5,.200,1,5,.200,0,0,,2,2,1.000,2,3,5,3,3,0,4,2,4,3.5
446291,Eric Moeller\eric-moeller-1,F,2014-11-30,Florida Gulf Coast,,South Dakota State,W,0,13,2,2,1.000,2,2,1.000,0,0,,0,1,.000,1,1,2,0,0,0,3,2,4,0.2
446292,Connor Devine\connor-devine-1,F,2014-11-30,South Dakota State,,Florida Gulf Coast,L,0,14,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,3,3,6,0,0,2,2,3,4,4.9
446293,Corey Barrett\corey-barrett-1,F,2014-11-30,Central Connecticut State,@,East Carolina,L,0,20,2,3,.667,2,3,.667,0,0,,0,0,,1,1,2,0,0,1,3,2,4,0.6
446294,Antonio Robinson\antonio-robinson-1,G,2014-11-30,East Carolina,,Central Connecticut State,W,1,18,2,3,.667,2,3,.667,0,0,,0,0,,0,1,1,4,1,0,1,2,4,5.0
446295,Mohamed Bah\mohamed-bah-1,F,2014-11-30,Drexel,,Southern Mississippi,W,1,25,2,4,.500,2,4,.500,0,0,,0,0,,5,4,9,2,0,1,2,2,4,6.0
446296,Tyler Rambo\tyler-rambo-1,F,2014-11-30,Murray State,,Drake,W,0,12,2,3,.667,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,1,0,4,2.4
446297,Tevin Broyles\tevin-broyles-1,G,2014-11-30,New Orleans,@,Denver,L,1,30,2,5,.400,2,4,.500,0,1,.000,0,0,,0,4,4,2,1,0,0,0,4,4.9
446298,Terrance Syon\terrance-syon-1,F,2014-11-30,New Orleans,@,Denver,L,1,14,2,4,.500,2,4,.500,0,0,,0,0,,0,2,2,0,0,0,4,3,4,-2.6
446299,Daniel Amigo\daniel-amigo-1,C,2014-11-30,Denver,,New Orleans,W,1,8,2,3,.667,2,3,.667,0,0,,0,2,.000,0,1,1,1,0,0,0,4,4,1.3
446300,Bryant Rucker\bryant-rucker-1,G,2014-11-30,Denver,,New Orleans,W,1,20,1,4,.250,1,2,.500,0,2,.000,2,2,1.000,1,1,2,2,1,0,0,4,4,3.4


Provided by <a href="http://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="http://www.sports-reference.com/cbb/play-index/pgl_finder.cgi?request=1&match=game&year_min=2011&year_max=2017&school_id=&opp_id=&person_id=&is_range=N&game_type=A&game_month=&game_location=&game_result=&game_num_min=&game_num_max=&is_starter=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&c1stat=&c1comp=&c1val=&c2stat=&c2comp=&c2val=&c3stat=&c3comp=&c3val=&c4stat=&c4comp=&c4val=&is_dbl_dbl=&is_trp_dbl=&order_by=pts&order_by_asc=&offset=446200&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats">View Original Table</a><br>Generated 3/15/2017.
