Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
130701,Rashaan Holloway\rashaan-holloway-1,F,2017-01-11,Massachusetts,,Dayton,W,1,29,6,10,.600,6,10,.600,0,0,,2,7,.286,0,7,7,1,0,2,1,1,14,10.2
130702,Luke Fischer\luke-fischer-1,C,2017-01-11,Marquette,,Seton Hall,W,1,32,6,8,.750,6,8,.750,0,0,,2,3,.667,4,4,8,1,1,3,2,5,14,14.2
130703,Angel Delgado\angel-delgado-1,F,2017-01-11,Seton Hall,@,Marquette,L,1,41,3,12,.250,3,12,.250,0,0,,8,14,.571,13,6,19,2,1,0,4,2,14,12.9
130704,Bryce Dulin\bryce-dulin-1,G,2017-01-11,Navy,@,Loyola (MD),W,1,29,4,8,.500,2,3,.667,2,5,.400,4,4,1.000,1,6,7,2,1,0,2,2,14,12.1
130705,Simi Socks\simi-socks-1,F,2017-01-11,Incarnate Word,@,Lamar,L,1,15,5,10,.500,3,7,.429,2,3,.667,2,2,1.000,1,2,3,0,1,0,1,5,14,8.3
130706,Denzel Dulin\denzel-dulin-1,G,2017-01-11,Alcorn State,@,Jackson State,W,1,34,6,9,.667,4,7,.571,2,2,1.000,0,2,.000,0,3,3,2,1,0,3,3,14,8.4
130707,Muhammad-Ali Abdur-Rahkman\muhammad-ali-abdur-rahkman-1,G,2017-01-11,Michigan,@,Illinois,L,1,30,5,9,.556,3,7,.429,2,2,1.000,2,3,.667,0,0,0,1,0,0,0,1,14,9.6
130708,Matt Klinewski\matt-klinewski-1,F,2017-01-11,Lafayette,@,Holy Cross,L,1,24,5,11,.455,5,11,.455,0,0,,4,5,.800,4,3,7,0,0,0,3,3,14,7.4
130709,Joe Sherburne\joe-sherburne-1,G,2017-01-11,Maryland-Baltimore County,@,Hartford,W,1,29,6,11,.545,4,6,.667,2,5,.400,0,0,,1,2,3,2,1,1,2,3,14,9.9
130710,Jamaal Robateau\jamaal-robateau-1,G,2017-01-11,Gardner-Webb,,Campbell,L,0,32,6,10,.600,5,5,1.000,1,5,.200,1,1,1.000,0,2,2,0,1,2,2,2,14,9.6
130711,Tarin Smith\tarin-smith-1,G,2017-01-11,Duquesne,,Saint Louis,W,1,34,3,6,.500,3,4,.750,0,2,.000,8,12,.667,1,3,4,8,1,1,3,0,14,15.3
130712,Davell Roby\davell-roby-1,G,2017-01-11,Saint Louis,@,Duquesne,L,1,32,5,13,.385,3,7,.429,2,6,.333,2,2,1.000,0,0,0,5,0,0,3,4,14,5.8
130713,Billy Wampler\billy-wampler-1,F,2017-01-11,Drake,,Indiana State,W,1,29,4,9,.444,0,3,.000,4,6,.667,2,2,1.000,1,2,3,0,0,0,0,1,14,10.2
130714,Khyri Thomas\khyri-thomas-1,G,2017-01-11,Creighton,,Butler,W,1,32,6,10,.600,4,5,.800,2,5,.400,0,0,,6,6,12,2,1,1,2,1,14,16.1
130715,Avery Woodson\avery-woodson-1,G,2017-01-11,Butler,@,Creighton,L,0,27,5,10,.500,1,2,.500,4,8,.500,0,0,,3,2,5,0,0,1,0,2,14,11.6
130716,Terry Henderson\terry-henderson-1,G,2017-01-11,North Carolina State,@,Boston College,L,1,29,4,9,.444,2,3,.667,2,6,.333,4,4,1.000,0,1,1,2,0,0,3,3,14,6.8
130717,Jordan Reed\jordan-reed-2,G,2017-01-11,New Hampshire,@,Albany (NY),W,0,32,5,12,.417,1,3,.333,4,9,.444,0,0,,0,3,3,1,0,0,1,2,14,7.4
130718,Joe Cremo\joe-cremo-1,G,2017-01-11,Albany (NY),,New Hampshire,L,1,39,5,14,.357,2,6,.333,3,8,.375,1,2,.500,0,3,3,2,0,0,2,1,14,5.7
130719,Jaleen Smith\jaleen-smith-1,G,2017-01-11,New Hampshire,@,Albany (NY),W,1,40,5,11,.455,2,3,.667,3,8,.375,1,3,.333,1,4,5,8,0,0,2,4,14,11.4
130720,Jacob Van\jacob-van-1,G,2017-01-11,Air Force,,Fresno State,W,1,34,5,10,.500,5,8,.625,0,2,.000,4,4,1.000,0,3,3,0,0,0,3,1,14,6.5
130721,Tyler Roberson\tyler-roberson-1,F,2017-01-10,Syracuse,@,Virginia Tech,L,0,19,7,8,.875,7,8,.875,0,0,,0,1,.000,5,5,10,0,0,2,3,4,14,12.6
130722,Edrice Adebayo\edrice-adebayo-1,F,2017-01-10,Kentucky,@,Vanderbilt,W,1,30,3,4,.750,3,4,.750,0,0,,8,10,.800,3,4,7,0,0,0,1,4,14,12.3
130723,Kajon Mack\kajon-mack-1,G,2017-01-10,Tennessee Tech,@,Southeast Missouri State,L,1,21,5,7,.714,3,4,.750,2,3,.667,2,5,.400,1,2,3,1,1,0,0,4,14,11.3
130724,Kyle Benton\kyle-benton-1,F,2017-01-10,North Carolina Central,,Delaware State,L,0,35,5,9,.556,5,9,.556,0,0,,4,5,.800,8,5,13,0,3,1,0,0,14,20.1
130725,Uche Ofoegbu\uche-ofoegbu-1,F,2017-01-10,Nevada-Las Vegas,@,New Mexico,W,1,35,4,8,.500,1,4,.250,3,4,.750,3,4,.750,1,7,8,2,4,0,2,2,14,15.0
130726,Malcolm Drumwright\malcolm-drumwright-1,G,2017-01-10,Jacksonville State,,Fort Valley State,W,1,37,4,10,.400,3,6,.500,1,4,.250,5,8,.625,0,5,5,12,1,1,3,2,14,15.2
130727,Billy Garrett\billy-garrett-1,G,2017-01-10,DePaul,,Providence,W,1,33,3,9,.333,2,6,.333,1,3,.333,7,8,.875,1,2,3,5,2,0,4,3,14,10.1
130728,Josh Williams\josh-williams-5,G,2017-01-10,Akron,@,Central Michigan,W,0,19,5,12,.417,1,1,1.000,4,11,.364,0,0,,1,2,3,1,1,0,3,2,14,6.8
130729,Jaaron Simmons\jaaron-simmons-1,G,2017-01-10,Ohio,@,Buffalo,W,1,38,5,14,.357,5,12,.417,0,2,.000,4,9,.444,0,3,3,5,1,0,4,4,14,4.0
130730,Zack Denny\zack-denny-1,G,2017-01-10,Bowling Green State,,Eastern Michigan,L,1,31,3,8,.375,1,5,.200,2,3,.667,6,7,.857,3,3,6,0,2,1,0,1,14,14.5
130731,Tim Bond\tim-bond-1,G,2017-01-10,Eastern Michigan,@,Bowling Green State,W,1,36,6,12,.500,6,12,.500,0,0,,2,2,1.000,1,2,3,5,0,1,1,4,14,10.9
130732,Lamar Peters\lamar-peters-1,G,2017-01-10,Mississippi State,@,Arkansas,W,1,30,5,12,.417,1,2,.500,4,10,.400,0,0,,0,3,3,2,0,0,3,1,14,6.5
130733,Keith Stone\keith-stone-1,F,2017-01-10,Florida,@,Alabama,W,0,16,4,6,.667,1,3,.333,3,3,1.000,3,5,.600,1,1,2,2,1,0,0,3,14,12.8
130734,Edric Dennis\edric-dennis-1,G,2017-01-09,Jackson State,,Southern,W,1,35,5,13,.385,4,9,.444,1,4,.250,3,7,.429,1,5,6,2,0,0,5,2,14,3.1
130735,Derek Roscoe\derek-roscoe-1,F,2017-01-09,Jackson State,,Southern,W,0,21,5,8,.625,5,7,.714,0,1,.000,4,4,1.000,3,4,7,0,0,0,1,3,14,11.5
130736,Kason Harrell\kason-harrell-1,G,2017-01-09,IPFW,,Olivet,W,1,13,5,8,.625,1,1,1.000,4,7,.571,0,0,,1,1,2,1,2,1,1,0,14,13.8
130737,Jax Levitch\jax-levitch-1,G,2017-01-09,IPFW,,Olivet,W,0,20,5,5,1.000,1,1,1.000,4,4,1.000,0,0,,1,4,5,2,1,0,1,2,14,15.0
130738,Kevin Baker\kevin-baker-2,G,2017-01-09,Troy,@,Georgia State,W,1,29,3,8,.375,1,1,1.000,2,7,.286,6,10,.600,1,4,5,3,0,0,2,3,14,8.8
130739,Jordon Varnado\jordon-varnado-1,F,2017-01-09,Troy,@,Georgia State,W,1,34,6,9,.667,6,8,.750,0,1,.000,2,4,.500,0,7,7,1,0,3,2,3,14,11.0
130740,Savonte Frazier\savonte-frazier-1,G,2016-11-17,Tennessee Tech,,Alabama A&M,W,0,25,5,8,.625,4,6,.667,1,2,.500,3,4,.750,0,7,7,6,0,0,0,2,14,15.5
130741,Cameron Neubauer\cameron-neubauer-1,F,2016-11-17,San Diego,@,UCLA,L,1,25,6,9,.667,5,5,1.000,1,4,.250,1,1,1.000,1,2,3,1,0,0,1,3,14,9.9
130742,Jalen Brunson\jalen-brunson-1,G,2016-11-17,Villanova,,Western Michigan,W,1,30,4,8,.500,4,6,.667,0,2,.000,6,6,1.000,0,1,1,3,3,0,2,2,14,12.6
130743,Josh Davis\josh-davis-7,G,2016-11-17,Western Michigan,,Villanova,L,0,24,5,9,.556,4,5,.800,1,4,.250,3,4,.750,0,1,1,0,2,0,1,2,14,9.8
130744,Josh Hart\josh-hart-1,G,2016-11-17,Villanova,,Western Michigan,W,1,35,4,8,.500,3,6,.500,1,2,.500,5,5,1.000,1,7,8,4,2,0,1,2,14,15.8
130745,Malik Dime\malik-dime-1,F,2016-11-17,Washington,,Cal State Fullerton,W,1,31,3,4,.750,3,4,.750,0,0,,8,11,.727,2,6,8,0,0,5,1,4,14,15.3
130746,A.J. Mosby\aj-mosby-1,G,2016-11-18,Alcorn State,,Selma University,W,1,23,6,14,.429,5,10,.500,1,4,.250,1,2,.500,1,5,6,3,3,0,1,1,14,12.1
130747,Avery Patterson\avery-patterson-2,G,2016-11-18,Alcorn State,,Selma University,W,0,10,4,6,.667,0,2,.000,4,4,1.000,2,3,.667,2,2,4,2,2,0,3,2,14,12.6
130748,Reginald Johnson\reginald-johnson-1,F,2016-11-18,Alcorn State,,Selma University,W,0,16,7,13,.538,7,11,.636,0,2,.000,0,1,.000,3,5,8,2,2,1,1,2,14,13.2
130749,Kobi Simmons\kobi-simmons-1,G,2016-11-18,Arizona,,Sacred Heart,W,1,34,7,14,.500,7,11,.636,0,3,.000,0,0,,0,4,4,2,3,0,1,3,14,10.4
130750,Nate Sherwood\nate-sherwood-1,F,2016-11-18,Idaho,@,Arkansas-Little Rock,W,1,22,4,4,1.000,3,3,1.000,1,1,1.000,5,6,.833,1,0,1,4,0,0,2,5,14,11.9
130751,Phil Valenti\phil-valenti-1,F,2016-11-18,Canisius,@,Duquesne,W,1,32,6,11,.545,6,9,.667,0,2,.000,2,2,1.000,1,3,4,4,1,0,1,1,14,12.7
130752,Chris Koumadje\jeanmarc-koumadje-1,C,2016-11-18,Florida State,,Winthrop,W,0,17,7,8,.875,7,8,.875,0,0,,0,0,,2,1,3,0,0,1,1,3,14,11.4
130753,Jonathan Isaac\jonathan-isaac-1,F,2016-11-18,Florida State,,Winthrop,W,1,25,5,11,.455,2,5,.400,3,6,.500,1,2,.500,1,4,5,0,0,1,2,3,14,7.3
130754,Jack Purchase\jack-purchase-1,F,2016-11-18,Hawaii,,North Carolina,L,1,27,4,7,.571,2,2,1.000,2,5,.400,4,4,1.000,1,1,2,1,1,1,1,2,14,12.3
130755,T.J. Henderson\tj-henderson-1,G,2016-11-18,IUPUI,,Howard,W,0,21,5,9,.556,2,3,.667,3,6,.500,1,1,1.000,1,1,2,1,2,0,0,2,14,12.6
130756,Isaiah Walton\isaiah-walton-1,G,2016-11-18,Longwood,,Salem International,W,1,34,5,13,.385,5,10,.500,0,3,.000,4,4,1.000,0,4,4,7,3,0,5,0,14,11.0
130757,Aaron Epps\aaron-epps-1,F,2016-11-18,Louisiana State,,North Florida,W,1,29,5,10,.500,4,8,.500,1,2,.500,3,3,1.000,1,5,6,1,1,0,2,3,14,9.7
130758,Brian Bernardi\brian-bernardi-1,G,2016-11-18,Hofstra,@,Manhattan,L,1,35,4,10,.400,3,5,.600,1,5,.200,5,6,.833,0,1,1,5,0,0,1,2,14,10.2
130759,Harald Frey\harald-frey-1,G,2016-11-18,Montana State,,James Madison,W,1,32,5,10,.500,3,4,.750,2,6,.333,2,5,.400,0,4,4,3,0,0,4,4,14,5.5
130760,Sidy N'Dir\sidy-ndir-2,G,2016-11-18,New Mexico State,@,New Mexico,L,1,34,5,13,.385,5,9,.556,0,4,.000,4,5,.800,0,3,3,3,0,0,5,5,14,2.5
130761,Patrick Cole\patrick-cole-1,G,2016-11-18,North Carolina Central,,Jackson State,W,1,40,3,7,.429,3,6,.500,0,1,.000,8,11,.727,1,11,12,10,1,0,3,2,14,17.3
130762,Dexter Werner\dexter-werner-1,F,2016-11-18,North Dakota State,,Navy,W,1,30,6,9,.667,6,9,.667,0,0,,2,3,.667,0,3,3,0,4,1,1,2,14,13.5
130763,Ray Barreno\ray-barreno-1,C,2016-11-18,Portland,,Lewis & Clark,W,0,22,4,8,.500,4,8,.500,0,0,,6,8,.750,3,12,15,1,0,0,1,4,14,13.0
130764,Jacob Calloway\jacob-calloway-1,F,2016-11-18,Southern Utah,,Bethesda University (CA),W,0,17,5,12,.417,4,7,.571,1,5,.200,3,3,1.000,2,3,5,0,1,0,2,4,14,7.3
130765,Dallas Cameron\dallas-cameron-1,G,2016-11-18,Stephen F. Austin,,Northeastern State,W,1,36,3,7,.429,2,4,.500,1,3,.333,7,8,.875,0,2,2,2,0,1,3,2,14,8.8
130766,Larry Dennis\larry-dennis-1,F,2016-11-18,Stetson,,Citadel,L,1,18,6,8,.750,6,8,.750,0,0,,2,6,.333,2,5,7,0,0,0,0,5,14,10.1
130767,Bobby Word\bobby-word-1,G,2016-11-18,Cleveland State,@,Tennessee-Martin,L,1,29,5,13,.385,2,5,.400,3,8,.375,1,2,.500,2,1,3,2,3,1,2,3,14,10.1
130768,Chimezie Metu\chimezie-metu-1,F,2016-11-18,Southern California,@,Texas A&M,W,1,29,5,9,.556,5,9,.556,0,0,,4,5,.800,4,5,9,1,0,1,2,2,14,12.2
130769,Desmond Bane\desmond-bane-1,G,2016-11-18,Texas Christian,,Jacksonville State,W,1,34,6,9,.667,5,6,.833,1,3,.333,1,1,1.000,2,5,7,1,2,0,0,2,14,14.9
130770,De'Riante Jenkins\deriante-jenkins-1,G,2016-11-18,Virginia Commonwealth,,Binghamton,W,0,27,4,6,.667,2,3,.667,2,3,.667,4,5,.800,1,9,10,2,1,1,2,3,14,14.3
130771,Que Johnson\que-johnson-1,G,2016-11-19,Western Kentucky,@,Belmont,L,1,34,6,15,.400,4,10,.400,2,5,.400,0,0,,2,0,2,1,1,0,3,1,14,5.6
130772,Eric Fanning\eric-fanning-1,G,2016-11-19,Boston University,,Maine,W,1,22,5,9,.556,3,6,.500,2,3,.667,2,3,.667,1,5,6,1,1,0,2,2,14,10.4
130773,Kennedy McKinney\kennedy-mckinney-1,G,2017-01-09,Arkansas-Pine Bluff,,Alabama A&M,W,0,21,5,7,.714,5,7,.714,0,0,,4,4,1.000,4,2,6,0,1,0,1,4,14,12.9
130774,DeShawndre Black\deshawndre-black-1,G,2017-01-08,Detroit Mercy,@,Valparaiso,L,0,30,5,12,.417,1,6,.167,4,6,.667,0,0,,0,1,1,4,4,0,1,4,14,12.1
130775,Tom Lacey\tom-lacey-1,F,2017-01-08,Navy,,Colgate,W,1,36,4,8,.500,4,8,.500,0,0,,6,7,.857,4,7,11,1,0,0,0,2,14,14.4
130776,Shawn Anderson\shawn-anderson-1,G,2017-01-08,Navy,,Colgate,W,1,31,3,11,.273,3,9,.333,0,2,.000,8,9,.889,1,5,6,3,0,0,2,0,14,9.4
130777,Hasan Abdullah\hasan-abdullah-1,G,2017-01-08,Navy,,Colgate,W,1,31,4,6,.667,2,3,.667,2,3,.667,4,4,1.000,1,4,5,5,5,0,5,2,14,16.0
