Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
47601,Jahii Carson\jahii-carson-1,G,2012-11-23,Arizona State,,Arkansas,W,1,34,6,11,.545,6,11,.545,0,0,,7,11,.636,0,4,4,2,0,0,5,3,19,8.5
47602,Laurence Bowers\laurence-bowers-1,F,2012-11-22,Missouri,,Stanford,W,1,30,9,15,.600,8,11,.727,1,4,.250,0,0,,4,6,10,2,1,2,0,2,19,19.7
47603,Adonis Thomas\adonis-thomas-1,F,2012-11-22,Memphis,,Virginia Commonwealth,L,1,37,9,15,.600,8,12,.667,1,3,.333,0,1,.000,0,7,7,2,1,1,6,3,19,9.7
47604,De'Mon Brooks\demon-brooks-1,F,2012-11-22,Davidson,,Vanderbilt,W,1,24,7,13,.538,7,11,.636,0,2,.000,5,6,.833,4,2,6,1,0,1,2,0,19,15.1
47605,Anthony Myles\anthony-myles-2,G,2012-11-21,Rider,@,Southern Methodist,L,1,29,6,11,.545,5,6,.833,1,5,.200,6,9,.667,5,1,6,1,1,0,2,3,19,14.8
47606,Joshua White\joshua-white-1,G,2012-11-21,South Dakota State,,Southwest State (MN),W,0,22,6,8,.750,1,1,1.000,5,7,.714,2,4,.500,1,2,3,1,0,0,0,2,19,16.2
47607,Aaron Cosby\aaron-cosby-1,G,2012-11-21,Seton Hall,,Maine,W,0,26,7,14,.500,3,5,.600,4,9,.444,1,3,.333,0,3,3,2,2,0,1,1,19,14.1
47608,Alfonzo Hubbard\alfonzo-hubbard-1,F,2012-11-21,Utah Valley,@,Santa Clara,L,0,25,8,10,.800,8,10,.800,0,0,,3,3,1.000,2,1,3,0,0,0,2,1,19,14.5
47609,Terone Johnson\terone-johnson-1,G,2012-11-21,Purdue,,North Carolina-Wilmington,W,1,30,6,10,.600,3,7,.429,3,3,1.000,4,4,1.000,0,4,4,2,1,0,1,1,19,16.6
47610,Josh Davis\josh-davis-6,F,2012-11-21,Tulane,@,Nebraska,L,1,37,6,15,.400,6,15,.400,0,0,,7,9,.778,5,8,13,2,0,1,1,3,19,15.9
47611,Andrew Nicholas\andrew-nicholas-1,G,2012-11-21,Monmouth,,Tennessee State,W,1,36,7,14,.500,5,7,.714,2,7,.286,3,4,.750,1,2,3,6,2,0,0,3,19,17.9
47612,Sheldon McClellan\sheldon-mcclellan-1,G,2012-11-21,Texas,,Mississippi State,W,0,25,7,13,.538,3,8,.375,4,5,.800,1,2,.500,1,4,5,0,0,0,2,0,19,12.2
47613,Jamil Wilson\jamil-wilson-1,F,2012-11-21,Marquette,,Southern California,W,0,32,7,9,.778,4,5,.800,3,4,.750,2,2,1.000,2,4,6,0,2,1,0,1,19,20.4
47614,Taylor Braun\taylor-braun-1,G,2012-11-21,North Dakota State,,James Madison,W,1,32,6,10,.600,3,5,.600,3,5,.600,4,5,.800,0,7,7,6,2,0,3,0,19,19.3
47615,Tawaski King\tawaski-king-1,F,2012-11-21,Western Carolina,,Howard,W,1,39,8,10,.800,8,10,.800,0,0,,3,4,.750,1,2,3,0,2,1,3,2,19,15.0
47616,Anthony Evans\anthony-evans-3,G,2012-11-21,Alcorn State,@,Florida Gulf Coast,L,1,39,8,17,.471,5,5,1.000,3,12,.250,0,0,,2,1,3,0,1,0,4,2,19,8.2
47617,Venky Jois\venky-jois-1,F,2012-11-21,Eastern Washington,,South Carolina Upstate,W,1,38,8,12,.667,8,12,.667,0,0,,3,4,.750,3,8,11,0,0,1,2,1,19,16.2
47618,Colin Chiverton\colin-chiverton-1,F,2012-11-21,Eastern Washington,,South Carolina Upstate,W,1,18,5,9,.556,0,1,.000,5,8,.625,4,4,1.000,1,0,1,0,0,1,1,5,19,13.1
47619,Chase Hallam\chase-hallam-1,G,2012-11-21,Denver,,Colorado State,L,1,37,6,12,.500,4,8,.500,2,4,.500,5,5,1.000,3,3,6,1,0,1,1,3,19,15.2
47620,Olivier Hanlan\olivier-hanlan-1,G,2012-11-21,Boston College,,Auburn,W,1,35,7,11,.636,4,6,.667,3,5,.600,2,4,.500,0,6,6,0,2,0,3,0,19,14.1
47621,Chris Cunningham\chris-cunningham-2,F,2012-11-20,San Jose State,,UC-Santa Cruz,W,1,31,9,10,.900,9,10,.900,0,0,,1,2,.500,5,13,18,4,0,0,1,2,19,23.6
47622,J.T. Adenrele\john-adenrele-1,F,2012-11-20,UC-Davis,@,Sacramento State,W,1,26,9,16,.563,9,16,.563,0,0,,1,1,1.000,1,3,4,0,1,2,3,4,19,10.8
47623,Jeremy Ingram\jeremy-ingram-2,G,2012-11-20,North Carolina Central,,Toccoa Falls,W,0,17,8,11,.727,7,9,.778,1,2,.500,2,3,.667,0,1,1,2,3,0,1,2,19,17.0
47624,Charles Carmouche\charles-carmouche-1,G,2012-11-20,Louisiana State,,Northwestern State,W,1,29,3,5,.600,1,1,1.000,2,4,.500,11,15,.733,0,3,3,4,3,0,2,1,19,19.4
