Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
27501,Chris Early\chris-early-1,F,2011-01-29,Chattanooga,,Elon,W,1,32,7,10,.700,5,7,.714,2,3,.667,5,8,.625,0,4,4,2,0,1,2,1,21,16.5
27502,Drew Spradlin\drew-spradlin-1,G,2011-01-29,Elon,@,Chattanooga,L,1,30,8,19,.421,3,8,.375,5,11,.455,0,0,,0,8,8,2,1,1,0,1,21,16.0
27503,Jeremy Lamb\jeremy-lamb-1,G,2011-01-29,Connecticut,,Louisville,L,1,44,9,17,.529,8,10,.800,1,7,.143,2,2,1.000,1,5,6,3,1,1,0,0,21,18.7
27504,Thomas Coleman\thomas-coleman-1,F,2011-01-29,North Carolina A&T,@,Coppin State,L,1,34,7,10,.700,7,10,.700,0,0,,7,9,.778,3,5,8,0,0,2,2,0,21,19.0
27505,Andrew Goudelock\andrew-goudelock-1,G,2011-01-29,College of Charleston,@,Davidson,L,1,38,9,24,.375,8,18,.444,1,6,.167,2,2,1.000,2,3,5,2,0,0,4,2,21,6.7
27506,Nik Cochran\nik-cochran-1,G,2011-01-29,Davidson,,College of Charleston,W,0,29,6,9,.667,3,4,.750,3,5,.600,6,6,1.000,2,5,7,4,0,0,3,2,21,19.0
27507,Brian Stafford\brian-stafford-1,G,2011-01-29,Denver,,North Texas,W,1,37,6,10,.600,1,2,.500,5,8,.625,4,4,1.000,0,2,2,3,1,0,1,4,21,17.5
27508,Keith Wright\keith-wright-1,F,2011-01-29,Harvard,,Cornell,W,1,30,9,16,.563,9,16,.563,0,0,,3,5,.600,9,2,11,1,0,1,1,2,21,19.1
27509,Jacob Pullen\jacob-pullen-1,G,2011-01-29,Kansas State,@,Kansas,L,1,34,8,22,.364,4,12,.333,4,10,.400,1,4,.250,2,1,3,1,1,0,2,2,21,8.2
27510,Casper Ware\casper-ware-1,G,2011-01-29,Long Beach State,,Cal State Fullerton,W,1,37,6,12,.500,2,3,.667,4,9,.444,5,5,1.000,0,1,1,5,3,1,3,1,21,19.1
27511,Trevon Harmon\trevon-harmon-1,G,2011-01-29,Cleveland State,@,Loyola (IL),W,1,36,8,14,.571,5,9,.556,3,5,.600,2,2,1.000,1,1,2,0,2,0,2,2,21,14.6
