Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
314101,Josh Warren\josh-warren-3,F,2017-02-03,Cornell,,Brown,L,0,13,3,5,.600,3,5,.600,0,0,,1,4,.250,0,1,1,3,0,1,0,2,7,5.8
314102,Tahjai Teague\tahjai-teague-1,F,2017-02-03,Ball State,,Buffalo,L,0,21,2,4,.500,2,4,.500,0,0,,3,5,.600,0,5,5,2,0,2,1,3,7,6.3
314103,Jeremie Tyler\jeremie-tyler-1,G,2017-02-03,Ball State,,Buffalo,L,0,22,3,7,.429,2,2,1.000,1,5,.200,0,0,,0,1,1,3,0,0,2,3,7,2.5
314104,Hanner Mosquera-Perea\hanner-mosquera-perea-1,F,2017-02-02,East Tennessee State,@,Virginia Military Institute,W,1,23,2,3,.667,2,3,.667,0,0,,3,5,.600,1,6,7,1,0,2,2,3,7,6.3
314105,Dirk Williams\dirk-williams-2,G,2017-02-02,Alabama-Birmingham,@,Texas-El Paso,L,1,32,3,11,.273,2,5,.400,1,6,.167,0,0,,0,6,6,2,0,0,0,1,7,3.3
314106,Ken'Darrius Hamilton\kendarrius-hamilton-1,F,2017-02-02,Tennessee State,,Eastern Illinois,L,0,17,2,7,.286,1,4,.250,1,3,.333,2,2,1.000,1,1,2,1,0,0,1,2,7,2.8
314107,Jordan Reed\jordan-reed-1,G,2017-02-02,Tennessee State,,Eastern Illinois,L,0,30,3,7,.429,3,7,.429,0,0,,1,1,1.000,1,6,7,2,0,0,0,2,7,6.4
314108,Gunnar Olafsson\gunnar-olafsson-1,G,2017-02-02,St. Francis (NY),,Saint Francis (PA),L,0,20,3,4,.750,2,2,1.000,1,2,.500,0,0,,2,8,10,1,0,0,0,2,7,9.1
314109,Markel Crawford\markel-crawford-1,G,2017-02-02,Memphis,@,South Florida,W,1,29,3,9,.333,2,6,.333,1,3,.333,0,1,.000,3,1,4,3,3,0,2,3,7,5.8
314110,Trevor Manuel\trevor-manuel-1,F,2017-02-02,Loyola Marymount,@,San Diego,W,0,15,2,3,.667,2,2,1.000,0,1,.000,3,4,.750,0,5,5,0,0,1,0,4,7,5.9
314111,Wyatt Walker\wyatt-walker-1,C,2017-02-02,Samford,,Western Carolina,W,1,23,2,5,.400,2,5,.400,0,0,,3,4,.750,1,3,4,1,0,1,2,0,7,4.9
314112,Alex Peters\alex-peters-1,F,2017-02-02,Samford,,Western Carolina,W,0,17,3,4,.750,3,4,.750,0,0,,1,2,.500,1,2,3,0,1,0,0,2,7,6.5
314113,Josh Huntley\josh-huntley-1,F,2017-02-02,Stephen F. Austin,@,Sam Houston State,L,0,14,3,3,1.000,3,3,1.000,0,0,,1,3,.333,0,2,2,0,0,0,0,0,7,5.9
314114,Ray Barreno\ray-barreno-1,C,2017-02-02,Portland,,Santa Clara,L,1,24,2,2,1.000,2,2,1.000,0,0,,3,4,.750,1,4,5,0,0,0,0,2,7,7.1
314115,Emmanuel Ndumanya\emmanuel-ndumanya-1,C,2017-02-02,Santa Clara,@,Portland,W,1,34,3,5,.600,3,5,.600,0,0,,1,2,.500,3,7,10,0,1,1,2,3,7,7.0
314116,Bryce Jones\bryce-jones-2,G,2017-02-02,Murray State,,Belmont,L,1,33,1,7,.143,0,1,.000,1,6,.167,4,4,1.000,1,2,3,2,0,0,0,4,7,3.6
314117,Brian Bernardi\brian-bernardi-1,G,2017-02-23,Hofstra,@,William & Mary,W,1,25,1,8,.125,0,0,,1,8,.125,4,4,1.000,0,1,1,3,1,0,1,2,7,3.4
314118,Triston Simpson\triston-simpson-1,G,2017-02-23,South Dakota,@,Western Illinois,W,0,20,2,4,.500,2,3,.667,0,1,.000,3,5,.600,0,2,2,4,0,0,0,1,7,7.2
314119,Connor Ferrell\connor-ferrell-1,G,2017-02-23,Wagner,,Bryant,W,1,16,3,7,.429,3,4,.750,0,3,.000,1,2,.500,2,2,4,0,0,0,1,3,7,2.7
314120,Ruben Guerrero\ruben-guerrero-1,C,2017-02-23,South Florida,@,Tulsa,L,1,31,3,5,.600,3,5,.600,0,0,,1,2,.500,3,2,5,1,0,2,1,4,7,6.5
314121,Xavier McDaniel Jr.\xavier-mcdanieljr-1,G,2017-02-23,Texas-Rio Grande Valley,,Seattle,L,1,20,2,6,.333,1,2,.500,1,4,.250,2,2,1.000,1,2,3,2,0,1,4,3,7,1.8
314122,William Powell\william-powell-1,F,2017-02-23,Seattle,@,Texas-Rio Grande Valley,W,1,32,2,4,.500,2,4,.500,0,0,,3,3,1.000,0,5,5,4,2,0,3,1,7,7.9
314123,Brett Bailey\brett-bailey-1,F,2017-02-23,San Diego,,Gonzaga,L,1,23,3,11,.273,3,8,.375,0,3,.000,1,2,.500,1,2,3,1,0,0,0,4,7,0.5
314124,Mike Green\mike-green-5,G,2017-02-23,Northern Arizona,@,Sacramento State,W,0,11,3,6,.500,2,2,1.000,1,4,.250,0,0,,0,0,0,0,0,0,3,0,7,1.0
314125,Kavon Stewart\kavon-stewart-1,G,2017-02-23,Robert Morris,,Fairleigh Dickinson,W,1,30,2,4,.500,2,3,.667,0,1,.000,3,5,.600,0,1,1,9,1,0,4,2,7,7.0
314126,Malik Miller\malik-miller-1,C,2017-02-23,Fairleigh Dickinson,@,Robert Morris,L,0,15,2,2,1.000,2,2,1.000,0,0,,3,4,.750,1,3,4,0,0,2,1,2,7,7.2
314127,D'Angelo Richardson\dangelo-richardson-1,G,2017-02-23,Southern Mississippi,@,Rice,L,0,25,2,7,.286,1,5,.200,1,2,.500,2,2,1.000,1,1,2,4,0,0,2,0,7,4.7
314128,Christian Bradford\christian-bradford-1,G,2017-02-23,Radford,,Presbyterian,W,1,32,2,8,.250,0,3,.000,2,5,.400,1,2,.500,0,3,3,3,0,0,0,2,7,4.0
314129,Rashad Jackson\rashad-jackson-1,G,2017-02-23,Portland,,Brigham Young,L,0,25,1,7,.143,1,7,.143,0,0,,5,9,.556,0,1,1,0,2,1,1,0,7,2.9
314130,Joe Rahon\joe-rahon-1,G,2017-02-23,Saint Mary's (CA),@,Pepperdine,W,1,35,3,7,.429,3,4,.750,0,3,.000,1,2,.500,0,6,6,6,2,0,2,1,7,8.5
314131,Ryan Taylor\ryan-taylor-1,F,2017-02-23,Marshall,@,Old Dominion,L,1,30,1,5,.200,1,4,.250,0,1,.000,5,6,.833,2,5,7,3,0,2,3,4,7,5.3
314132,Nigel Hayes\nigel-hayes-1,F,2017-02-23,Wisconsin,@,Ohio State,L,1,35,2,6,.333,2,6,.333,0,0,,3,7,.429,0,4,4,4,0,1,2,4,7,3.1
314133,Jordan Session\jordan-session-1,F,2016-12-14,Georgia State,,Alabama A&M,W,0,12,3,6,.500,2,4,.500,1,2,.500,0,0,,1,0,1,0,0,1,0,3,7,4.2
314134,Sam Cassell\sam-cassell-2,G,2016-12-14,Iona,,NJIT,W,1,29,2,7,.286,1,3,.333,1,4,.250,2,2,1.000,0,3,3,5,1,0,3,2,7,4.5
314135,Schadrac Casimir\schadrac-casimir-1,G,2016-12-14,Iona,,NJIT,W,0,14,2,4,.500,1,2,.500,1,2,.500,2,2,1.000,1,0,1,0,0,0,3,3,7,1.5
314136,Tyson Carter\tyson-carter-1,G,2016-12-14,Mississippi State,,East Tennessee State,L,1,18,3,4,.750,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,0,1,1,7,4.7
