Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
52501,Shonn Miller\shonn-miller-1,F,2013-02-15,Cornell,@,Yale,W,1,28,7,13,.538,6,10,.600,1,3,.333,3,4,.750,2,7,9,0,2,3,5,4,18,12.3
52502,Johnathan Gray\johnathan-gray-1,G,2013-02-15,Cornell,@,Yale,W,1,34,6,10,.600,2,3,.667,4,7,.571,2,2,1.000,1,3,4,2,1,1,1,1,18,16.7
52503,Denton Koon\denton-koon-1,F,2013-02-15,Princeton,@,Dartmouth,W,1,34,7,12,.583,5,9,.556,2,3,.667,2,2,1.000,2,3,5,2,0,0,3,2,18,12.3
52504,Charlie Lee\charles-lee-2,G,2013-02-15,Cleveland State,,Green Bay,L,1,37,6,16,.375,2,6,.333,4,10,.400,2,2,1.000,0,2,2,2,1,0,3,4,18,7.6
52505,Will Cherry\will-cherry-1,G,2013-02-14,Montana,@,Weber State,L,1,34,6,12,.500,5,8,.625,1,4,.250,5,6,.833,1,2,3,3,1,0,3,4,18,11.4
52506,Mathias Ward\mathias-ward-1,F,2013-02-14,Montana,@,Weber State,L,1,29,6,11,.545,4,6,.667,2,5,.400,4,6,.667,1,2,3,1,0,1,2,4,18,11.0
52507,Melvin Johnson\melvin-johnson-2,G,2013-02-14,Virginia Commonwealth,,Massachusetts,W,0,18,8,13,.615,6,9,.667,2,4,.500,0,0,,2,0,2,1,1,0,0,0,18,15.2
52508,Jarred Shaw\jarred-shaw-1,F,2013-02-14,Utah State,,Denver,L,1,40,8,12,.667,8,12,.667,0,0,,2,6,.333,3,6,9,0,0,0,3,2,18,11.3
52509,Kellen Thornton\kellen-thornton-1,F,2013-02-14,Tennessee State,,Belmont,W,1,32,8,14,.571,8,13,.615,0,1,.000,2,2,1.000,4,6,10,2,0,1,3,4,18,13.5
52510,Nate Wolters\nate-wolters-1,G,2013-02-14,South Dakota State,,IUPUI,W,1,27,5,9,.556,2,4,.500,3,5,.600,5,6,.833,0,4,4,2,2,0,1,1,18,16.5
52511,Bud Thomas\bud-thomas-1,F,2013-02-14,Mercer,@,South Carolina Upstate,W,1,29,6,11,.545,0,3,.000,6,8,.750,0,0,,2,5,7,1,0,1,2,1,18,14.6
52512,Mychal Ammons\mychal-ammons-1,G,2013-02-14,South Alabama,,Louisiana-Lafayette,W,1,29,7,11,.636,5,7,.714,2,4,.500,2,4,.500,5,6,11,0,0,2,1,1,18,17.6
52513,Kevin Bailey\kevin-bailey-1,G,2013-02-14,Portland,@,San Francisco,W,1,33,6,13,.462,4,11,.364,2,2,1.000,4,4,1.000,1,3,4,2,0,0,3,2,18,10.5
52514,Kevin Pangos\kevin-pangos-1,G,2013-02-14,Gonzaga,@,Saint Mary's (CA),W,1,37,4,9,.444,3,5,.600,1,4,.250,9,10,.900,0,6,6,3,0,0,0,0,18,16.8
52515,Evan Conti\evan-conti-1,G,2013-02-14,Quinnipiac,,Robert Morris,W,1,28,7,11,.636,6,9,.667,1,2,.500,3,5,.600,1,5,6,2,0,1,1,1,18,15.2
52516,Bernard Thompson\bernard-thompson-2,G,2013-02-14,Florida Gulf Coast,@,Northern Kentucky,W,1,30,6,10,.600,3,5,.600,3,5,.600,3,4,.750,0,4,4,3,2,0,1,3,18,16.1
52517,Derrell Armstrong\derrell-armstrong-1,G,2013-02-14,North Carolina-Greensboro,,Western Carolina,L,1,29,5,7,.714,3,4,.750,2,3,.667,6,6,1.000,1,1,2,3,4,0,1,3,18,20.0
52518,Devon Atkinson\devon-atkinson-1,G,2013-02-14,Morehead State,,Jacksonville State,W,1,30,5,8,.625,3,5,.600,2,3,.667,6,6,1.000,0,0,0,7,0,0,0,2,18,18.5
52519,Robert Olson\robert-olson-1,G,2013-02-14,Loyola (MD),,Canisius,W,1,32,7,14,.500,3,6,.500,4,8,.500,0,0,,1,3,4,2,5,0,2,1,18,16.6
52520,D'Angelo Harrison\dangelo-harrison-1,G,2013-02-14,St. John's (NY),@,Louisville,L,1,34,6,19,.316,4,10,.400,2,9,.222,4,6,.667,0,2,2,3,0,0,0,5,18,7.0
52521,Trent Mackey\trent-mackey-1,G,2013-02-14,Louisiana-Monroe,,North Texas,W,1,36,6,8,.750,1,1,1.000,5,7,.714,1,2,.500,1,1,2,0,0,0,0,2,18,14.6
52522,Jamie Adams\jamie-adams-1,G,2013-02-14,Florida A&M,,Savannah State,L,1,34,6,11,.545,6,10,.600,0,1,.000,6,8,.750,0,1,1,4,2,0,2,3,18,13.8
52523,Rashawn Rembert\rashawn-rembert-1,G,2013-02-14,East Tennessee State,,Kennesaw State,W,1,35,6,18,.333,2,6,.333,4,12,.333,2,2,1.000,1,4,5,3,0,1,1,1,18,11.1
52524,Hameed Ali\hameed-ali-1,G,2013-02-14,Texas A&M-Corpus Christi,@,Central Arkansas,W,1,35,7,10,.700,5,8,.625,2,2,1.000,2,4,.500,0,0,0,6,3,1,3,4,18,16.3
52525,David Kravish\david-kravish-1,F,2013-02-14,University of California,,UCLA,W,1,35,8,11,.727,8,11,.727,0,0,,2,4,.500,5,8,13,1,1,1,0,0,18,21.0
52526,Rashun Davis\rashun-davis-1,G,2013-02-13,Radford,@,Virginia Military Institute,W,0,27,7,16,.438,5,10,.500,2,6,.333,2,2,1.000,0,3,3,3,1,0,4,2,18,8.8
52527,Sheldon McClellan\sheldon-mcclellan-1,G,2013-02-13,Texas,,Iowa State,W,0,26,5,10,.500,5,7,.714,0,3,.000,8,8,1.000,3,5,8,0,1,0,0,0,18,17.6
52528,Xavier Munford\xavier-munford-1,G,2013-02-13,Rhode Island,,Dayton,W,1,36,6,14,.429,3,6,.500,3,8,.375,3,5,.600,1,1,2,1,0,3,3,1,18,10.2
52529,Devon Saddler\devon-saddler-1,G,2013-02-13,Delaware,@,Northeastern,W,1,43,7,17,.412,5,10,.500,2,7,.286,2,3,.667,0,4,4,3,2,0,2,1,18,11.4
52530,Justin Edwards\justin-edwards-2,G,2013-02-13,Maine,,Hartford,W,1,34,6,10,.600,3,5,.600,3,5,.600,3,4,.750,2,6,8,5,1,0,6,3,18,13.5
52531,Sammy Yeager\sammy-yeager-1,F,2013-02-13,Cal State Fullerton,@,Long Beach State,L,1,34,6,15,.400,2,6,.333,4,9,.444,2,2,1.000,0,2,2,1,1,0,0,1,18,11.8
