Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
78601,Kerwin Roach Jr.\kerwin-roachjr-1,G,2016-11-22,Texas,,Colorado,L,1,30,6,16,.375,5,12,.417,1,4,.250,3,4,.750,0,2,2,1,0,0,1,3,16,5.9
78602,Jailyn Ingram\jailyn-ingram-1,F,2016-11-22,Florida Atlantic,,South Florida,W,1,25,4,6,.667,3,5,.600,1,1,1.000,7,9,.778,2,6,8,1,0,0,2,3,16,13.3
78603,Levi Bradley\levi-bradley-1,G,2017-02-11,Northern Illinois,@,Western Michigan,L,0,30,6,14,.429,5,10,.500,1,4,.250,3,6,.500,4,5,9,0,1,0,1,2,16,10.9
78604,Deshon Taylor\deshon-taylor-1,G,2016-12-14,Fresno State,,Holy Names,W,0,24,7,10,.700,5,6,.833,2,4,.500,0,1,.000,1,3,4,4,2,0,2,1,16,15.4
78605,James Scott\james-scott-2,G,2016-12-14,Kennesaw State,@,Rider,L,0,21,6,10,.600,4,6,.667,2,4,.500,2,2,1.000,0,3,3,2,0,0,3,3,16,9.5
78606,Johannes Nielsen\johannes-nielsen-1,F,2016-12-14,Kennesaw State,@,Rider,L,0,27,8,11,.727,8,11,.727,0,0,,0,0,,2,4,6,4,2,1,1,5,16,16.6
78607,Kalob Ledoux\kalob-ledoux-1,G,2016-12-14,McNeese State,@,Southern Methodist,L,0,20,6,11,.545,2,6,.333,4,5,.800,0,0,,0,3,3,0,0,0,2,3,16,8.4
78608,Semi Ojeleye\semi-ojeleye-1,F,2016-12-14,Southern Methodist,,McNeese State,W,1,25,4,11,.364,0,4,.000,4,7,.571,4,4,1.000,3,3,6,1,0,0,2,2,16,10.8
78609,Deven Simms\deven-simms-1,G,2016-12-14,Arkansas State,@,Tennessee-Martin,W,0,25,6,13,.462,6,12,.500,0,1,.000,4,5,.800,2,4,6,4,1,0,3,0,16,12.3
78610,Adrian Rich\adrian-rich-1,G,2017-02-11,Virginia Military Institute,,Citadel,W,1,34,6,9,.667,4,5,.800,2,4,.500,2,2,1.000,1,1,2,2,3,0,1,4,16,14.9
78611,Louis Adams\louis-adams-1,G,2017-02-11,Wyoming,@,Utah State,L,1,24,6,13,.462,4,9,.444,2,4,.500,2,2,1.000,0,3,3,1,3,1,1,1,16,13.2
78612,Parker Van Dyke\parker-vandyke-1,G,2017-02-11,Utah,,Washington,W,1,28,6,10,.600,2,2,1.000,4,8,.500,0,0,,1,0,1,4,1,1,1,2,16,14.8
78613,Devon Daniels\devon-daniels-1,G,2017-02-11,Utah,,Washington,W,1,27,7,9,.778,5,6,.833,2,3,.667,0,0,,3,5,8,3,1,0,1,1,16,17.8
78614,Chris Chiozza\chris-chiozza-1,G,2016-12-01,Florida,@,North Florida,W,0,26,5,8,.625,2,3,.667,3,5,.600,3,3,1.000,0,4,4,9,3,0,1,3,16,20.7
78615,KeVaughn Allen\kevaughn-allen-1,G,2016-12-11,Florida,@,Florida State,L,1,20,6,13,.462,5,10,.500,1,3,.333,3,5,.600,0,0,0,0,0,0,1,4,16,5.9
78616,Terance Mann\terance-mann-1,G,2016-12-11,Florida State,,Florida,W,1,31,6,10,.600,6,10,.600,0,0,,4,8,.500,2,8,10,2,1,0,3,1,16,12.6
78617,Ricky Madison\ricky-madison-1,G,2016-12-11,High Point,,Ferrum,W,1,20,5,9,.556,4,7,.571,1,2,.500,5,6,.833,4,3,7,0,0,1,0,0,16,15.7
78618,Tarique Thompson\tarique-thompson-1,F,2016-12-11,High Point,,Ferrum,W,0,15,8,8,1.000,8,8,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,0,16,13.5
78619,Devin Carter\devin-carter-1,G,2017-02-11,Arkansas State,@,Texas-Arlington,L,1,37,5,12,.417,2,6,.333,3,6,.500,3,5,.600,1,8,9,1,0,0,1,4,16,10.0
78620,Evan Bradds\evan-bradds-1,G,2017-02-11,Belmont,@,Tennessee Tech,L,1,35,4,8,.500,4,7,.571,0,1,.000,8,8,1.000,2,6,8,5,0,0,2,3,16,15.5
78621,Jalen Henry\jalen-henry-1,F,2017-02-11,Southern Illinois-Edwardsville,,Tennessee-Martin,L,1,27,7,13,.538,7,8,.875,0,5,.000,2,2,1.000,2,4,6,1,0,0,2,4,16,9.4
78622,Jonathan Williams\jonathan-williams-2,G,2016-11-27,Toledo,,North Carolina-Wilmington,L,1,33,6,11,.545,4,5,.800,2,6,.333,2,3,.667,1,7,8,4,0,0,5,3,16,9.7
78623,Chimezie Metu\chimezie-metu-1,F,2017-02-11,Southern California,,Oregon,L,1,25,6,8,.750,6,8,.750,0,0,,4,5,.800,2,2,4,3,0,0,2,3,16,13.3
78624,Christavious Gill\christavious-gill-1,G,2017-02-11,New Orleans,@,Southeastern Louisiana,W,1,30,3,10,.300,0,2,.000,3,8,.375,7,8,.875,0,0,0,0,2,0,0,2,16,11.0
78625,Roland Nyama\roland-nyama-1,G,2016-11-11,Stony Brook,,Columbia,L,1,25,6,8,.750,4,5,.800,2,3,.667,2,2,1.000,2,2,4,0,3,0,2,2,16,15.0
78626,Eric Davis Jr.\eric-davisjr-1,G,2016-11-11,Texas,,Incarnate Word,W,1,32,5,13,.385,4,7,.571,1,6,.167,5,6,.833,0,6,6,2,0,0,1,2,16,9.9
78627,Jarrett Allen\jarrett-allen-1,F,2016-11-11,Texas,,Incarnate Word,W,1,36,7,11,.636,7,11,.636,0,0,,2,4,.500,3,9,12,0,0,2,2,2,16,13.7
