Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
519101,Chauncey Collins\chauncey-collins-1,G,2014-12-29,Texas Christian,,Tennessee State,W,0,8,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,0,1,0,0,2,3,1.5
519102,Robert Cartwright\robert-cartwright-1,G,2014-12-29,Stanford,,Arkansas-Pine Bluff,W,0,15,1,2,.500,0,0,,1,2,.500,0,1,.000,1,0,1,1,0,0,2,2,3,0.2
519103,Ben Emelogu\ben-emelogu-1,G,2014-12-29,Southern Methodist,,Midwestern State,W,0,13,0,2,.000,0,1,.000,0,1,.000,3,4,.750,0,0,0,1,0,0,2,0,3,-0.1
519104,Gary Bell\gary-bell-1,G,2014-12-29,Gonzaga,@,San Diego,W,1,29,1,7,.143,1,4,.250,0,3,.000,1,2,.500,0,2,2,1,1,0,2,2,3,-2.4
519105,Jito Kok\jito-kok-1,F,2014-12-29,San Diego,,Gonzaga,L,1,29,1,5,.200,1,5,.200,0,0,,1,2,.500,2,2,4,0,0,3,1,1,3,2.2
519106,Kyle McLeroy\kyle-mcleroy-1,G,2014-12-29,Sam Houston State,,Howard Payne,W,0,6,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,3.7
519107,Troy Reid-Knight\troy-reid-knight-1,G,2014-12-29,Maine,@,Quinnipiac,L,0,8,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,2,0,0,1,0,3,2.4
519108,Garvey Melmed\garvey-melmed-1,G,2014-12-29,Maine,@,Quinnipiac,L,1,28,1,3,.333,0,1,.000,1,2,.500,0,0,,1,1,2,3,0,0,0,2,3,3.6
519109,Jonathan Arledge\jonathan-arledge-1,F,2014-12-29,Old Dominion,,Mount St. Mary's,W,1,16,1,6,.167,1,5,.200,0,1,.000,1,2,.500,2,2,4,1,0,1,1,0,3,1.2
519110,Michael Orris\michael-orris-1,G,2014-12-29,Northern Illinois,,Hampton,W,1,24,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,0,0,3,1,0,2,2,3,1.9
519111,Rashaun Madison\rashaun-madison-1,G,2014-12-29,North Carolina Central,,IUPUI,W,0,8,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,1,0,0,3,0,3,0.3
519112,Josh James\josh-james-1,F,2014-12-29,IUPUI,@,North Carolina Central,L,0,17,1,2,.500,1,2,.500,0,0,,1,1,1.000,3,1,4,0,0,0,0,2,3,3.6
519113,Joniah White\joniah-white-1,C,2014-12-29,Louisiana Tech,,Southern Arkansas,W,0,16,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,2,3,1,1,1,1,0,3,5.0
