Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
526301,Maxwell Kupchak\maxwell-kupchak-1,F,2016-03-10,UC-Santa Barbara,,UC-Davis,W,0,11,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,3,3,0,0,0,2,3,3,-0.7
526302,Justin Burks\justin-burks-1,F,2016-03-10,UC-Santa Barbara,,UC-Davis,W,0,3,1,1,1.000,0,0,,1,1,1.000,0,0,,1,0,1,1,0,0,0,0,3,4.1
526303,Jarriesse Blackmon\jarriesse-blackmon-1,F,2016-03-10,UC-Santa Barbara,,UC-Davis,W,1,14,1,4,.250,1,3,.333,0,1,.000,1,2,.500,1,2,3,1,0,0,0,1,3,1.8
526304,Taylor Sutlive\taylor-sutlive-1,G,2016-03-10,Cal Poly,,UC-Irvine,L,0,12,1,3,.333,0,0,,1,3,.333,0,0,,0,2,2,2,0,1,0,1,3,3.6
526305,Jaylen Shead\jaylen-snead-1,G,2016-03-10,Cal Poly,,UC-Irvine,L,1,26,1,4,.250,0,2,.000,1,2,.500,0,0,,1,4,5,3,1,0,1,0,3,4.6
526306,Malcolm Duvivier\malcolm-duvivier-1,G,2016-03-10,Oregon State,,University of California,L,1,27,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,2,2,1,1,0,1,1,3,2.2
526307,Langston Morris-Walker\langston-morris-walker-1,G,2016-03-10,Oregon State,,University of California,L,0,9,1,6,.167,0,3,.000,1,3,.333,0,0,,1,0,1,0,0,0,0,1,3,-0.5
526308,Clemmye Owens\clemmye-owens-1,G,2016-03-10,Chicago State,,Cal State Bakersfield,L,1,19,1,8,.125,0,3,.000,1,5,.200,0,0,,0,2,2,2,1,0,0,0,3,0.8
526309,Diamante Lewis\diamante-lewis-1,G,2016-03-10,Bethune-Cookman,,Savannah State,L,0,20,0,6,.000,0,4,.000,0,2,.000,3,4,.750,2,3,5,1,0,0,3,5,3,-3.6
526310,Dusan Ristic\dusan-ristic-1,C,2016-03-10,Arizona,,Colorado,W,0,12,1,2,.500,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,2,0,3,3,3.1
526311,Chance Comanche\chance-comanche-1,C,2016-03-10,Arizona,,Colorado,W,0,4,0,0,,0,0,,0,0,,3,4,.750,0,2,2,0,0,1,0,2,3,3.1
526312,Jeremy Lieberman\jeremy-lieberman-1,G,2016-03-09,Wyoming,,Utah State,L,1,35,0,5,.000,0,0,,0,5,.000,3,3,1.000,0,4,4,0,0,0,1,4,3,-1.9
526313,Marcus Sheffield\marcus-sheffield-1,G,2016-03-09,Stanford,,Washington,L,0,14,1,5,.200,1,2,.500,0,3,.000,1,2,.500,0,0,0,0,1,0,3,1,3,-2.9
526314,Benji Bell\benji-bell-1,G,2016-03-09,Florida State,,Virginia Tech,L,0,11,0,4,.000,0,2,.000,0,2,.000,3,7,.429,1,0,1,0,0,0,0,2,3,-1.5
526315,Lucas Campbell\lucas-campbell-1,G,2016-03-09,Tennessee,,Auburn,W,0,4,1,3,.333,0,1,.000,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,1.6
526316,Jordon Granger\jordon-granger-1,F,2016-03-09,Auburn,,Tennessee,L,1,25,1,4,.250,0,0,,1,4,.250,0,0,,0,2,2,0,0,0,0,1,3,0.8
526317,Cole Stockton\cole-stockton-1,G,2016-03-09,Auburn,,Tennessee,L,0,2,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3
526318,Cheikh N'diaye\cheikh-ndiaye-1,C,2016-03-09,Oregon State,,Arizona State,W,0,7,0,0,,0,0,,0,0,,3,3,1.000,0,3,3,0,0,0,1,1,3,2.5
526319,Solomon Poole\solomon-poole-1,G,2016-03-09,Florida Atlantic,,Old Dominion,L,0,9,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,0,0,0,2,2,3,-1.9
526320,Adonis Filer\adonis-filer-1,G,2016-03-09,Florida Atlantic,,Old Dominion,L,1,29,1,5,.200,0,1,.000,1,4,.250,0,0,,1,3,4,0,1,1,2,3,3,0.0
526321,Moses Toriola\moses-toriola-1,F,2016-03-09,Norfolk State,,North Carolina Central,W,0,7,1,2,.500,1,2,.500,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3,1.8
526322,C.J. Wiggins\cj-wiggins-1,G,2016-03-09,North Carolina Central,,Norfolk State,L,1,29,1,3,.333,1,3,.333,0,0,,1,3,.333,0,1,1,1,0,0,3,0,3,-1.5
526323,Jalen Poyser\jalen-poyser-1,G,2016-03-09,Nevada-Las Vegas,,Air Force,W,0,25,1,5,.200,1,3,.333,0,2,.000,1,1,1.000,0,1,1,1,1,0,1,5,3,-1.1
526324,Austin Starr\austin-starr-1,G,2016-03-09,Nevada-Las Vegas,,Air Force,W,0,9,0,1,.000,0,0,,0,1,.000,3,4,.750,0,0,0,0,0,0,0,1,3,1.5
526325,Bakari Evelyn\bakari-evelyn-1,G,2016-03-09,Nebraska,,Rutgers,W,0,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0
526326,Schane Rillieux\shane-rillieux-1,G,2016-03-09,Nicholls State,,McNeese State,W,1,39,1,5,.200,1,4,.250,0,1,.000,1,5,.200,0,4,4,2,1,0,1,4,3,-0.7
526327,Cullen Hamilton\cullen-hamilton-1,G,2016-03-09,Holy Cross,,Lehigh,W,1,10,1,4,.250,0,0,,1,4,.250,0,0,,0,1,1,1,0,0,1,1,3,0.2
526328,Mike Lukashewich\mike-lukashewich-1,G,2016-03-09,Minnesota,,Illinois,L,0,11,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,2.6
526329,Jaylon Tate\jaylon-tate-1,G,2016-03-09,Illinois,,Minnesota,W,0,25,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,3,3,4,0,0,0,0,3,5.0
526330,Cameron Liss\cameron-liss-1,F,2016-03-09,Illinois,,Minnesota,W,0,3,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,2.3
526331,Andrew Hampton\andrew-hampton-1,F,2016-03-09,Morgan State,,Hampton,L,0,12,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,2,2,1,0,1,0,4,3,1.7
526332,Nakye Sanders\nayke-sanders-1,F,2016-03-09,Duquesne,,La Salle,L,0,14,1,2,.500,1,2,.500,0,0,,1,3,.333,2,4,6,0,0,1,0,1,3,4.1
526333,Karl Harris\karl-harris-1,G,2016-03-09,La Salle,,Duquesne,W,0,4,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,2.7
526334,Eric James\eric-james-2,G,2016-03-09,Duquesne,,La Salle,L,1,29,1,6,.167,0,4,.000,1,2,.500,0,0,,1,1,2,1,2,1,1,2,3,1.8
526335,Matt Jones\matt-jones-3,G,2016-03-09,Duke,,North Carolina State,W,1,27,1,5,.200,0,2,.000,1,3,.333,0,0,,1,1,2,2,0,0,0,3,3,1.1
526336,Viont'e Daniels\vionte-daniels-1,G,2016-03-09,Washington State,,Colorado,L,0,12,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,2.3
