Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
99301,Toney McCray\toney-mccray-1,G,2011-12-04,Nebraska,@,Creighton,L,0,25,6,10,.600,6,8,.750,0,2,.000,3,4,.750,3,2,5,1,1,0,2,3,15,11.2
99302,Nemanja Mikic\nemanja-mikic-1,F,2011-12-04,George Washington,,Virginia Commonwealth,L,1,25,6,12,.500,3,5,.600,3,7,.429,0,0,,0,0,0,1,0,0,1,3,15,7.5
99303,Christopher Tolson\christopher-tolson-1,G,2011-12-04,Hampton,,Howard,W,1,27,6,9,.667,5,5,1.000,1,4,.250,2,4,.500,1,0,1,1,1,0,0,2,15,11.9
99304,Isaiah Morton\isaiah-morton-1,G,2011-12-04,Marist,,Rider,W,1,33,6,12,.500,3,6,.500,3,6,.500,0,2,.000,1,1,2,5,1,1,3,2,15,10.6
99305,Drew Crawford\drew-crawford-1,G,2011-12-04,Northwestern,,Baylor,L,1,38,5,16,.313,2,8,.250,3,8,.375,2,2,1.000,3,2,5,3,0,1,1,2,15,9.5
99306,Sasa Borovnjak\sasa-borovnjak-1,F,2011-12-04,Penn State,,Mississippi,L,0,27,7,7,1.000,7,7,1.000,0,0,,1,1,1.000,1,3,4,0,0,0,1,2,15,12.7
99307,Justin Raffington\justin-raffington-1,C,2011-12-04,San Francisco,,Pacific Union,W,0,21,6,8,.750,6,8,.750,0,0,,3,4,.750,3,5,8,1,1,2,1,1,15,16.7
99308,Neil Watson\neil-watson-1,G,2011-12-04,Southern Mississippi,,New Mexico State,W,0,30,4,10,.400,4,8,.500,0,2,.000,7,9,.778,0,1,1,2,0,0,1,0,15,9.5
99309,Wendell McKines\wendell-mckines-1,F,2011-12-04,New Mexico State,@,Southern Mississippi,L,1,27,6,11,.545,4,6,.667,2,5,.400,1,2,.500,1,4,5,1,2,0,3,4,15,9.3
99310,Aaron Bright\aaron-bright-1,G,2011-12-04,Stanford,,North Carolina State,W,1,31,5,8,.625,3,5,.600,2,3,.667,3,4,.750,0,2,2,3,1,0,0,1,15,14.3
99311,Robert Brown\robert-brown-4,G,2011-12-04,Virginia Tech,,Kansas State,L,0,31,6,17,.353,4,7,.571,2,10,.200,1,2,.500,1,2,3,1,2,1,1,4,15,7.2
99312,Tony Gallo\tony-gallo-1,G,2011-12-05,Coppin State,,Rio Grande,W,1,33,4,15,.267,1,7,.143,3,8,.375,4,4,1.000,0,4,4,3,6,0,2,1,15,13.0
99313,D'Angelo Harrison\dangelo-harrison-1,G,2011-12-05,St. John's (NY),@,Detroit Mercy,L,0,33,3,13,.231,0,3,.000,3,10,.300,6,6,1.000,0,1,1,2,1,0,1,4,15,7.2
99314,Yannick Crowder\yannick-crowder-1,F,2011-12-05,Florida A&M,,Allen,W,1,24,7,9,.778,7,9,.778,0,0,,1,4,.250,6,7,13,1,4,7,1,1,15,24.8
99315,Justin Swidowski\justin-swidowski-1,F,2011-12-05,Sacred Heart,,Yale,L,1,31,6,11,.545,6,10,.600,0,1,.000,3,4,.750,1,5,6,1,0,2,0,4,15,12.0
99316,Tyler Hood\tyler-hood-1,F,2011-12-05,Samford,,Texas-San Antonio,L,1,27,6,11,.545,3,6,.500,3,5,.600,0,1,.000,4,3,7,3,0,2,3,2,15,12.7
99317,Eric Lawton\eric-lawton-1,G,2011-12-06,Arkansas-Little Rock,,Philander Smith,W,0,22,6,10,.600,6,7,.857,0,3,.000,3,4,.750,1,1,2,4,0,0,1,4,15,11.2
99318,Barry Smith\barry-smith-1,F,2011-12-06,Citadel,,Coastal Carolina,L,1,36,4,9,.444,1,4,.250,3,5,.600,4,4,1.000,0,5,5,2,2,2,0,2,15,15.8
99319,Russell Johnson\russell-johnson-1,F,2011-12-06,Robert Morris,@,Duquesne,W,1,30,6,10,.600,5,5,1.000,1,5,.200,2,2,1.000,1,8,9,1,0,0,4,1,15,9.8
99320,Landon Clement\landon-clement-1,G,2011-12-06,North Carolina Central,@,Eastern Kentucky,L,0,35,5,8,.625,0,1,.000,5,7,.714,0,1,.000,0,1,1,1,0,0,3,1,15,8.6
99321,Ike Azotam\ike-azotam-1,F,2011-12-06,Quinnipiac,@,Hartford,W,1,28,4,8,.500,4,8,.500,0,0,,7,13,.538,4,6,10,0,1,0,3,3,15,10.0
99322,James Johnson\james-johnson-1,G,2011-12-06,Quinnipiac,@,Hartford,W,1,37,6,15,.400,4,8,.500,2,7,.286,1,2,.500,0,1,1,3,2,0,2,3,15,7.7
99323,Alphonso Leary\alphonso-leary-1,C,2011-12-06,Howard,,Delaware State,W,1,31,5,7,.714,5,7,.714,0,0,,5,7,.714,1,6,7,1,0,0,1,3,15,12.3
99324,Percy Gibson\percy-gibson-1,C,2011-12-06,Iowa State,,Prairie View,W,1,27,7,8,.875,7,8,.875,0,0,,1,4,.250,2,5,7,0,0,1,2,3,15,11.4
99325,Louis Ellis\louis-ellis-1,G,2011-12-06,Northwestern State,@,Louisiana Tech,L,1,38,4,11,.364,1,3,.333,3,8,.375,4,4,1.000,3,1,4,2,1,0,0,2,15,12.9
99326,C.J. Wilcox\cj-wilcox-1,G,2011-12-06,Washington,,Marquette,L,1,36,6,16,.375,3,7,.429,3,9,.333,0,0,,1,2,3,0,1,4,0,1,15,10.9
99327,Julian Welch\julian-welch-1,G,2011-12-06,Minnesota,,Appalachian State,W,1,25,4,7,.571,3,6,.500,1,1,1.000,6,6,1.000,0,2,2,0,2,0,4,2,15,9.5
99328,Kim English\kim-english-1,G,2011-12-06,Missouri,,Villanova,W,1,32,5,12,.417,2,5,.400,3,7,.429,2,2,1.000,1,1,2,0,1,0,2,4,15,7.0
99329,Reggie Bullock\reggie-bullock-2,G,2011-12-06,North Carolina,,Evansville,W,0,17,5,9,.556,1,2,.500,4,7,.571,1,1,1.000,0,3,3,1,1,0,0,0,15,13.3
99330,Khalil Kelley\khalil-kelley-1,F,2011-12-06,Pacific,,Hawaii,W,1,27,7,7,1.000,7,7,1.000,0,0,,1,3,.333,6,7,13,2,2,2,1,4,15,20.6
99331,Dion Waiters\dion-waiters-1,G,2011-12-06,Syracuse,,Marshall,W,0,22,4,7,.571,4,6,.667,0,1,.000,7,8,.875,0,0,0,2,2,0,2,0,15,12.7
99332,Hank Thorns\hank-thorns-1,G,2011-12-06,Texas Christian,,Texas Tech,W,1,36,3,11,.273,1,6,.167,2,5,.400,7,8,.875,0,2,2,4,1,0,3,2,15,8.7
99333,Chris Martin\chris-martin-2,G,2011-12-06,Wagner,,Hofstra,W,0,25,4,9,.444,1,4,.250,3,5,.600,4,4,1.000,3,1,4,0,1,0,1,3,15,11.5
99334,Mike Moore\mike-moore-1,G,2011-12-06,Hofstra,@,Wagner,L,1,33,4,16,.250,4,13,.308,0,3,.000,7,8,.875,0,4,4,0,4,0,6,3,15,3.0
99335,Michael Lyons\michael-lyons-1,G,2011-12-07,Air Force,,Wright State,W,1,25,5,10,.500,2,4,.500,3,6,.500,2,2,1.000,0,4,4,0,1,0,2,0,15,10.2
99336,Jordan Swing\jordan-swing-1,F,2011-12-07,Alabama-Birmingham,,Middle Tennessee,W,1,34,5,12,.417,4,8,.500,1,4,.250,4,4,1.000,5,2,7,2,0,0,2,3,15,10.9
99337,Carrick Felix\carrick-felix-1,G,2011-12-07,Arizona State,,Nevada,L,1,32,4,10,.400,1,4,.250,3,6,.500,4,5,.800,1,5,6,0,1,1,1,3,15,10.9
