Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
51901,Louie Krogman\louie-krogman-1,G,2011-02-24,South Dakota,,NJIT,W,1,36,7,16,.438,4,7,.571,3,9,.333,2,2,1.000,0,8,8,1,0,1,0,0,19,14.4
51902,Trevor Gruis\trevor-gruis-1,C,2011-02-24,South Dakota,,NJIT,W,1,30,6,8,.750,6,8,.750,0,0,,7,8,.875,2,1,3,2,1,2,1,3,19,18.7
51903,Andy Diaz\andy-diaz-1,F,2011-02-24,North Florida,@,Stetson,W,1,33,9,11,.818,9,11,.818,0,0,,1,2,.500,2,4,6,0,0,0,4,3,19,11.9
51904,DeJuan Wright\dejuan-wright-1,G,2011-02-24,Florida International,@,Western Kentucky,L,1,35,8,18,.444,7,16,.438,1,2,.500,2,2,1.000,6,1,7,1,1,0,2,2,19,13.0
51905,Jesse Sanders\jesse-sanders-1,G,2011-02-24,Liberty,@,Winthrop,L,1,35,5,9,.556,4,7,.571,1,2,.500,8,11,.727,4,2,6,1,2,1,6,4,19,12.7
51906,Bryquis Perine\bryquis-perine-1,G,2011-02-24,Green Bay,@,Youngstown State,W,1,32,6,10,.600,4,5,.800,2,5,.400,5,7,.714,0,2,2,2,2,0,3,0,19,14.6
51907,Damian Eargle\damian-eargle-1,F,2011-02-24,Youngstown State,,Green Bay,L,1,34,8,15,.533,8,15,.533,0,0,,3,5,.600,4,3,7,1,1,4,1,2,19,17.3
51908,Kendrick Perry\kendrick-perry-1,G,2011-02-24,Youngstown State,,Green Bay,L,1,40,6,13,.462,1,6,.167,5,7,.714,2,4,.500,0,3,3,2,2,0,2,4,19,12.2
51909,Erik Etherly\erik-etherly-1,F,2011-02-25,Loyola (MD),@,Niagara,W,1,30,5,10,.500,5,10,.500,0,0,,9,12,.750,1,6,7,2,2,1,1,3,19,17.2
51910,Brian Barbour\brian-barbour-1,G,2011-02-25,Columbia,@,Pennsylvania,L,1,36,7,15,.467,6,11,.545,1,4,.250,4,4,1.000,0,0,0,1,3,0,1,1,19,13.6
51911,Eli Holman\eli-holman-1,C,2011-02-25,Detroit Mercy,@,Wright State,W,1,24,6,8,.750,6,8,.750,0,0,,7,11,.636,4,6,10,2,0,2,2,3,19,18.4
51912,Porter Braswell\porter-braswell-1,G,2011-02-25,Yale,,Dartmouth,W,1,38,5,11,.455,4,7,.571,1,4,.250,8,8,1.000,1,2,3,4,1,0,3,1,19,15.0
51913,Harrison Smith\harrison-smith-1,G,2011-02-26,Texas Southern,@,Alabama A&M,W,1,45,8,11,.727,5,7,.714,3,4,.750,0,2,.000,0,3,3,2,1,0,0,2,19,16.2
51914,Gavin Montgomery\gavin-montgomery-1,G,2011-02-26,Arkansas-Pine Bluff,,Grambling,L,1,38,7,8,.875,4,5,.800,3,3,1.000,2,3,.667,1,7,8,0,0,0,2,2,19,15.8
51915,Rupert Rose\rupert-rose-1,G,2011-02-26,Grambling,@,Arkansas-Pine Bluff,W,1,34,8,11,.727,7,10,.700,1,1,1.000,2,2,1.000,2,5,7,2,3,0,2,4,19,18.2
51916,R.J. Griffin\rj-griffin-1,G,2011-02-26,Dartmouth,@,Brown,L,1,32,6,13,.462,2,5,.400,4,8,.500,3,3,1.000,0,3,3,2,2,0,0,2,19,15.8
51917,Devon Peltier\devon-peltier-1,G,2011-02-26,Cal State Fullerton,,Cal Poly,L,1,30,7,13,.538,3,5,.600,4,8,.500,1,1,1.000,1,0,1,3,0,0,1,4,19,12.9
51918,Jer'Vaughn Johnson\jervaughn-johnson-1,F,2011-02-26,Cal State Fullerton,,Cal Poly,L,1,37,7,14,.500,7,13,.538,0,1,.000,5,5,1.000,5,12,17,2,0,0,1,2,19,18.7
51919,Parker Smith\parker-smith-2,G,2011-02-26,North Florida,@,Florida Gulf Coast,W,0,26,5,14,.357,1,4,.250,4,10,.400,5,6,.833,0,5,5,0,1,0,3,2,19,9.5
51920,Regis Huddleston\regis-huddleston-1,G,2011-02-26,Troy,@,Florida International,L,0,25,6,16,.375,1,3,.333,5,13,.385,2,2,1.000,0,1,1,2,4,0,1,2,19,14.1
