Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
362701,Jon Evans\jon-evans-1,G,2011-12-14,Houston Baptist,,Campbell,W,0,19,2,5,.400,0,1,.000,2,4,.500,0,0,,0,1,1,2,1,0,1,3,6,3.8
362702,Rico Ferguson\rico-ferguson-1,G,2011-12-14,Campbell,@,Houston Baptist,L,1,25,2,5,.400,2,5,.400,0,0,,2,4,.500,1,2,3,4,2,0,4,2,6,3.8
362703,Charlie Harper\charlie-harper-1,G,2011-12-14,Lamar,,Huston-Tillotson,W,0,18,3,5,.600,3,5,.600,0,0,,0,0,,2,7,9,1,1,1,0,2,6,8.8
362704,Devon Lamb\devon-lamb-1,G,2011-12-14,Lamar,,Huston-Tillotson,W,0,23,2,7,.286,2,7,.286,0,0,,2,4,.500,3,5,8,4,5,0,1,0,6,11.5
362705,Ameer Ali\ameer-ali-1,F,2011-12-14,Morgan State,@,Maryland-Baltimore County,W,1,24,1,5,.200,1,3,.333,0,2,.000,4,4,1.000,1,3,4,1,1,0,4,2,6,1.4
362706,DeJuan Wright\dejuan-wright-1,G,2011-12-14,Florida International,@,Maryland,L,1,17,2,5,.400,1,3,.333,1,2,.500,1,2,.500,2,2,4,0,1,1,1,2,6,4.8
362707,Dominique Ferguson\dominique-ferguson-1,F,2011-12-14,Florida International,@,Maryland,L,1,36,3,15,.200,3,13,.231,0,2,.000,0,0,,2,4,6,0,1,2,3,3,6,-2.5
362708,Elfrid Payton\elfrid-payton-1,G,2011-12-14,Louisiana-Lafayette,@,Mississippi,L,0,26,2,5,.400,2,5,.400,0,0,,2,5,.400,0,5,5,1,2,0,7,3,6,-1.9
362709,Kadeem Coleby\kadeem-coleby-1,C,2011-12-14,Louisiana-Lafayette,@,Mississippi,L,1,32,3,5,.600,3,5,.600,0,0,,0,3,.000,1,4,5,2,1,2,3,1,6,4.8
362710,Murphy Holloway\murphy-holloway-1,F,2011-12-14,Mississippi,,Louisiana-Lafayette,W,1,29,3,5,.600,3,5,.600,0,0,,0,0,,1,9,10,1,1,0,2,4,6,5.2
362711,Raymone Andrews\raymone-andrews-1,G,2011-12-14,Louisiana-Lafayette,@,Mississippi,L,1,18,2,6,.333,1,3,.333,1,3,.333,1,1,1.000,1,1,2,2,1,1,3,4,6,2.1
362712,Mike Moser\mike-moser-1,F,2011-12-14,Nevada-Las Vegas,,Texas-El Paso,W,1,32,3,8,.375,3,7,.429,0,1,.000,0,0,,3,8,11,0,1,0,3,3,6,2.9
362713,Oscar Bellfield\oscar-bellfield-1,G,2011-12-14,Nevada-Las Vegas,,Texas-El Paso,W,1,32,2,6,.333,0,3,.000,2,3,.667,0,0,,0,0,0,5,2,0,3,2,6,4.3
362714,Bandja Sy\bandja-sy-1,F,2011-12-14,New Mexico State,,Western New Mexico,W,1,18,2,6,.333,2,4,.500,0,2,.000,2,2,1.000,1,2,3,0,0,0,1,3,6,1.7
362715,Terrel de Rouen\terrel-de-rouen-1,G,2011-12-14,New Mexico State,,Western New Mexico,W,0,21,2,3,.667,2,2,1.000,0,1,.000,2,5,.400,1,3,4,2,0,0,2,3,6,3.3
