Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
75201,Isaiah Williams\isaiah-williams-1,G,2015-12-22,Iona,,UC-Santa Barbara,L,1,39,6,16,.375,3,4,.750,3,12,.250,2,4,.500,0,5,5,3,0,0,1,1,17,9.6
75202,Travon Langston\travon-langston-1,G,2015-12-22,Southern Utah,@,Butler,L,1,30,6,12,.500,4,9,.444,2,3,.667,3,5,.600,1,0,1,1,2,0,2,1,17,11.2
75203,Justin Foreman\justin-foreman-1,G,2015-12-22,Central Arkansas,@,Arkansas State,L,1,36,4,12,.333,4,10,.400,0,2,.000,9,11,.818,2,2,4,1,1,0,1,3,17,10.9
75204,Dallas Moore\dallas-moore-1,G,2015-12-22,North Florida,@,Arkansas,L,1,34,7,16,.438,5,12,.417,2,4,.500,1,1,1.000,1,4,5,7,0,0,2,0,17,13.4
75205,Nick Faust\nick-faust-1,G,2015-12-22,Long Beach State,@,Arizona,L,1,29,6,9,.667,2,2,1.000,4,7,.571,1,2,.500,0,3,3,0,0,2,4,5,17,9.0
75206,Omar Prewitt\omar-prewitt-1,G,2015-12-21,William & Mary,,High Point,W,1,39,7,18,.389,5,10,.500,2,8,.250,1,4,.250,2,4,6,6,1,1,3,2,17,10.7
75207,Jaysean Paige\jaysean-paige-1,G,2015-12-21,West Virginia,,Eastern Kentucky,W,0,21,6,12,.500,2,5,.400,4,7,.571,1,2,.500,2,3,5,0,0,0,0,2,17,12.1
75208,Demetrius Jackson\demetrius-jackson-2,G,2015-12-21,Notre Dame,,Youngstown State,W,1,32,8,12,.667,7,9,.778,1,3,.333,0,0,,3,1,4,4,1,0,4,2,17,13.2
75209,Tre Demps\tre-demps-1,G,2015-12-21,Northwestern,,Sacred Heart,W,1,29,6,12,.500,2,4,.500,4,8,.500,1,2,.500,1,2,3,5,0,0,0,0,17,15.4
75210,Devon Turk\devon-turk-1,G,2015-12-21,Loyola (IL),,Western Illinois,W,1,25,6,10,.600,4,5,.800,2,5,.400,3,3,1.000,0,1,1,1,0,0,1,2,17,11.6
75211,Christavious Gill\christavious-gill-1,G,2015-12-21,New Orleans,@,Louisiana-Lafayette,L,1,34,7,13,.538,5,8,.625,2,5,.400,1,2,.500,1,2,3,3,3,1,2,4,17,13.8
