Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
505401,Grant Verhoeven\grant-verhoeven-1,C,2017-03-02,Stanford,@,Colorado,L,0,7,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3,2.6
505402,Zack Tobler\zack-tobler-1,F,2017-03-02,Cincinnati,,Houston,W,1,2,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,2,3,1.9
505403,Raemond Robinson\raemond-robinson-1,G,2017-03-02,Charleston Southern,,Winthrop,L,0,21,1,2,.500,0,0,,1,2,.500,0,0,,0,3,3,0,1,0,0,3,3,2.7
505404,Antwan Maxwell\antwan-maxwell-1,F,2017-03-02,Charleston Southern,,Winthrop,L,1,12,1,4,.250,0,1,.000,1,3,.333,0,0,,0,0,0,1,0,0,1,2,3,-0.5
505405,Kristinn Palsson\kristinn-palsson-1,G,2017-03-02,Marist,,Canisius,L,1,19,1,2,.500,0,0,,1,2,.500,0,0,,0,3,3,1,0,0,4,2,3,-1.2
505406,David Knudsen\david-knudsen-1,G,2017-03-02,Marist,,Canisius,L,1,8,1,3,.333,0,0,,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,1.2
505407,Chris Atkinson\chris-atkinson-1,G,2017-03-02,Canisius,,Marist,W,0,10,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,3.7
505408,Cory Gensler\cory-gensler-1,G,2017-03-02,Campbell,,North Carolina-Asheville,W,1,39,1,2,.500,0,0,,1,2,.500,0,0,,0,9,9,0,1,0,1,3,3,3.5
505409,Mikey Henn\mikey-henn-1,F,2017-03-02,UC-Davis,,Hawaii,W,0,4,1,2,.500,0,1,.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,3,2.3
505410,Austen Awosika\austen-awosika-1,G,2017-03-02,Cal State Fullerton,,UC-Santa Barbara,W,0,11,1,3,.333,0,1,.000,1,2,.500,0,0,,1,1,2,1,1,0,1,0,3,3.0
505411,JoJo McGlaston\jojo-mcglaston-1,G,2017-03-02,Bradley,,Drake,W,0,18,1,4,.250,0,3,.000,1,1,1.000,0,0,,0,3,3,0,1,0,2,1,3,0.1
505412,Jayden Hodgson\jayden-hodgson-1,G,2017-03-02,Bradley,,Drake,W,1,17,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,2,4,3,-1.6
505413,Ulmer Manzie\ulmer-manzie-1,F,2017-03-02,Bethune-Cookman,,Florida A&M,W,1,27,1,3,.333,1,3,.333,0,0,,1,2,.500,3,1,4,1,0,4,2,2,3,4.0
505414,Nasir Core\nasir-core-1,G,2017-03-02,Florida A&M,@,Bethune-Cookman,L,0,21,1,4,.250,1,3,.333,0,1,.000,1,2,.500,1,5,6,2,1,0,2,2,3,2.0
505415,Jeffrey Altidort\jeffrey-altidort-1,G,2017-03-02,Bethune-Cookman,,Florida A&M,W,0,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,3,0,2,1,1,3,5.1
505416,Mac Hoffman\mac-hoffman-1,F,2017-03-02,Army,,Bucknell,L,1,27,1,5,.200,1,5,.200,0,0,,1,1,1.000,3,3,6,1,0,3,1,2,3,3.9
505417,Kennedy Edwards\kennedy-edwards-1,F,2017-03-02,Army,,Bucknell,L,0,14,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,3,3,0,2,0,3,3,3,0.3
505418,John Azzinaro\john-azzinaro-1,G,2017-03-02,Bucknell,,Army,W,0,9,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6
505419,Javien Williams\javien-williams-1,G,2017-03-02,Alabama-Birmingham,,Florida Atlantic,W,0,13,1,4,.250,1,4,.250,0,0,,1,2,.500,1,2,3,3,0,0,2,0,3,1.6
505420,Deion Lavender\deion-lavender-1,G,2017-03-02,Alabama-Birmingham,,Florida Atlantic,W,0,21,1,5,.200,1,5,.200,0,0,,1,2,.500,0,3,3,4,1,0,0,2,3,3.4
505421,Tony Hicks\tony-hicks-1,G,2017-03-01,Louisville,@,Wake Forest,L,0,11,0,1,.000,0,1,.000,0,0,,3,4,.750,0,1,1,1,0,0,2,0,3,0.9
505422,Brandon Childress\brandon-childress-1,G,2017-03-01,Wake Forest,,Louisville,W,0,26,1,3,.333,1,2,.500,0,1,.000,1,2,.500,0,3,3,4,2,0,1,2,3,4.8
505423,Ernie Duncan\ernie-duncan-1,G,2017-03-01,Vermont,,Maine,W,1,20,1,5,.200,0,0,,1,5,.200,0,0,,1,0,1,3,0,0,0,0,3,2.7
505424,Greg Bowman\greg-bowman-1,F,2017-03-01,Washington,@,UCLA,L,0,2,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,0,2,2,0,0,0,0,0,3,3.3
505425,Andrew Jones\andrew-jones-3,G,2017-03-01,Texas,@,Texas Tech,L,1,28,1,7,.143,1,4,.250,0,3,.000,1,2,.500,0,2,2,6,0,0,4,4,3,-2.7
505426,Bryan Sekunda\bryan-sekunda-1,G,2017-03-01,Stony Brook,,Binghamton,W,0,14,1,6,.167,0,1,.000,1,5,.200,0,0,,0,1,1,1,1,0,1,1,3,-0.2
505427,Viont'e Daniels\vionte-daniels-1,G,2017-03-01,Washington State,@,Southern California,L,0,23,1,4,.250,0,1,.000,1,3,.333,0,0,,2,2,4,4,1,0,0,2,3,5.6
505428,Delano Spencer\delano-spencer-1,G,2017-03-01,Tennessee State,,Southeast Missouri State,L,0,18,0,4,.000,0,0,,0,4,.000,3,4,.750,0,4,4,0,1,0,1,3,3,-0.2
505429,Christian Mekowulu\christian-mekowulu-1,F,2017-03-01,Tennessee State,,Southeast Missouri State,L,0,10,1,2,.500,1,2,.500,0,0,,1,1,1.000,1,4,5,0,0,0,2,2,3,1.1
505430,Gary Williams Jr.\gary-williamsjr-1,G,2017-03-01,San Jose State,,Nevada,L,1,14,0,2,.000,0,1,.000,0,1,.000,3,4,.750,0,2,2,1,0,0,2,3,3,-0.7
505431,Christion Thompson\christion-thompson-1,G,2017-03-01,Rhode Island,@,Saint Joseph's,W,0,6,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,1,2,3,0.2
505432,Mark Donnal\mark-donnal-1,F,2017-03-01,Michigan,@,Northwestern,L,0,9,0,1,.000,0,1,.000,0,0,,3,4,.750,0,1,1,0,0,1,0,1,3,2.5
