Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
364701,Devon Thomas\devon-thomas-1,G,2017-02-20,Texas Tech,,Iowa State,L,0,26,3,4,.750,3,3,1.000,0,1,.000,0,0,,0,3,3,3,2,0,0,2,6,8.6
364702,Lamont Walker\lamont-walker-1,F,2017-02-20,Texas Southern,,Mississippi Valley State,W,1,19,3,4,.750,3,4,.750,0,0,,0,2,.000,2,8,10,0,0,0,1,2,6,5.6
364703,Trelun Banks\trelun-banks-1,G,2017-02-20,Southern,,Alabama State,W,1,28,1,5,.200,0,2,.000,1,3,.333,3,4,.750,1,4,5,6,2,0,2,2,6,7.8
364704,Ja'Donta Blakley\jadonta-blakely-1,G,2017-02-20,Prairie View,,Arkansas-Pine Bluff,W,1,39,2,7,.286,2,7,.286,0,0,,2,6,.333,4,2,6,6,6,2,7,2,6,7.5
364705,Pablo Rivas\pablo-rivas-1,F,2017-02-20,North Carolina Central,@,Howard,W,0,10,3,5,.600,3,5,.600,0,0,,0,0,,1,1,2,0,0,1,0,3,6,4.2
364706,Marcel Boyd\marcel-boyd-1,C,2017-02-20,Howard,,North Carolina Central,L,1,19,3,5,.600,3,4,.750,0,1,.000,0,0,,4,3,7,0,0,1,1,4,6,5.5
364707,Damon Collins\damon-collins-1,G,2017-02-20,Howard,,North Carolina Central,L,1,40,1,7,.143,1,7,.143,0,0,,4,4,1.000,1,2,3,2,0,0,2,2,6,1.4
364708,Malik Benlevi\malik-benlevi-1,G,2017-02-20,Georgia State,,Texas State,W,1,28,2,6,.333,1,2,.500,1,4,.250,1,2,.500,1,1,2,2,0,3,0,3,6,5.5
364709,Mike Hughes\mike-hughes-1,G,2017-02-20,Georgia Southern,,Texas-Arlington,L,1,30,2,6,.333,0,0,,2,6,.333,0,0,,0,1,1,2,1,0,5,3,6,-0.9
364710,Faith Pope\faith-pope-1,F,2017-02-20,Texas-Arlington,@,Georgia Southern,W,0,11,3,5,.600,3,5,.600,0,0,,0,0,,1,2,3,1,0,0,2,0,6,3.7
364711,Drew Charles\drew-charles-1,G,2017-02-20,Texas-Arlington,@,Georgia Southern,W,1,24,2,7,.286,0,0,,2,7,.286,0,0,,0,3,3,1,1,0,0,2,6,3.7
