Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
200201,Wil Carter\wil-carter-1,F,2011-11-14,San Jose State,,UC-Irvine,W,1,34,4,11,.364,4,11,.364,0,0,,3,4,.750,5,9,14,0,1,0,4,4,11,6.1
200202,Adam Kemp\adam-kemp-1,F,2011-11-14,Marist,@,South Florida,L,1,30,4,9,.444,4,9,.444,0,0,,3,6,.500,3,4,7,2,0,4,1,3,11,10.4
200203,Augustus Gilchrist\augustus-gilchrist-1,F,2011-11-14,South Florida,,Marist,W,1,34,5,12,.417,5,11,.455,0,1,.000,1,2,.500,4,8,12,1,0,4,1,2,11,11.1
200204,Blake Nash\blake-nash-1,G,2011-11-14,South Florida,,Marist,W,0,17,3,5,.600,1,1,1.000,2,4,.500,3,4,.750,0,1,1,3,0,0,2,4,11,7.1
200205,Isaiah Morton\isaiah-morton-1,G,2011-11-14,Marist,@,South Florida,L,1,30,2,4,.500,0,0,,2,4,.500,5,7,.714,0,0,0,5,2,0,2,1,11,11.3
200206,Jay Bowie\jay-bowie-1,G,2011-11-14,Marist,@,South Florida,L,1,29,4,6,.667,3,5,.600,1,1,1.000,2,2,1.000,0,4,4,1,2,0,1,3,11,10.1
200207,Ron Anderson\ron-anderson-2,F,2011-11-14,South Florida,,Marist,W,1,25,4,6,.667,4,6,.667,0,0,,3,4,.750,3,4,7,1,1,0,1,5,11,10.0
200208,Nino Johnson\nino-johnson-1,F,2011-11-14,Southeast Missouri State,,Harris-Stowe,W,0,18,5,7,.714,5,7,.714,0,0,,1,2,.500,1,4,5,5,0,2,2,1,11,12.1
200209,Alexis Moore\alexis-moore-1,G,2011-11-14,Southern California,,Nebraska,L,0,41,4,9,.444,1,3,.333,3,6,.500,0,0,,0,1,1,3,0,0,1,2,11,6.9
200210,Jack Trotter\jack-trotter-1,F,2011-11-14,Stanford,,Fresno State,W,0,22,4,5,.800,3,4,.750,1,1,1.000,2,3,.667,2,4,6,0,0,1,0,2,11,11.2
200211,Jonathan Wills\jonathan-wills-1,G,2011-11-14,Fresno State,@,Stanford,L,1,30,4,6,.667,3,4,.750,1,2,.500,2,3,.667,4,3,7,1,2,2,2,5,11,11.8
200212,Josh Owens\josh-owens-1,F,2011-11-14,Stanford,,Fresno State,W,1,15,3,3,1.000,3,3,1.000,0,0,,5,9,.556,0,4,4,1,0,0,2,4,11,6.8
200213,Fab Melo\fab-melo-1,C,2011-11-14,Syracuse,,Manhattan,W,1,22,5,10,.500,5,10,.500,0,0,,1,5,.200,8,1,9,0,1,4,4,3,11,8.9
200214,Terence Jones\terence-jones-1,G,2011-11-14,Texas A&M-Corpus Christi,,Denver,L,1,32,3,8,.375,1,3,.333,2,5,.400,3,4,.750,0,1,1,3,0,0,4,0,11,4.6
200215,Brandon Edwards\brandon-edwards-3,F,2011-11-14,Texas-Arlington,,East Texas Baptist,W,0,20,4,4,1.000,4,4,1.000,0,0,,3,3,1.000,2,3,5,1,0,1,1,0,11,12.5
200216,Amric Fields\amric-fields-1,F,2011-11-14,Texas Christian,,Austin College,W,0,23,5,7,.714,4,5,.800,1,2,.500,0,0,,1,1,2,2,1,0,1,4,11,8.9
200217,Erick Green\erick-green-1,G,2011-11-14,Virginia Tech,,Monmouth,W,1,23,3,6,.500,1,4,.250,2,2,1.000,3,3,1.000,0,2,2,5,1,1,2,1,11,11.4
200218,Aziz N'Diaye\aziz-ndiaye-1,C,2011-11-14,Washington,,Portland,W,1,18,5,9,.556,5,9,.556,0,0,,1,4,.250,3,4,7,1,1,1,3,3,11,7.0
200219,Tony Wroten\tony-wroten-1,G,2011-11-14,Washington,,Portland,W,0,24,5,11,.455,5,10,.500,0,1,.000,1,7,.143,1,4,5,6,3,0,2,4,11,8.4
200220,Jesse Sanders\jesse-sanders-1,G,2011-11-14,Liberty,@,William & Mary,W,1,36,4,8,.500,3,7,.429,1,1,1.000,2,4,.500,4,3,7,8,1,0,2,2,11,13.7
200221,Donovan Gibbs\donovan-gibbs-1,F,2011-11-15,IUPUI,@,Arkansas-Little Rock,L,1,32,5,8,.625,4,6,.667,1,2,.500,0,2,.000,2,5,7,1,0,0,1,3,11,8.0
200222,Greg Rice\greg-rice-1,G,2011-11-15,IUPUI,@,Arkansas-Little Rock,L,1,23,4,6,.667,1,3,.333,3,3,1.000,0,0,,0,3,3,1,1,0,1,3,11,8.8
200223,Michael Bizoukas\michael-bizoukas-1,G,2011-11-15,Missouri State,@,Arkansas State,W,1,27,4,9,.444,1,5,.200,3,4,.750,0,0,,3,3,6,5,0,0,2,1,11,10.4
200224,Anthony Jones\anthony-jones-2,F,2011-11-15,Baylor,,San Diego State,W,1,35,4,9,.444,2,7,.286,2,2,1.000,1,1,1.000,1,3,4,0,2,1,1,2,11,8.8
200225,Jamaal Franklin\jamaal-franklin-1,G,2011-11-15,San Diego State,@,Baylor,L,0,21,3,12,.250,3,7,.429,0,5,.000,5,5,1.000,1,2,3,0,0,0,2,1,11,2.7
200226,Emmy Andujar\emmy-andujar-1,F,2011-11-15,Manhattan,,Brown,W,1,32,4,10,.400,3,7,.429,1,3,.333,2,2,1.000,4,2,6,3,1,0,1,1,11,10.7
200227,Sean McGonagill\sean-mcgonagill-1,G,2011-11-15,Brown,,Manhattan,L,1,39,3,8,.375,0,3,.000,3,5,.600,2,2,1.000,0,4,4,4,2,0,5,1,11,7.2
200228,Josh Ritchart\josh-ritchart-1,G,2011-11-15,UC-Davis,,UC-Santa Cruz,W,1,18,4,7,.571,3,4,.750,1,3,.333,2,2,1.000,1,1,2,2,1,0,1,1,11,9.7
200229,Paolo Mancasola\paolo-mancasola-1,G,2011-11-15,UC-Davis,,UC-Santa Cruz,W,0,21,4,5,.800,3,4,.750,1,1,1.000,2,2,1.000,3,2,5,1,2,0,1,4,11,11.9
200230,Brandon Smith\brandon-smith-7,G,2011-11-15,University of California,,Austin Peay,W,1,27,5,6,.833,5,5,1.000,0,1,.000,1,3,.333,0,3,3,2,2,0,0,1,11,11.9
200231,Arlon Harper\arlon-harper-1,G,2011-11-15,Charleston Southern,,Bluefield College (VA),W,0,26,4,10,.400,3,6,.500,1,4,.250,2,2,1.000,0,2,2,1,3,0,2,0,11,7.9
200232,Sheldon Cooley\sheldon-cooley-1,G,2011-11-15,East Tennessee State,,Appalachian State,W,1,35,4,9,.444,4,8,.500,0,1,.000,3,4,.750,1,4,5,3,7,0,1,1,11,15.5
200233,London Giles\london-giles-1,G,2011-11-15,Southern Methodist,,Fresno State,L,1,33,4,7,.571,3,4,.750,1,3,.333,2,3,.667,1,3,4,1,0,0,2,2,11,6.8
200234,Vinnie McGhee\vinnie-mcghee-1,G,2011-11-15,Cal State Northridge,@,Hawaii,L,0,27,1,9,.111,0,1,.000,1,8,.125,8,8,1.000,0,1,1,5,3,0,1,3,11,9.7
200235,Thomas Robinson\thomas-robinson-2,F,2011-11-15,Kansas,,Kentucky,L,1,27,5,12,.417,5,12,.417,0,0,,1,2,.500,3,9,12,1,0,1,2,5,11,6.4
200236,Patrick Richard\patrick-richard-1,G,2011-11-15,McNeese State,,Louisiana College,W,1,27,4,11,.364,4,7,.571,0,4,.000,3,4,.750,5,3,8,3,2,1,4,2,11,8.9
200237,Austin Carroll\austin-carroll-1,G,2011-11-15,Rutgers,@,Miami (FL),L,0,17,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,0,1,1,3,0,0,0,1,11,11.8
200238,Kevin Dillard\kevin-dillard-1,G,2011-11-15,Dayton,@,Miami (OH),L,1,36,4,12,.333,3,9,.333,1,3,.333,2,2,1.000,1,5,6,6,4,1,6,3,11,8.1
200239,Markel Brown\markel-brown-1,G,2011-11-15,Oklahoma State,,Arkansas-Pine Bluff,W,0,21,4,8,.500,4,8,.500,0,0,,3,6,.500,4,6,10,2,3,0,2,1,11,12.4
200240,Michael Hale\michael-hale-1,G,2011-11-15,Texas-San Antonio,,Oral Roberts,W,1,40,4,9,.444,3,6,.500,1,3,.333,2,4,.500,0,2,2,5,2,0,3,2,11,7.8
200241,Chris Evans\chris-evans-2,G,2011-11-15,Sacred Heart,,Stony Brook,W,1,23,5,7,.714,4,6,.667,1,1,1.000,0,0,,0,2,2,2,1,0,4,4,11,5.5
200242,Dallis Joyner\dallis-joyner-1,F,2011-11-15,Stony Brook,@,Sacred Heart,L,1,23,5,8,.625,5,8,.625,0,0,,1,2,.500,2,3,5,0,0,0,3,4,11,4.7
200243,Evan Kelley\evan-kelley-1,G,2011-11-15,Sacred Heart,,Stony Brook,W,1,25,1,4,.250,0,3,.000,1,1,1.000,8,11,.727,0,1,1,4,3,0,3,1,11,10.1
200244,Shane Gibson\shane-gibson-1,G,2011-11-15,Sacred Heart,,Stony Brook,W,1,31,5,12,.417,4,8,.500,1,4,.250,0,0,,2,5,7,2,0,1,4,3,11,4.4
200245,Chip Rank\chip-rank-1,F,2011-11-15,Northern Iowa,@,Saint Mary's (CA),L,0,25,3,6,.500,0,1,.000,3,5,.600,2,2,1.000,0,0,0,0,0,0,0,0,11,8.0
200246,Matthew Dellavedova\matthew-dellavedova-1,G,2011-11-15,Saint Mary's (CA),,Northern Iowa,W,1,38,4,12,.333,1,5,.200,3,7,.429,0,0,,1,3,4,7,0,0,7,1,11,3.3
200247,Russell Johnson\russell-johnson-1,F,2011-11-15,Robert Morris,@,Saint Peter's,W,1,33,4,6,.667,2,4,.500,2,2,1.000,1,3,.333,0,3,3,3,1,1,0,1,11,11.9
200248,Cody Ellis\cody-ellis-1,F,2011-11-15,Saint Louis,@,Southern Illinois,W,0,21,4,9,.444,2,4,.500,2,5,.400,1,2,.500,0,4,4,1,0,0,1,3,11,5.6
200249,Mike Black\mike-black-1,G,2011-11-15,Albany (NY),@,Syracuse,L,1,32,3,8,.375,2,4,.500,1,4,.250,4,5,.800,0,1,1,2,1,0,5,2,11,3.1
200250,Javon McKay\javon-mckay-1,G,2011-11-15,Tennessee Tech,,Reinhardt,W,0,20,5,5,1.000,5,5,1.000,0,0,,1,2,.500,1,3,4,5,1,0,2,4,11,11.6
200251,Fred Sturdivant\fred-sturdivant-1,F,2011-11-15,Texas Southern,,Eastern Michigan,W,0,24,5,7,.714,5,7,.714,0,0,,1,2,.500,2,1,3,1,1,0,0,0,11,11.1
200252,Dante Bachus\dante-bachus-1,F,2011-11-15,Texas State,,Howard Payne,W,1,19,5,6,.833,5,6,.833,0,0,,1,1,1.000,2,5,7,0,1,0,0,3,11,11.5
200253,Travis Jones\travis-jones-2,F,2011-11-15,Texas State,,Howard Payne,W,0,16,3,6,.500,3,6,.500,0,0,,5,6,.833,2,3,5,1,2,0,0,1,11,12.2
200254,Jonathan Holmes\jonathan-holmes-2,F,2011-11-15,Texas,,Rhode Island,W,1,21,2,2,1.000,2,2,1.000,0,0,,7,8,.875,2,4,6,2,0,1,1,3,11,12.5
200255,Julien Lewis\julien-lewis-1,G,2011-11-15,Texas,,Rhode Island,W,1,25,4,14,.286,1,7,.143,3,7,.429,0,0,,1,0,1,0,3,0,2,4,11,2.9
200256,Raymond Cintron\raymond-cintron-1,G,2011-11-15,Middle Tennessee,@,UCLA,W,0,18,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,0,2,2,2,1,0,1,2,11,11.0
200257,Dominique Ferguson\dominique-ferguson-1,F,2011-11-15,Florida International,@,Virginia Tech,L,1,35,4,13,.308,4,13,.308,0,0,,3,6,.500,3,2,5,1,1,2,2,5,11,4.1
200258,Tola Akomolafe\tola-akomolafe-1,G,2011-11-15,Florida International,@,Virginia Tech,L,1,35,4,7,.571,4,6,.667,0,1,.000,3,3,1.000,2,5,7,0,1,1,1,2,11,10.5
200259,Victor Davila\victor-davila-1,F,2011-11-15,Virginia Tech,,Florida International,W,1,26,5,6,.833,5,6,.833,0,0,,1,4,.250,1,6,7,2,0,3,1,4,11,11.0
200260,Deniz Kilicli\deniz-kilicli-1,F,2011-11-15,West Virginia,,Kent State,L,1,36,3,10,.300,3,10,.300,0,0,,5,9,.556,6,9,15,3,0,2,2,2,11,11.2
200261,Michael Porrini\michael-porrini-2,G,2011-11-15,Kent State,@,West Virginia,W,1,29,4,6,.667,3,5,.600,1,1,1.000,2,2,1.000,1,4,5,3,1,0,2,3,11,10.2
200262,Keaton Cole\keaton-cole-1,G,2011-11-15,Western Carolina,,Montreat,W,1,23,3,7,.429,0,1,.000,3,6,.500,2,2,1.000,0,2,2,2,0,0,2,1,11,6.9
200263,Luke Martinez\luke-martinez-1,G,2011-11-15,Wyoming,,Northern Colorado,W,1,27,4,11,.364,2,2,1.000,2,9,.222,1,1,1.000,1,3,4,0,2,0,1,4,11,5.9
200264,Omari Grier\omari-grier-1,G,2011-11-16,Florida Atlantic,@,American,L,0,22,4,9,.444,1,1,1.000,3,8,.375,0,0,,2,3,5,1,2,0,1,4,11,8.7
