Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
88201,Brett Comer\brett-comer-1,G,2011-11-25,Florida Gulf Coast,@,Maryland,L,1,32,7,12,.583,7,11,.636,0,1,.000,2,4,.500,2,4,6,3,1,1,5,2,16,10.2
88202,Josh Watkins\josh-watkins-1,G,2011-11-25,Utah,,Massachusetts,L,1,22,7,11,.636,7,10,.700,0,1,.000,2,2,1.000,1,2,3,7,1,0,3,0,16,15.3
88203,Trinity Hall\trinity-hall-1,F,2011-11-25,Missouri-Kansas City,,Wofford,W,1,43,5,8,.625,3,4,.750,2,4,.500,4,4,1.000,1,2,3,1,2,3,3,4,16,13.9
88204,Aaron Fuller\aaron-fuller-1,F,2011-11-25,Southern California,,Nevada-Las Vegas,L,1,17,6,10,.600,6,10,.600,0,0,,4,5,.800,3,0,3,0,2,0,1,5,16,12.1
88205,Byron Wesley\byron-wesley-1,G,2011-11-25,Southern California,,Nevada-Las Vegas,L,1,37,8,10,.800,8,10,.800,0,0,,0,0,,0,5,5,2,0,1,2,1,16,13.4
88206,Kelsey Howard\kelsey-howard-1,G,2011-11-25,Jackson State,@,North Florida,L,1,37,5,12,.417,4,9,.444,1,3,.333,5,6,.833,0,4,4,0,2,0,3,5,16,7.4
88207,Parker Smith\parker-smith-2,G,2011-11-25,North Florida,,Jackson State,W,0,27,5,5,1.000,0,0,,5,5,1.000,1,1,1.000,0,1,1,2,0,0,1,1,16,14.8
88208,Connor Osborne\connor-osborne-1,C,2011-11-25,Northern Colorado,,Western Carolina,W,1,17,6,7,.857,6,7,.857,0,0,,4,6,.667,1,2,3,0,0,0,2,3,16,10.8
88209,Deon Mitchell\deon-mitchell-1,G,2011-11-25,Northern Iowa,,Rice,W,1,26,6,9,.667,4,6,.667,2,3,.667,2,3,.667,1,3,4,1,2,0,4,0,16,12.0
88210,Stephen Hall\stephen-hall-1,F,2011-11-25,Jacksonville State,@,Northwestern State,L,1,34,7,11,.636,6,8,.750,1,3,.333,1,2,.500,3,5,8,1,3,1,1,4,16,16.1
88211,Dave Sobolewski\dave-sobolewski-1,G,2011-11-25,Northwestern,,Stony Brook,W,1,35,5,9,.556,2,2,1.000,3,7,.429,3,4,.750,1,3,4,4,0,1,3,1,16,13.0
88212,Geddes Robinson\geddes-robinson-2,F,2011-11-25,Utah Valley,@,Oakland,L,1,32,4,7,.571,4,7,.571,0,0,,8,13,.615,6,5,11,1,0,0,2,2,16,14.3
88213,Ashton Gibbs\ashton-gibbs-1,G,2011-11-25,Pittsburgh,@,Pennsylvania,W,1,36,6,15,.400,2,9,.222,4,6,.667,0,0,,1,2,3,4,2,0,2,1,16,11.6
88214,James Bell\james-bell-1,G,2011-11-25,Villanova,,Saint Louis,L,1,29,6,10,.600,2,4,.500,4,6,.667,0,0,,2,2,4,2,0,0,3,3,16,10.6
88215,Mamadou Seck\mamadou-seck-1,F,2011-11-25,Southern Illinois,,Chicago State,W,1,36,7,13,.538,7,13,.538,0,0,,2,3,.667,4,6,10,1,3,0,1,4,16,15.0
88216,Kevin Murphy\kevin-murphy-1,G,2011-11-25,Tennessee Tech,,Lamar,L,1,30,7,13,.538,6,12,.500,1,1,1.000,1,2,.500,0,5,5,1,1,0,1,1,16,11.1
88217,Brad Tinsley\brad-tinsley-1,G,2011-11-25,Vanderbilt,,Monmouth,W,1,27,3,4,.750,1,1,1.000,2,3,.667,8,8,1.000,0,1,1,1,1,0,3,3,16,12.2
88218,Jeffery Taylor\jeffery-taylor-1,F,2011-11-25,Vanderbilt,,Monmouth,W,1,25,6,13,.462,6,10,.600,0,3,.000,4,8,.500,1,1,2,5,1,0,1,1,16,11.8
88219,Nikola Cvetinovic\nikola-cvetinovic-1,F,2011-11-26,Akron,,Detroit Mercy,W,1,27,6,8,.750,5,7,.714,1,1,1.000,3,7,.429,1,5,6,4,1,0,3,2,16,13.4
88220,Chris Brand\chris-brand-1,F,2011-11-26,Alcorn State,,San Diego,L,1,28,7,12,.583,5,8,.625,2,4,.500,0,0,,1,5,6,2,1,2,3,1,16,13.0
88221,Roman Higgins\roman-higgins-1,G,2011-11-26,Grambling,@,Arkansas,L,0,28,5,13,.385,1,4,.250,4,9,.444,2,3,.667,1,2,3,1,1,0,8,1,16,3.1
88222,Josh Herbeck\josh-herbeck-1,G,2011-11-26,Army,,Yale,L,1,34,5,11,.455,1,3,.333,4,8,.500,2,3,.667,0,5,5,2,0,1,1,1,16,12.1
88223,Marcos Knight\marcos-knight-1,G,2011-11-26,Middle Tennessee,@,Austin Peay,W,1,30,7,9,.778,5,6,.833,2,3,.667,0,1,.000,3,3,6,4,1,1,5,2,16,13.8
88224,Abdel Nader\abdel-nader-1,F,2011-11-26,Northern Illinois,@,Boise State,L,1,28,7,12,.583,5,9,.556,2,3,.667,0,1,.000,0,4,4,2,0,1,5,2,16,7.5
88225,Chase Tapley\chase-tapley-1,G,2011-11-26,San Diego State,@,UC-Santa Barbara,W,1,39,6,16,.375,3,6,.500,3,10,.300,1,1,1.000,1,3,4,0,0,0,2,4,16,5.2
88226,James Nunnally\james-nunnally-1,F,2011-11-26,UC-Santa Barbara,,San Diego State,L,1,39,4,15,.267,3,9,.333,1,6,.167,7,8,.875,1,7,8,1,0,0,1,3,16,8.0
88227,Jordan Harks\jordan-harks-1,F,2011-11-26,Central Arkansas,,Eastern Illinois,W,0,28,7,13,.538,7,13,.538,0,0,,2,4,.500,2,4,6,1,1,0,0,4,16,11.6
88228,Kyle Anderson\kyle-anderson-2,G,2011-11-26,Delaware,,Lafayette,W,1,29,6,9,.667,2,4,.500,4,5,.800,0,0,,0,0,0,1,0,0,0,4,16,11.2
88229,B.J. Monteiro\bj-monteiro-1,G,2011-11-26,Duquesne,,Louisiana-Lafayette,W,1,28,7,11,.636,7,8,.875,0,3,.000,2,3,.667,1,3,4,1,0,1,2,2,16,10.9
88230,Sean Johnson\sean-johnson-1,G,2011-11-26,Duquesne,,Louisiana-Lafayette,W,1,25,6,10,.600,4,6,.667,2,4,.500,2,3,.667,0,5,5,1,0,1,0,1,16,13.5
88231,Jason Dawson\jason-dawson-1,G,2011-11-26,Gardner-Webb,,Savannah State,L,1,23,6,13,.462,4,8,.500,2,5,.400,2,2,1.000,1,0,1,0,2,0,2,4,16,8.4
88232,Jihad Ali\jihad-ali-1,F,2011-11-26,Georgia State,,Liberty,W,0,17,6,6,1.000,2,2,1.000,4,4,1.000,0,0,,0,5,5,0,0,1,1,0,16,15.4
88233,Tavares Speaks\tavares-speaks-1,G,2011-11-26,Liberty,@,Georgia State,L,1,32,7,16,.438,7,16,.438,0,0,,2,3,.667,3,3,6,1,2,0,2,2,16,10.1
88234,Alandise Harris\alandise-harris-1,F,2011-11-26,Houston,,Texas Christian,L,1,27,8,10,.800,8,10,.800,0,0,,0,0,,0,4,4,2,0,3,1,4,16,14.3
88235,Adam Thoseby\adam-thoseby-1,G,2011-11-26,Utah State,@,Idaho State,W,1,24,6,8,.750,2,2,1.000,4,6,.667,0,0,,0,0,0,3,0,0,2,3,16,11.7
88236,James Douglas\james-douglas-3,G,2011-11-26,Northern Arizona,@,Loyola Marymount,L,1,31,6,14,.429,2,6,.333,4,8,.500,0,2,.000,1,0,1,4,0,0,3,1,16,7.9
88237,Jamar Gulley\jamar-gulley-1,F,2011-11-26,Missouri State,,Tulsa,W,1,29,5,11,.455,5,8,.625,0,3,.000,6,9,.667,3,5,8,0,2,0,1,3,16,12.5
88238,Terrance Hill\terrance-hill-1,G,2011-11-26,Morehead State,,Princeton,W,1,28,4,8,.500,1,5,.200,3,3,1.000,5,6,.833,0,2,2,1,0,0,0,1,16,12.5
88239,Kevin Thompson\kevin-thompson-2,F,2011-11-26,Morgan State,,Tennessee State,L,1,34,5,10,.500,4,9,.444,1,1,1.000,5,7,.714,2,3,5,3,2,1,4,3,16,12.1
88240,LaShay Page\lashay-page-1,G,2011-11-26,Southern Mississippi,,Murray State,L,1,46,5,13,.385,3,3,1.000,2,10,.200,4,4,1.000,0,3,3,1,1,0,4,3,16,6.3
88241,Mike Moser\mike-moser-1,F,2011-11-26,Nevada-Las Vegas,,North Carolina,W,1,31,5,15,.333,3,8,.375,2,7,.286,4,4,1.000,5,13,18,6,0,0,4,5,16,13.1
88242,Oscar Bellfield\oscar-bellfield-1,G,2011-11-26,Nevada-Las Vegas,,North Carolina,W,1,34,6,12,.500,2,4,.500,4,8,.500,0,1,.000,0,2,2,9,0,0,3,1,16,13.1
88243,Jeremy Atkinson\jeremy-atkinson-1,F,2011-11-26,North Carolina-Asheville,,Utah,W,1,31,6,11,.545,6,9,.667,0,2,.000,4,5,.800,2,2,4,0,1,0,1,2,16,11.5
88244,LaDontae Henton\ladontae-henton-1,F,2011-11-26,Providence,,Northern Iowa,L,1,36,7,9,.778,5,6,.833,2,3,.667,0,2,.000,1,8,9,0,0,0,1,3,16,12.6
88245,Orion Outerbridge\orion-outerbridge-1,F,2011-11-26,Rhode Island,,Boston University,L,1,33,6,13,.462,5,11,.455,1,2,.500,3,4,.750,1,5,6,0,3,2,3,3,16,11.3
88246,Joe Eberhard\joe-eberhard-2,G,2011-11-26,Sacramento State,,McNeese State,L,1,39,7,12,.583,6,9,.667,1,3,.333,1,2,.500,2,5,7,1,0,0,2,3,16,10.4
88247,Scott Eatherton\scott-eatherton-1,F,2011-11-26,Saint Francis (PA),,Youngstown State,L,1,30,7,8,.875,7,8,.875,0,0,,2,4,.500,1,1,2,1,0,0,0,3,16,12.9
88248,Herb Pope\herb-pope-1,F,2011-11-26,Seton Hall,,Saint Peter's,W,1,33,7,15,.467,5,12,.417,2,3,.667,0,0,,6,8,14,2,0,1,2,2,16,14.2
88249,Ramell Taylor\ramell-taylor-1,F,2011-11-26,Southern Utah,,Troy,L,1,27,5,8,.625,5,8,.625,0,0,,6,7,.857,4,1,5,2,0,0,5,3,16,10.3
88250,Nurideen Lindsey\nurideen-lindsey-1,G,2011-11-26,St. John's (NY),,Northeastern,L,1,35,6,15,.400,6,13,.462,0,2,.000,4,4,1.000,0,6,6,2,0,0,5,3,16,4.9
88251,Drew Windler\drew-windler-1,F,2011-11-26,Samford,@,Texas-Arlington,W,1,21,5,6,.833,1,1,1.000,4,5,.800,2,3,.667,1,2,3,3,0,1,1,3,16,15.3
88252,Jordan Callahan\jordan-callahan-1,G,2011-11-26,Tulane,,New Orleans,W,1,33,4,11,.364,1,7,.143,3,4,.750,5,8,.625,2,5,7,4,0,0,1,0,16,13.4
88253,Latif Rivers\latif-rivers-1,G,2011-11-26,Wagner,,Delaware State,W,1,30,5,11,.455,4,7,.571,1,4,.250,5,5,1.000,0,3,3,3,2,1,3,2,16,12.2
88254,Twann Oakley\twann-oakley-1,G,2011-11-27,Alcorn State,,New Orleans,L,1,33,5,11,.455,3,6,.500,2,5,.400,4,4,1.000,1,5,6,0,0,0,2,4,16,8.9
88255,A'uston Calhoun\auston-calhoun-1,F,2011-11-27,Bowling Green State,,Temple,W,1,30,7,13,.538,7,12,.583,0,1,.000,2,4,.500,3,4,7,0,0,3,1,2,16,12.5
88256,Ricky Taylor\ricky-taylor-1,G,2011-11-27,Chattanooga,,Gardner-Webb,L,1,31,4,8,.500,2,2,1.000,2,6,.333,6,6,1.000,2,8,10,2,0,1,4,4,16,12.3
88257,Josh Benson\josh-benson-1,F,2011-11-27,Dayton,,Minnesota,W,1,29,7,10,.700,7,10,.700,0,0,,2,3,.667,2,1,3,0,1,1,2,3,16,11.6
88258,Dwayne Lathan\dwayne-lathan-1,G,2011-11-27,Indiana State,,Fairfield,W,1,17,6,10,.600,6,8,.750,0,2,.000,4,4,1.000,3,5,8,1,0,0,3,4,16,11.1
88259,Myles Walker\myles-walker-1,C,2011-11-27,Indiana State,,Fairfield,W,1,33,7,12,.583,7,12,.583,0,0,,2,2,1.000,3,3,6,0,0,2,1,2,16,13.0
88260,Ray McCallum\ray-mccallum-2,G,2011-03-01,Detroit Mercy,,Loyola (IL),W,1,32,4,7,.571,3,6,.500,1,1,1.000,7,10,.700,1,5,6,6,2,0,1,1,16,18.5
88261,John Jenkins\john-jenkins-1,F,2011-03-01,Vanderbilt,@,Kentucky,L,1,33,5,10,.500,3,5,.600,2,5,.400,4,4,1.000,0,1,1,2,1,0,1,0,16,12.7
88262,Lance Jeter\lance-jeter-1,G,2011-03-01,Nebraska,,Missouri,W,1,34,5,7,.714,4,6,.667,1,1,1.000,5,7,.714,1,6,7,7,1,0,3,2,16,16.9
88263,Kelvin Martin\kelvin-martin-1,F,2011-03-01,Charleston Southern,@,North Carolina-Asheville,L,1,39,5,9,.556,5,9,.556,0,0,,6,11,.545,5,6,11,0,3,2,3,2,16,15.6
88264,Marshall Moses\marshall-moses-1,F,2011-03-01,Oklahoma State,,Baylor,W,1,29,4,11,.364,4,11,.364,0,0,,8,10,.800,4,6,10,2,1,2,4,3,16,12.3
88265,D.J. Byrd\dj-byrd-1,G,2011-03-01,Purdue,,Illinois,W,1,30,4,11,.364,1,3,.333,3,8,.375,5,8,.625,2,5,7,3,1,1,0,3,16,14.2
88266,Kendrick Perry\kendrick-perry-1,G,2011-03-01,Youngstown State,@,Valparaiso,L,1,33,6,15,.400,5,9,.556,1,6,.167,3,4,.750,1,6,7,5,1,0,3,4,16,9.9
88267,Javier Gonzalez\javier-gonzalez-1,G,2011-03-01,North Carolina State,@,Virginia,L,0,25,6,10,.600,4,6,.667,2,4,.500,2,2,1.000,0,1,1,4,0,0,2,2,16,11.7
88268,Desmar Jackson\desmar-jackson-1,G,2011-03-01,Wyoming,,San Diego State,L,1,35,7,15,.467,7,12,.583,0,3,.000,2,5,.400,1,5,6,2,2,0,3,2,16,8.9
88269,Eric Griffin\eric-griffin-2,F,2011-03-02,Campbell,,East Tennessee State,L,1,28,6,9,.667,3,5,.600,3,4,.750,1,3,.333,1,7,8,0,2,2,6,4,16,9.9
88270,Gerald Robinson\gerald-robinson-2,G,2011-03-02,Georgia,,Louisiana State,W,0,31,6,11,.545,6,9,.667,0,2,.000,4,4,1.000,1,1,2,4,3,0,1,2,16,15.7
88271,Darion Anderson\darion-anderson-1,G,2011-03-02,Iowa State,,Colorado,W,1,31,5,8,.625,2,3,.667,3,5,.600,3,6,.500,1,6,7,2,1,0,4,2,16,11.3
88272,Diante Garrett\diante-garrett-1,G,2011-03-02,Iowa State,,Colorado,W,1,40,6,16,.375,5,14,.357,1,2,.500,3,3,1.000,1,2,3,7,1,0,4,3,16,9.2
88273,Levi Knutson\levi-knutson-1,G,2011-03-02,Colorado,@,Iowa State,L,0,29,5,8,.625,1,4,.250,4,4,1.000,2,2,1.000,0,3,3,1,0,0,0,4,16,12.4
88274,Anthony Miles\anthony-miles-1,G,2011-03-02,Lamar,,Texas State,W,1,22,5,11,.455,5,10,.500,0,1,.000,6,6,1.000,0,0,0,1,0,0,2,1,16,8.6
88275,Matt Staff\matt-staff-1,F,2011-03-02,Texas State,@,Lamar,L,0,18,8,11,.727,8,10,.800,0,1,.000,0,0,,2,4,6,1,0,1,0,2,16,14.7
88276,Ryan White\ryan-white-1,G,2011-03-02,Texas State,@,Lamar,L,1,33,4,13,.308,3,9,.333,1,4,.250,7,7,1.000,2,2,4,7,1,0,5,3,16,10.2
88277,Malcolm Grant\malcolm-grant-1,G,2011-03-02,Miami (FL),,Maryland,W,1,31,5,11,.455,2,3,.667,3,8,.375,3,3,1.000,0,4,4,2,2,0,4,1,16,10.5
88278,Justin Harper\justin-harper-1,F,2011-03-02,Richmond,@,Saint Joseph's,W,1,36,7,16,.438,5,10,.500,2,6,.333,0,1,.000,1,8,9,1,1,3,0,1,16,13.7
88279,Ashton Gibbs\ashton-gibbs-1,G,2011-03-02,Pittsburgh,@,South Florida,W,1,37,6,9,.667,2,3,.667,4,6,.667,0,0,,0,2,2,3,0,0,4,1,16,10.4
88280,Gary Flowers\gary-flowers-1,F,2011-03-02,Southern Mississippi,,Alabama-Birmingham,L,1,37,7,16,.438,7,13,.538,0,3,.000,2,4,.500,2,9,11,1,1,0,2,2,16,9.8
88281,R.L. Horton\rl-horton-1,G,2011-03-02,Southern Mississippi,,Alabama-Birmingham,L,1,40,5,10,.500,4,8,.500,1,2,.500,5,6,.833,0,3,3,1,1,0,0,1,16,12.8
88282,Cliff Ederain\cliff-ederain-1,F,2011-03-02,Eastern Washington,@,Weber State,W,1,29,6,10,.600,6,10,.600,0,0,,4,8,.500,3,3,6,1,3,0,2,0,16,14.5
88283,Avery Moore\avery-moore-1,G,2011-03-03,Florida A&M,@,Bethune-Cookman,L,1,25,6,11,.545,2,4,.500,4,7,.571,0,0,,1,1,2,2,3,0,1,0,16,15.1
88284,Josh Ritchart\josh-ritchart-1,G,2011-03-03,UC-Davis,,Cal State Northridge,W,1,36,4,12,.333,1,3,.333,3,9,.333,5,7,.714,0,4,4,2,2,0,3,1,16,9.6
