Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
11401,Joseph Young\joseph-young-1,G,2013-12-21,Oregon,,Brigham Young,W,1,32,10,23,.435,6,12,.500,4,11,.364,1,1,1.000,2,3,5,1,1,0,0,4,25,15.3
11402,D.J. Irving\dj-irving-1,G,2013-12-21,Boston University,@,Maryland,W,1,22,7,11,.636,3,6,.500,4,5,.800,7,10,.700,0,0,0,2,2,0,4,4,25,16.7
11403,Manny Arop\mangisto-arop-1,G,2013-12-21,Indiana State,,IUPUI,W,1,31,9,13,.692,5,8,.625,4,5,.800,3,4,.750,2,4,6,2,1,2,3,1,25,22.1
11404,Jordan Clarkson\jordan-clarkson-1,G,2013-12-21,Missouri,,Illinois,L,1,35,8,13,.615,6,10,.600,2,3,.667,7,9,.778,1,5,6,8,1,0,3,2,25,23.3
11405,Davon Usher\davon-usher-1,G,2013-12-21,Delaware,,Bryant,W,1,44,8,23,.348,7,13,.538,1,10,.100,8,12,.667,4,4,8,2,4,1,0,3,25,19.4
11406,Jordan Tolbert\jordan-tolbert-1,F,2013-12-21,Texas Tech,@,Arizona State,L,1,34,10,14,.714,9,12,.750,1,2,.500,4,4,1.000,5,7,12,1,0,2,3,2,25,23.1
11407,Kyle Collinsworth\kyle-collinsworth-1,G,2016-02-18,Brigham Young,@,San Diego,W,1,39,7,20,.350,6,18,.333,1,2,.500,10,14,.714,6,6,12,6,2,1,3,1,25,21.7
11408,Bryce Pressley\bryce-pressley-1,G,2016-02-18,Portland,,Saint Mary's (CA),L,1,37,11,15,.733,10,13,.769,1,2,.500,2,2,1.000,1,4,5,2,1,0,0,2,25,22.4
11409,Ronnie Boyce III\ronnie-boyceiii-1,G,2016-02-18,San Francisco,@,Pepperdine,W,0,33,12,18,.667,11,14,.786,1,4,.250,0,0,,0,3,3,3,2,1,3,1,25,19.5
11410,BaeBae Daniels\baebae-daniels-1,F,2016-02-18,North Florida,,NJIT,W,0,22,10,13,.769,6,7,.857,4,6,.667,1,2,.500,0,5,5,3,3,3,1,0,25,27.2
11411,Derek Willis\derek-willis-1,F,2016-02-18,Kentucky,,Tennessee,W,1,25,8,12,.667,1,1,1.000,7,11,.636,2,2,1.000,2,3,5,0,0,1,0,3,25,21.6
11412,Marc Eddy Norelia\marc-eddy-norelia-1,F,2016-02-18,Florida Gulf Coast,,Lipscomb,W,1,33,7,10,.700,7,10,.700,0,0,,11,14,.786,5,7,12,2,3,1,2,2,25,27.5
11413,Marvelle Harris\marvelle-harris-2,G,2016-02-17,Fresno State,@,Wyoming,W,1,39,8,15,.533,1,7,.143,7,8,.875,2,3,.667,0,3,3,7,2,0,3,3,25,20.9
11414,Jordan Woodard\jordan-woodard-1,G,2016-02-17,Oklahoma,@,Texas Tech,L,1,34,7,14,.500,4,7,.571,3,7,.429,8,8,1.000,2,1,3,1,0,0,0,2,25,19.6
11415,Jalen Brunson\jalen-brunson-1,G,2016-02-17,Villanova,@,Temple,W,1,23,9,11,.818,5,6,.833,4,5,.800,3,4,.750,0,1,1,2,1,0,2,1,25,20.8
11416,Eli Cain\eli-cain-1,G,2016-02-17,DePaul,@,St. John's (NY),L,1,36,9,16,.563,7,12,.583,2,4,.500,5,5,1.000,1,2,3,0,4,1,2,2,25,20.6
11417,Jordan McLaughlin\jordan-mclaughlin-1,G,2016-02-17,Southern California,,Colorado,W,1,34,8,14,.571,6,10,.600,2,4,.500,7,9,.778,0,4,4,5,3,0,1,0,25,24.3
11418,Adam Smith\adam-smith-1,C,2016-02-17,Georgia Tech,@,Florida State,W,1,35,7,15,.467,4,5,.800,3,10,.300,8,11,.727,1,2,3,3,1,0,4,0,25,16.5
11419,Kevin Ferguson\kevin-ferguson-1,C,2016-02-17,Army,,Holy Cross,W,1,35,12,16,.750,12,16,.750,0,0,,1,1,1.000,5,8,13,0,1,1,4,3,25,21.0
11420,T.J. Cline\tj-cline-1,F,2016-02-16,Richmond,@,Davidson,L,1,35,10,19,.526,8,15,.533,2,4,.500,3,5,.600,1,4,5,3,1,0,0,1,25,19.5
11421,Dante Holmes\dante-holmes-1,G,2016-02-15,North Carolina Central,,Florida A&M,W,1,39,8,16,.500,3,4,.750,5,12,.417,4,6,.667,3,9,12,1,1,0,2,5,25,18.7
