Rk,Player,Pos,Date,Schl,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
29301,Nate Duhon\nate-duhon-1,G,2013-03-09,Chicago State,@,Houston Baptist,W,1,34,6,11,.545,6,11,.545,0,0,,9,10,.900,1,6,7,2,1,1,2,4,21,17.3
29302,Elias Harris\elias-harris-1,F,2013-03-09,Gonzaga,,Loyola Marymount,W,1,33,6,9,.667,5,6,.833,1,3,.333,8,12,.667,1,7,8,1,2,2,2,2,21,19.6
29303,Dyshawn Pierre\dyshawn-pierre-1,F,2013-03-09,Dayton,@,George Washington,L,1,33,8,9,.889,7,7,1.000,1,2,.500,4,7,.571,1,6,7,2,0,0,3,3,21,16.4
29304,Brett Comer\brett-comer-1,G,2013-03-09,Florida Gulf Coast,,Mercer,W,1,29,9,17,.529,8,14,.571,1,3,.333,2,2,1.000,0,2,2,5,3,0,2,1,21,17.4
29305,Dominique Buckley\dominique-buckley-1,G,2013-03-09,Toledo,@,Eastern Michigan,W,1,36,6,13,.462,1,1,1.000,5,12,.417,4,4,1.000,1,3,4,5,2,1,1,1,21,20.7
29306,Maurice Kemp\maurice-kemp-1,F,2013-03-09,East Carolina,,Marshall,W,1,40,6,13,.462,5,11,.455,1,2,.500,8,9,.889,4,2,6,1,2,0,1,1,21,18.6
29307,Elijah Pittman\elijah-pittman-1,F,2013-03-09,Marshall,@,East Carolina,L,1,36,5,11,.455,1,4,.250,4,7,.571,7,9,.778,1,5,6,1,0,0,2,1,21,15.0
29308,J.J. Moore\jj-moore-1,F,2013-03-09,Pittsburgh,@,DePaul,W,0,19,8,8,1.000,3,3,1.000,5,5,1.000,0,0,,0,0,0,1,0,0,0,2,21,18.5
29309,Jauwan Scaife\jauwan-scaife-1,G,2013-02-16,Ball State,,Eastern Michigan,L,1,37,6,18,.333,4,5,.800,2,13,.154,7,10,.700,2,0,2,1,0,0,5,4,21,5.1
29310,Tamir Jackson\tamir-jackson-1,G,2013-02-16,Rice,@,Alabama-Birmingham,L,1,35,9,16,.563,7,11,.636,2,5,.400,1,3,.333,1,2,3,1,1,0,3,3,21,11.4
