,YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT,ELO,OPP_ELO
324,2015,Second Round,2,Gonzaga,87,7,Iowa,68,19,WIN,0.2412,0.4974
325,2015,First Round,6,Providence,53,11,Dayton,66,-13,LOSS,0.0555,0.713
326,2015,Second Round,2,Kansas,65,7,Wichita State,78,-13,LOSS,0.9629,0.9134
327,2015,Sweet 16,3,Notre Dame,81,7,Wichita State,70,11,WIN,0.5418,0.9134
328,2015,First Round,2,Kansas,75,15,New Mexico State,56,19,WIN,0.9629,0.95
329,2015,First Round,8,Cincinnati,66,9,Purdue,65,1,WIN,0.2003,0.7040000000000001
330,2015,Sweet 16,11,UCLA,62,2,Gonzaga,74,-12,LOSS,0.3433,0.2412
331,2015,Elite Eight,1,Duke,66,2,Gonzaga,52,14,WIN,0.4974,0.2412
332,2015,First Round,11,UCLA,60,6,Southern Methodist,59,1,WIN,0.3433,0.6604
333,2015,Second Round,11,UCLA,92,14,Alabama-Birmingham,75,17,WIN,0.3433,0.2536
334,2015,First Round,3,Iowa State,59,14,Alabama-Birmingham,60,-1,LOSS,0.1577,0.2536
335,2015,Sweet 16,7,Wichita State,70,3,Notre Dame,81,-11,LOSS,0.9134,0.5418
336,2015,Elite Eight,1,Kentucky,68,3,Notre Dame,66,2,WIN,0.4076,0.5418
337,2015,Second Round,6,Butler,64,3,Notre Dame,67,-3,LOSS,0.5283,0.5418
338,2015,First Round,7,Wichita State,81,10,Indiana,76,5,WIN,0.9134,0.3678
339,2015,Second Round,4,Maryland,59,5,West Virginia,69,-10,LOSS,0.0794,0.359
340,2015,Sweet 16,1,Kentucky,78,5,West Virginia,39,39,WIN,0.4076,0.359
341,2015,First Round,4,Maryland,65,13,Valparaiso,62,3,WIN,0.0794,0.299
342,2015,Second Round,5,Arkansas,78,4,North Carolina,87,-9,LOSS,0.3147,0.6907
343,2015,Sweet 16,1,Wisconsin,79,4,North Carolina,72,7,WIN,0.4914,0.6907
344,2015,First Round,5,Arkansas,56,12,Wofford,53,3,WIN,0.3147,0.6949
345,2015,Second Round,6,Xavier,75,14,Georgia State,67,8,WIN,0.8057,0.1839
346,2015,First Round,6,Xavier,76,11,Mississippi,57,19,WIN,0.8057,0.9735
347,2015,Second Round,8,Oregon,65,1,Wisconsin,72,-7,LOSS,0.1827,0.4914
348,2015,Sweet 16,4,North Carolina,72,1,Wisconsin,79,-7,LOSS,0.6907,0.4914
349,2015,Final Four,1,Kentucky,64,1,Wisconsin,71,-7,LOSS,0.4076,0.4914
350,2015,Elite Eight,2,Arizona,78,1,Wisconsin,85,-7,LOSS,0.0944,0.4914
351,2015,National Championship,1,Duke,68,1,Wisconsin,63,5,WIN,0.4974,0.4914
352,2015,First Round,8,Oregon,79,9,Oklahoma State,73,6,WIN,0.1827,0.1592
353,2015,First Round,4,North Carolina,67,13,Harvard,65,2,WIN,0.6907,0.2437
354,2015,Second Round,4,North Carolina,87,5,Arkansas,78,9,WIN,0.6907,0.3147
355,2015,Second Round,1,Kentucky,64,8,Cincinnati,51,13,WIN,0.4076,0.2003
356,2015,First Round,9,Purdue,65,8,Cincinnati,66,-1,LOSS,0.7040000000000001,0.2003
357,2015,First Round,1,Kentucky,79,16,Hampton,56,23,WIN,0.4076,0.087
358,2015,Sweet 16,2,Arizona,68,6,Xavier,60,8,WIN,0.0944,0.8057
359,2015,Second Round,2,Arizona,73,10,Ohio State,58,15,WIN,0.0944,0.3555
360,2015,First Round,7,Virginia Commonwealth,72,10,Ohio State,75,-3,LOSS,0.5892,0.3555
361,2015,First Round,2,Arizona,93,15,Texas Southern,72,21,WIN,0.0944,0.7304
362,2015,Second Round,2,Virginia,54,7,Michigan State,60,-6,LOSS,0.3261,0.5539999999999999
363,2015,Elite Eight,4,Louisville,70,7,Michigan State,76,-6,LOSS,0.9845,0.5539999999999999
364,2015,Final Four,1,Duke,81,7,Michigan State,61,20,WIN,0.4974,0.5539999999999999
365,2015,First Round,2,Virginia,79,15,Belmont,67,12,WIN,0.3261,0.5533
366,2015,First Round,9,Oklahoma State,73,8,Oregon,79,-6,LOSS,0.1592,0.1827
367,2015,Second Round,1,Wisconsin,72,8,Oregon,65,7,WIN,0.4914,0.1827
368,2015,Sweet 16,4,Louisville,75,8,North Carolina State,65,10,WIN,0.9845,0.255
369,2015,Second Round,1,Villanova,68,8,North Carolina State,71,-3,LOSS,0.7909999999999999,0.255
370,2015,Second Round,4,Louisville,66,5,Northern Iowa,53,13,WIN,0.9845,0.6462
371,2015,Play-In,11,Dayton,56,11,Boise State,55,1,WIN,0.713,0.5218
372,2015,First Round,11,Dayton,66,6,Providence,53,13,WIN,0.713,0.0555
373,2015,First Round,1,Wisconsin,86,16,Coastal Carolina,72,14,WIN,0.4914,0.4481
374,2015,First Round,1,Villanova,93,16,Lafayette,52,41,WIN,0.7909999999999999,0.2735
375,2015,First Round,6,Butler,56,11,Texas,48,8,WIN,0.5283,0.5734
376,2015,Second Round,3,Notre Dame,67,6,Butler,64,3,WIN,0.5418,0.5283
377,2015,First Round,3,Notre Dame,69,14,Northeastern,65,4,WIN,0.5418,0.7095
378,2016,Play-In,11,Vanderbilt,50,11,Wichita State,70,-20,LOSS,0.0251,0.6343
379,2016,First Round,6,Arizona,55,11,Wichita State,65,-10,LOSS,0.325,0.6343
380,2016,Second Round,9,Providence,66,1,North Carolina,85,-19,LOSS,0.3528,0.495
381,2016,First Round,16,Florida Gulf Coast,67,1,North Carolina,83,-16,LOSS,0.0562,0.495
382,2016,Elite Eight,6,Notre Dame,74,1,North Carolina,88,-14,LOSS,0.5674,0.495
383,2016,National Championship,2,Villanova,77,1,North Carolina,74,3,WIN,0.3056,0.495
384,2016,First Round,9,Providence,70,8,Southern California,69,1,WIN,0.3528,0.8764
385,2016,First Round,7,Dayton,51,10,Syracuse,70,-19,LOSS,0.4574,0.7468
386,2016,Elite Eight,1,Virginia,62,10,Syracuse,68,-6,LOSS,0.2119,0.7468
387,2016,Final Four,1,North Carolina,83,10,Syracuse,66,17,WIN,0.495,0.7468
388,2016,Sweet 16,11,Gonzaga,60,10,Syracuse,63,-3,LOSS,0.1192,0.7468
389,2016,First Round,6,Seton Hall,52,11,Gonzaga,68,-16,LOSS,0.0914,0.1192
390,2016,Play-In,16,Florida Gulf Coast,96,16,Fairleigh Dickinson,65,31,WIN,0.0562,0.4626
391,2016,Sweet 16,5,Maryland,63,1,Kansas,79,-16,LOSS,0.0034,0.1808
392,2016,Elite Eight,2,Villanova,64,1,Kansas,59,5,WIN,0.3056,0.1808
393,2016,First Round,5,Maryland,79,12,South Dakota State,74,5,WIN,0.0034,0.8326
394,2016,Second Round,5,Maryland,73,13,Hawaii,60,13,WIN,0.0034,0.8088
395,2016,Sweet 16,4,Duke,68,1,Oregon,82,-14,LOSS,0.7259,0.9728
396,2016,Second Round,4,Duke,71,12,Yale,64,7,WIN,0.7259,0.9282
397,2016,Second Round,6,Notre Dame,76,14,Stephen F. Austin,75,1,WIN,0.5674,0.4651
398,2016,First Round,3,West Virginia,56,14,Stephen F. Austin,70,-14,LOSS,0.1629,0.4651
399,2016,Sweet 16,6,Notre Dame,61,7,Wisconsin,56,5,WIN,0.5674,0.7546
400,2016,Second Round,2,Xavier,63,7,Wisconsin,66,-3,LOSS,0.8093,0.7546
401,2016,First Round,6,Notre Dame,70,11,Michigan,63,7,WIN,0.5674,0.2139
402,2016,Sweet 16,4,Iowa State,71,1,Virginia,84,-13,LOSS,0.4147,0.2119
403,2016,Second Round,9,Butler,69,1,Virginia,77,-8,LOSS,0.6983,0.2119
404,2016,First Round,4,Iowa State,94,13,Iona,81,13,WIN,0.4147,0.8089
405,2016,Second Round,4,Iowa State,78,12,Arkansas-Little Rock,61,17,WIN,0.4147,0.125
406,2016,First Round,5,Purdue,83,12,Arkansas-Little Rock,85,-2,LOSS,0.6167,0.125
407,2016,First Round,13,Iona,81,4,Iowa State,94,-13,LOSS,0.8089,0.4147
408,2016,Sweet 16,1,Virginia,84,4,Iowa State,71,13,WIN,0.2119,0.4147
409,2016,Elite Eight,1,Oregon,68,2,Oklahoma,80,-12,LOSS,0.9728,0.8393
410,2016,Second Round,10,Virginia Commonwealth,81,2,Oklahoma,85,-4,LOSS,0.1958,0.8393
411,2016,Final Four,2,Villanova,95,2,Oklahoma,51,44,WIN,0.3056,0.8393
412,2016,Sweet 16,1,Oregon,82,4,Duke,68,14,WIN,0.9728,0.7259
413,2016,First Round,1,Oregon,91,16,Holy Cross,52,39,WIN,0.9728,0.0186
414,2016,First Round,9,Butler,71,8,Texas Tech,61,10,WIN,0.6983,0.2043
415,2016,First Round,11,Wichita State,65,6,Arizona,55,10,WIN,0.6343,0.325
416,2016,Play-In,11,Wichita State,70,11,Vanderbilt,50,20,WIN,0.6343,0.0251
417,2016,First Round,11,Michigan,63,6,Notre Dame,70,-7,LOSS,0.2139,0.5674
418,2016,Sweet 16,7,Wisconsin,56,6,Notre Dame,61,-5,LOSS,0.7546,0.5674
419,2016,Elite Eight,1,North Carolina,88,6,Notre Dame,74,14,WIN,0.495,0.5674
420,2016,Play-In,11,Michigan,67,11,Tulsa,62,5,WIN,0.2139,0.6624
421,2016,Second Round,1,Virginia,77,9,Butler,69,8,WIN,0.2119,0.6983
422,2016,First Round,1,Virginia,81,16,Hampton,45,36,WIN,0.2119,0.0694
423,2016,Second Round,4,Kentucky,67,5,Indiana,73,-6,LOSS,0.4818,0.1812
424,2016,Sweet 16,1,North Carolina,101,5,Indiana,86,15,WIN,0.495,0.1812
425,2016,First Round,4,Kentucky,85,13,Stony Brook,57,28,WIN,0.4818,0.539
426,2016,Second Round,7,Wisconsin,66,2,Xavier,63,3,WIN,0.7546,0.8093
427,2016,First Round,7,Wisconsin,47,10,Pittsburgh,43,4,WIN,0.7546,0.6334
428,2016,Elite Eight,1,Kansas,59,2,Villanova,64,-5,LOSS,0.1808,0.3056
429,2016,National Championship,1,North Carolina,74,2,Villanova,77,-3,LOSS,0.495,0.3056
430,2016,Second Round,1,Kansas,73,9,Connecticut,61,12,WIN,0.1808,0.7397
431,2016,Sweet 16,1,Kansas,79,5,Maryland,63,16,WIN,0.1808,0.0034
432,2016,First Round,12,South Dakota State,74,5,Maryland,79,-5,LOSS,0.8326,0.0034
433,2016,First Round,1,Kansas,105,16,Austin Peay,79,26,WIN,0.1808,0.8006
434,2016,First Round,10,Virginia Commonwealth,75,7,Oregon State,67,8,WIN,0.1958,0.7034
435,2016,First Round,1,North Carolina,83,16,Florida Gulf Coast,67,16,WIN,0.495,0.0562
436,2016,Second Round,1,North Carolina,85,9,Providence,66,19,WIN,0.495,0.3528
437,2016,First Round,8,Southern California,69,9,Providence,70,-1,LOSS,0.8764,0.3528
438,2016,First Round,11,Gonzaga,68,6,Seton Hall,52,16,WIN,0.1192,0.0914
439,2016,Second Round,11,Gonzaga,82,3,Utah,59,23,WIN,0.1192,0.3798
440,2016,First Round,2,Xavier,71,15,Weber State,53,18,WIN,0.8093,0.297
441,2010,Elite Eight,1,Duke,78,3,Baylor,71,7,WIN,0.2483,0.0684
442,2010,Sweet 16,1,Duke,70,4,Purdue,57,13,WIN,0.2483,0.4034
443,2010,First Round,1,Duke,73,16,Arkansas-Pine Bluff,44,29,WIN,0.2483,0.2682
444,2012,First Round,1,Kentucky,81,16,Western Kentucky,66,15,WIN,0.3866,0.9646
445,2012,Second Round,1,Kentucky,87,8,Iowa State,71,16,WIN,0.3866,0.5026
446,2013,Second Round,1,Louisville,82,8,Colorado State,56,26,WIN,0.1122,0.9817
447,2013,First Round,1,Louisville,79,16,North Carolina A&T,48,31,WIN,0.1122,0.2695
448,2015,Sweet 16,1,Duke,63,5,Utah,57,6,WIN,0.4974,0.1908
449,2015,Second Round,1,Duke,68,8,San Diego State,49,19,WIN,0.4974,0.7081
450,2015,First Round,1,Duke,85,16,Robert Morris,56,29,WIN,0.4974,0.1209
451,2016,Second Round,2,Villanova,87,7,Iowa,68,19,WIN,0.3056,0.7538
