,,,,,,,School,,,,,,,,,,,,
,Date,Schl,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
843,2010-11-15,Lipscomb,,Stillman,W 103-78,200,35,77,.455,26,55,.473,9,22,.409,24,33,.727,103
844,2010-11-17,Purdue,,Alcorn State,W 103-48,200,41,79,.519,34,60,.567,7,19,.368,14,21,.667,103
845,2010-11-18,Charleston Southern,,Montreat,W 103-85,200,38,67,.567,26,38,.684,12,29,.414,15,16,.938,103
846,2010-11-20,North Dakota State,,Mayville State,W 103-63,200,36,62,.581,25,43,.581,11,19,.579,20,28,.714,103
847,2010-11-20,Northwestern State,,Tennessee-Martin,W 103-94,200,33,68,.485,22,49,.449,11,19,.579,26,30,.867,103
848,2010-11-23,Texas Tech,,Georgia Southern,W 103-79,200,34,64,.531,22,37,.595,12,27,.444,23,28,.821,103
849,2010-11-26,Delaware State,,Philadelphia Biblical,W 103-41,200,37,58,.638,23,30,.767,14,28,.500,15,21,.714,103
850,2010-11-27,East Tennessee State,,Milligan,W 103-55,200,38,62,.613,30,45,.667,8,17,.471,19,27,.704,103
851,2010-11-29,IUPUI,,Indiana-East,W 103-80,200,37,54,.685,26,37,.703,11,17,.647,18,23,.783,103
852,2010-12-16,Gonzaga,,Lewis & Clark,W 103-61,200,37,61,.607,25,42,.595,12,19,.632,17,23,.739,103
853,2010-12-20,Oakland,,Rochester (MI),W 103-79,200,33,69,.478,17,31,.548,16,38,.421,21,27,.778,103
854,2010-12-21,Valparaiso,@,Oakland,W 103-102,200,36,57,.632,26,38,.684,10,19,.526,21,30,.700,103
855,2011-01-02,North Carolina,,Saint Francis (PA),W 103-54,200,39,66,.591,31,49,.633,8,17,.471,17,27,.630,103
856,2011-01-08,Washington,,Oregon State,W 103-72,200,39,70,.557,29,44,.659,10,26,.385,15,24,.625,103
857,2011-01-25,Stetson,,Florida Gulf Coast,L 103-111 (3OT),275,34,80,.425,23,39,.590,11,41,.268,24,35,.686,103
858,2011-02-07,Kansas,,Missouri,W 103-86,200,37,61,.607,26,42,.619,11,19,.579,18,28,.643,103
859,2011-02-24,Oakland,@,Missouri-Kansas City,W 103-90,200,37,61,.607,26,37,.703,11,24,.458,18,22,.818,103
860,2011-02-24,Savannah State,,Carver Bible,W 103-64,200,40,68,.588,32,50,.640,8,18,.444,15,22,.682,103
861,2011-11-11,Virginia Military Institute,N,Citadel,W 103-100,200,36,72,.500,29,46,.630,7,26,.269,24,30,.800,103
862,2011-11-11,Presbyterian,,Montreat,W 103-73,200,38,66,.576,26,41,.634,12,25,.480,15,27,.556,103
863,2011-11-14,Texas Christian,,Austin College,W 103-45,200,39,66,.591,35,54,.648,4,12,.333,21,31,.677,103
864,2011-11-18,Northern Arizona,,Arizona Christian,W 103-42,200,41,71,.577,29,45,.644,12,26,.462,9,10,.900,103
865,2011-11-19,Boise State,,Cal State Northridge,W 103-61,200,32,66,.485,19,37,.514,13,29,.448,26,38,.684,103
866,2011-12-03,Texas State,,Houston Baptist,W 103-76,200,34,56,.607,24,40,.600,10,16,.625,25,37,.676,103
867,2011-12-10,Campbell,,Methodist,W 103-55,200,38,68,.559,29,47,.617,9,21,.429,18,22,.818,103
868,2011-12-21,South Dakota,,Peru State,W 103-63,200,38,67,.567,25,43,.581,13,24,.542,14,23,.609,103
869,2012-01-07,Lamar,,Central Arkansas,W 103-67,200,37,67,.552,27,52,.519,10,15,.667,19,21,.905,103
870,2012-01-07,Stanford,@,Oregon State,W 103-101 (4OT),300,37,92,.402,24,64,.375,13,28,.464,16,28,.571,103
871,2012-01-16,Stetson,@,Lipscomb,L 103-104 (OT),225,34,74,.459,21,37,.568,13,37,.351,22,30,.733,103
872,2012-01-29,Indiana,,Iowa,W 103-89,200,37,67,.552,33,51,.647,4,16,.250,25,31,.806,103
873,2012-02-02,Longwood,,Southern Virginia,W 103-84,200,34,54,.630,22,34,.647,12,20,.600,23,29,.793,103
874,2012-02-16,Long Island University,,Sacred Heart,W 103-91 (OT),225,33,60,.550,25,38,.658,8,22,.364,29,39,.744,103
875,2012-03-08,Alcorn State,N,Prairie View,W 103-79,200,34,54,.630,29,46,.630,5,8,.625,30,39,.769,103
876,2012-11-09,Gonzaga,,Southern Utah,W 103-65,200,40,73,.548,34,60,.567,6,13,.462,17,30,.567,103
877,2012-11-10,Northern Iowa,,Wartburg,W 103-50,200,40,61,.656,27,40,.675,13,21,.619,10,17,.588,103
878,2012-11-18,Hofstra,,Marshall,W 103-100 (2OT),250,28,70,.400,21,52,.404,7,18,.389,40,57,.702,103
879,2012-11-20,Alabama A&M,,Oakwood,W 103-77,200,38,75,.507,26,45,.578,12,30,.400,15,25,.600,103
880,2012-12-18,Evansville,,Oakland City,W 103-69,200,37,69,.536,33,56,.589,4,13,.308,25,34,.735,103
