YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1992,First Round,2,Oklahoma State,100,15,Georgia Southern,73,27,WIN
1992,First Round,2,Southern California,84,15,Louisiana-Monroe,54,30,WIN
1992,Elite Eight,4,Cincinnati,88,6,Memphis,57,31,WIN
1992,First Round,1,Kansas,100,16,Howard,67,33,WIN
1992,First Round,4,Cincinnati,85,13,Delaware,47,38,WIN
1993,Second Round,8,Rhode Island,67,1,North Carolina,112,-45,LOSS
1993,Second Round,7,New Mexico State,55,2,Cincinnati,92,-37,LOSS
1993,Sweet 16,5,Wake Forest,69,1,Kentucky,103,-34,LOSS
1993,Elite Eight,3,Florida State,81,1,Kentucky,106,-25,LOSS
1993,First Round,8,New Orleans,55,9,Xavier,73,-18,LOSS
1993,First Round,8,New Orleans,55,9,Xavier,73,-18,LOSS
1993,Sweet 16,6,Virginia,54,2,Cincinnati,71,-17,LOSS
1993,Second Round,5,Oklahoma State,63,4,Louisville,78,-15,LOSS
1993,Sweet 16,4,Louisville,69,1,Indiana,82,-13,LOSS
1993,First Round,12,Marquette,62,5,Oklahoma State,74,-12,LOSS
1993,First Round,8,Iowa State,70,9,UCLA,81,-11,LOSS
1993,Final Four,2,Kansas,68,1,North Carolina,78,-10,LOSS
1993,First Round,10,Southern Methodist,71,7,Brigham Young,80,-9,LOSS
1993,Sweet 16,3,Vanderbilt,59,7,Temple,67,-8,LOSS
1993,Elite Eight,2,Cincinnati,68,1,North Carolina,75,-7,LOSS
1993,First Round,9,Purdue,68,8,Rhode Island,74,-6,LOSS
1993,National Championship,1,Michigan,71,1,North Carolina,77,-6,LOSS
1993,Sweet 16,4,Arkansas,74,1,North Carolina,80,-6,LOSS
1993,Second Round,3,Duke,77,6,California,82,-5,LOSS
1993,Second Round,2,Seton Hall,68,7,Western Kentucky,72,-4,LOSS
1993,Final Four,1,Kentucky,78,1,Michigan,81,-3,LOSS
1993,Second Round,9,Xavier,70,1,Indiana,73,-3,LOSS
1993,First Round,2,Arizona,61,15,Santa Clara,64,-3,LOSS
1993,Second Round,9,UCLA,84,1,Michigan,86,-2,LOSS
1993,First Round,6,Kansas State,53,11,Tulane,55,-2,LOSS
1993,Second Round,1,Michigan,86,9,UCLA,84,2,WIN
1993,Final Four,1,Michigan,81,1,Kentucky,78,3,WIN
1993,Sweet 16,3,Florida State,81,7,Western Kentucky,78,3,WIN
1993,Elite Eight,1,Michigan,77,7,Temple,72,5,WIN
1993,Elite Eight,2,Kansas,83,1,Indiana,77,6,WIN
1993,First Round,8,Rhode Island,74,9,Purdue,68,6,WIN
1993,First Round,4,Louisville,76,13,Delaware,70,6,WIN
1993,National Championship,1,North Carolina,77,1,Michigan,71,6,WIN
1993,Sweet 16,1,North Carolina,80,4,Arkansas,74,6,WIN
1993,Second Round,4,Arkansas,80,5,St. John's,74,6,WIN
1993,Second Round,5,Wake Forest,84,4,Iowa,78,6,WIN
1993,Elite Eight,1,North Carolina,75,2,Cincinnati,68,7,WIN
1993,Sweet 16,1,Michigan,72,12,George Washington,64,8,WIN
1993,Final Four,1,North Carolina,78,2,Kansas,68,10,WIN
1993,First Round,9,UCLA,81,8,Iowa State,70,11,WIN
1993,First Round,6,Virginia,78,11,Manhattan,66,12,WIN
1993,First Round,5,Oklahoma State,74,12,Marquette,62,12,WIN
1993,First Round,3,Florida State,82,14,Evansville,70,12,WIN
1993,First Round,7,New Mexico State,93,10,Nebraska,79,14,WIN
1993,Second Round,2,Kansas,90,7,Brigham Young,76,14,WIN
1993,Second Round,6,Virginia,71,3,Massachusetts,56,15,WIN
1993,Second Round,4,Louisville,78,5,Oklahoma State,63,15,WIN
1993,Sweet 16,2,Kansas,93,6,California,76,17,WIN
1993,Sweet 16,2,Cincinnati,71,6,Virginia,54,17,WIN
1993,Second Round,3,Vanderbilt,85,6,Illinois,68,17,WIN
1993,First Round,9,Xavier,73,8,New Orleans,55,18,WIN
1993,First Round,1,North Carolina,85,16,East Carolina,65,20,WIN
1993,First Round,3,Vanderbilt,92,14,Boise State,72,20,WIN
1993,Second Round,1,Kentucky,83,8,Utah,62,21,WIN
1993,First Round,2,Kansas,94,15,Ball State,72,22,WIN
1993,First Round,2,Seton Hall,81,15,Tennessee State,59,22,WIN
1993,First Round,5,Wake Forest,81,12,Chattanooga,58,23,WIN
1993,Elite Eight,1,Kentucky,106,3,Florida State,81,25,WIN
1993,First Round,2,Cincinnati,93,15,Coppin State,66,27,WIN
1993,First Round,4,Arkansas,94,13,Holy Cross,64,30,WIN
1993,First Round,1,Michigan,84,16,Coastal Carolina,53,31,WIN
1993,Second Round,3,Florida State,94,11,Tulane,63,31,WIN
1993,Sweet 16,1,Kentucky,103,5,Wake Forest,69,34,WIN
1993,First Round,3,Duke,105,14,Southern Illinois,70,35,WIN
1993,Second Round,2,Cincinnati,92,7,New Mexico State,55,37,WIN
1993,First Round,1,Kentucky,96,16,Rider,52,44,WIN
1993,Second Round,1,North Carolina,112,8,Rhode Island,67,45,WIN
1994,Second Round,9,Wisconsin,96,1,Missouri,109,-13,LOSS
1994,Second Round,7,Virginia,58,2,Arizona,71,-13,LOSS
1994,Sweet 16,3,Louisville,70,2,Arizona,82,-12,LOSS
1994,First Round,15,Texas Southern,70,2,Duke,82,-12,LOSS
1994,Second Round,3,Kentucky,63,6,Marquette,75,-12,LOSS
1994,Second Round,7,Michigan State,74,2,Duke,85,-11,LOSS
1994,First Round,10,Seton Hall,73,7,Michigan State,84,-11,LOSS
1994,Second Round,5,Wake Forest,58,4,Kansas,69,-11,LOSS
1994,First Round,13,New Mexico State,55,4,Oklahoma State,65,-10,LOSS
1994,Sweet 16,6,Marquette,49,2,Duke,59,-10,LOSS
1994,First Round,5,UCLA,102,12,Tulsa,112,-10,LOSS
1994,Elite Eight,1,Purdue,60,2,Duke,69,-9,LOSS
1994,Final Four,2,Arizona,82,1,Arkansas,91,-9,LOSS
1994,Elite Eight,3,Michigan,68,1,Arkansas,76,-8,LOSS
1994,First Round,8,Cincinnati,72,9,Wisconsin,80,-8,LOSS
1994,Sweet 16,10,Maryland,71,3,Michigan,78,-7,LOSS
1994,First Round,8,Providence,70,9,Alabama,76,-6,LOSS
1994,Final Four,3,Florida,65,2,Duke,70,-5,LOSS
1994,Sweet 16,4,Kansas,78,1,Purdue,83,-5,LOSS
1994,Second Round,6,Minnesota,55,3,Louisville,60,-5,LOSS
1994,National Championship,2,Duke,72,1,Arkansas,76,-4,LOSS
1994,Second Round,1,North Carolina,72,9,Boston College,75,-3,LOSS
1994,Second Round,4,Oklahoma State,80,12,Tulsa,82,-2,LOSS
1994,First Round,3,Florida,64,14,James Madison,62,2,WIN
1994,First Round,7,Virginia,57,10,New Mexico,54,3,WIN
1994,First Round,3,Michigan,78,14,Pepperdine,74,4,WIN
1994,National Championship,1,Arkansas,76,2,Duke,72,4,WIN
1994,Final Four,2,Duke,70,3,Florida,65,5,WIN
1994,Sweet 16,1,Purdue,83,4,Kansas,78,5,WIN
1994,Second Round,3,Michigan,84,6,Texas,79,5,WIN
1994,Second Round,3,Louisville,60,6,Minnesota,55,5,WIN
1994,Sweet 16,3,Michigan,78,10,Maryland,71,7,WIN
1994,First Round,9,Wisconsin,80,8,Cincinnati,72,8,WIN
1994,Elite Eight,3,Florida,74,9,Boston College,66,8,WIN
1994,Elite Eight,1,Arkansas,76,3,Michigan,68,8,WIN
1994,Second Round,10,Maryland,95,2,Massachusetts,87,8,WIN
1994,First Round,10,Maryland,74,7,St. Louis,66,8,WIN
1994,Sweet 16,3,Florida,69,2,Connecticut,60,9,WIN
1994,Elite Eight,2,Duke,69,1,Purdue,60,9,WIN
1994,First Round,3,Louisville,67,14,Boise State,58,9,WIN
1994,Final Four,1,Arkansas,91,2,Arizona,82,9,WIN
1994,Sweet 16,2,Duke,59,6,Marquette,49,10,WIN
1994,Second Round,1,Purdue,83,9,Alabama,73,10,WIN
1994,First Round,4,Oklahoma State,65,13,New Mexico State,55,10,WIN
1994,First Round,5,Wake Forest,68,12,College of Charleston,58,10,WIN
1994,Second Round,2,Duke,85,7,Michigan State,74,11,WIN
1994,Second Round,4,Kansas,69,5,Wake Forest,58,11,WIN
1994,First Round,7,Michigan State,84,10,Seton Hall,73,11,WIN
1994,Second Round,3,Florida,70,11,Penn,58,12,WIN
1994,Second Round,6,Marquette,75,3,Kentucky,63,12,WIN
1994,First Round,2,Duke,82,15,Texas Southern,70,12,WIN
1994,Second Round,1,Arkansas,85,9,Georgetown,73,12,WIN
1994,Sweet 16,2,Arizona,82,3,Louisville,70,12,WIN
1994,First Round,3,Kentucky,83,14,Tennessee State,70,13,WIN
1994,Second Round,2,Arizona,71,7,Virginia,58,13,WIN
1994,First Round,6,Minnesota,74,11,Southern Illinois,60,14,WIN
1994,First Round,1,Arkansas,94,16,North Carolina A&T,79,15,WIN
1994,Sweet 16,1,Arkansas,103,12,Tulsa,84,19,WIN
1994,First Round,1,North Carolina,71,16,Liberty,51,20,WIN
1994,Elite Eight,2,Arizona,92,1,Missouri,72,20,WIN
1994,First Round,6,Marquette,81,11,Louisiana-Lafayette,59,22,WIN
1994,First Round,2,Arizona,81,15,Loyola (Md.),55,26,WIN
1994,First Round,4,Kansas,102,13,Chattanooga,73,29,WIN
1994,First Round,1,Purdue,98,16,Central Florida,67,31,WIN
1995,First Round,16,Mount St. Mary's,67,1,Kentucky,113,-46,LOSS
1995,First Round,14,Gonzaga,63,3,Maryland,87,-24,LOSS
1995,Second Round,7,Iowa State,51,2,North Carolina,73,-22,LOSS
1995,First Round,11,Louisville,56,6,Memphis,77,-21,LOSS
1995,Sweet 16,5,Mississippi State,67,1,UCLA,86,-19,LOSS
1995,First Round,6,Oregon,73,11,Texas,90,-17,LOSS
1995,Final Four,4,Oklahoma State,61,1,UCLA,74,-13,LOSS
1995,Elite Eight,1,Kentucky,61,2,North Carolina,74,-13,LOSS
1995,National Championship,2,Arkansas,78,1,UCLA,89,-11,LOSS
1995,Sweet 16,3,Maryland,89,2,Connecticut,99,-10,LOSS
1995,Sweet 16,1,Kansas,58,4,Virginia,67,-9,LOSS
1995,First Round,5,Arizona,62,12,Miami (Ohio),71,-9,LOSS
1995,First Round,3,Villanova,81,14,Old Dominion,89,-8,LOSS
1995,Elite Eight,4,Virginia,61,2,Arkansas,68,-7,LOSS
1995,First Round,3,Michigan State,72,14,Weber State,79,-7,LOSS
1995,Final Four,2,North Carolina,68,2,Arkansas,75,-7,LOSS
1995,First Round,9,Michigan,76,8,Western Kentucky,82,-6,LOSS
1995,Second Round,7,Cincinnati,91,2,Connecticut,96,-5,LOSS
1995,Sweet 16,1,Wake Forest,66,4,Oklahoma State,71,-5,LOSS
1995,First Round,11,Xavier,63,6,Georgetown,68,-5,LOSS
1995,First Round,10,Florida,61,7,Iowa State,64,-3,LOSS
1995,First Round,8,Minnesota,61,9,St. Louis,64,-3,LOSS
1995,Second Round,3,Purdue,73,6,Memphis,75,-2,LOSS
1995,First Round,15,Texas Southern,78,2,Arkansas,79,-1,LOSS
1995,First Round,3,Purdue,49,14,Green Bay,48,1,WIN
1995,First Round,2,Arkansas,79,15,Texas Southern,78,1,WIN
1995,Second Round,1,UCLA,75,8,Missouri,74,1,WIN
1995,Second Round,2,Arkansas,96,7,Syracuse,94,2,WIN
1995,First Round,7,Iowa State,64,10,Florida,61,3,WIN
1995,First Round,5,Mississippi State,65,12,Santa Clara,60,5,WIN
1995,Second Round,1,Kansas,75,8,Western Kentucky,70,5,WIN
1995,Sweet 16,4,Oklahoma State,71,1,Wake Forest,66,5,WIN
1995,Sweet 16,2,Arkansas,96,6,Memphis,91,5,WIN
1995,Second Round,1,Wake Forest,64,9,St. Louis,59,5,WIN
1995,Second Round,4,Virginia,60,12,Miami (Ohio),54,6,WIN
1995,Elite Eight,1,UCLA,102,2,Connecticut,96,6,WIN
1995,First Round,7,Cincinnati,77,10,Temple,71,6,WIN
1995,Final Four,2,Arkansas,75,2,North Carolina,68,7,WIN
1995,Elite Eight,2,Arkansas,68,4,Virginia,61,7,WIN
1995,Sweet 16,4,Virginia,67,1,Kansas,58,9,WIN
1995,Sweet 16,2,North Carolina,74,6,Georgetown,64,10,WIN
1995,First Round,2,North Carolina,80,15,Murray St.,70,10,WIN
1995,National Championship,1,UCLA,89,2,Arkansas,78,11,WIN
1995,Elite Eight,2,North Carolina,74,1,Kentucky,61,13,WIN
1995,Final Four,1,UCLA,74,4,Oklahoma State,61,13,WIN
1995,Second Round,5,Mississippi State,78,4,Utah,64,14,WIN
1995,First Round,1,Kansas,82,16,Colgate,68,14,WIN
1995,Elite Eight,4,Oklahoma State,68,2,Massachusetts,54,14,WIN
1995,Second Round,4,Oklahoma State,66,5,Alabama,52,14,WIN
1995,Second Round,3,Maryland,82,11,Texas,68,14,WIN
1995,Sweet 16,1,UCLA,86,5,Mississippi State,67,19,WIN
1995,Second Round,2,North Carolina,73,7,Iowa State,51,22,WIN
1995,Second Round,1,Kentucky,82,9,Tulane,60,22,WIN
1995,First Round,4,Virginia,96,13,Nicholls State,72,24,WIN
1995,First Round,4,Oklahoma State,73,13,Drexel,49,24,WIN
1995,Sweet 16,1,Kentucky,97,5,Arizona State,73,24,WIN
1995,First Round,3,Maryland,87,14,Gonzaga,63,24,WIN
1995,First Round,1,Wake Forest,79,16,North Carolina A&T,47,32,WIN
1995,First Round,1,UCLA,92,16,Florida International,56,36,WIN
1995,First Round,1,Kentucky,113,16,Mount St. Mary's,67,46,WIN
1996,Second Round,9,Virginia Tech,60,1,Kentucky,84,-24,LOSS
1996,Second Round,13,Princeton,41,5,Mississippi State,63,-22,LOSS
1996,First Round,11,New Orleans,62,6,North Carolina,83,-21,LOSS
1996,First Round,11,New Orleans,62,6,North Carolina,83,-21,LOSS
1996,First Round,10,Kansas State,48,7,New Mexico,69,-21,LOSS
1996,Elite Eight,2,Wake Forest,63,1,Kentucky,83,-20,LOSS
1996,Second Round,6,North Carolina,73,3,Texas Tech,92,-19,LOSS
1996,Sweet 16,12,Arkansas,63,1,Massachusetts,79,-16,LOSS
1996,First Round,7,Maryland,79,10,Santa Clara,91,-12,LOSS
1996,Elite Eight,2,Cincinnati,63,5,Mississippi State,73,-10,LOSS
1996,Second Round,4,Marquette,56,12,Arkansas,65,-9,LOSS
1996,Final Four,5,Mississippi State,69,4,Syracuse,77,-8,LOSS
1996,First Round,8,Duke,51,9,Eastern Michigan,58,-7,LOSS
1996,Second Round,1,Purdue,69,8,Georgia,76,-7,LOSS
1996,First Round,12,Virginia Commonwealth,51,5,Mississippi State,58,-7,LOSS
1996,Second Round,5,Iowa State,67,4,Utah,73,-6,LOSS
1996,Second Round,3,Villanova,64,6,Louisville,68,-4,LOSS
1996,First Round,7,Michigan,76,10,Texas,80,-4,LOSS
1996,Elite Eight,2,Kansas,57,4,Syracuse,60,-3,LOSS
1996,Sweet 16,3,Arizona,80,2,Kansas,83,-3,LOSS
1996,First Round,4,UCLA,41,13,Princeton,43,-2,LOSS
1996,Sweet 16,6,Louisville,59,2,Wake Forest,60,-1,LOSS
1996,Sweet 16,2,Wake Forest,60,6,Louisville,59,1,WIN
1996,First Round,1,Purdue,73,16,Western Carolina,71,2,WIN
1996,First Round,6,Louisville,82,11,Tulsa,80,2,WIN
1996,First Round,13,Princeton,43,4,UCLA,41,2,WIN
1996,Sweet 16,2,Kansas,83,3,Arizona,80,3,WIN
1996,Second Round,2,Wake Forest,65,10,Texas,62,3,WIN
1996,Second Round,6,Louisville,68,3,Villanova,64,4,WIN
1996,Sweet 16,5,Mississippi State,60,1,Connecticut,55,5,WIN
1996,First Round,2,Cincinnati,66,15,UNC Greensboro,61,5,WIN
1996,First Round,12,Arkansas,86,5,Penn State,80,6,WIN
1996,First Round,5,Mississippi State,58,12,Virginia Commonwealth,51,7,WIN
1996,Final Four,1,Kentucky,81,1,Massachusetts,74,7,WIN
1996,Second Round,12,Arkansas,65,4,Marquette,56,9,WIN
1996,National Championship,1,Kentucky,76,4,Syracuse,67,9,WIN
1996,Elite Eight,5,Mississippi State,73,2,Cincinnati,63,10,WIN
1996,First Round,5,Iowa State,74,12,California,64,10,WIN
1996,First Round,2,Wake Forest,62,15,Louisiana-Monroe,50,12,WIN
1996,First Round,9,Virginia Tech,61,8,Green Bay,48,13,WIN
1996,Second Round,2,Cincinnati,78,7,Temple,65,13,WIN
1996,Second Round,3,Arizona,87,6,Iowa,73,14,WIN
1996,Sweet 16,2,Cincinnati,87,3,Georgia Tech,70,17,WIN
1996,Elite Eight,1,Kentucky,83,2,Wake Forest,63,20,WIN
1996,First Round,6,North Carolina,83,11,New Orleans,62,21,WIN
1996,Second Round,5,Mississippi State,63,13,Princeton,41,22,WIN
1996,First Round,4,Marquette,68,13,Monmouth,44,24,WIN
1996,Second Round,1,Kentucky,84,9,Virginia Tech,60,24,WIN
1996,Second Round,2,Kansas,76,10,Santa Clara,51,25,WIN
1996,Sweet 16,1,Kentucky,101,4,Utah,70,31,WIN
1996,First Round,3,Villanova,92,14,Portland,58,34,WIN
1996,First Round,2,Kansas,92,15,South Carolina State,54,38,WIN
1996,First Round,1,Kentucky,110,16,San Jose State,72,38,WIN
1996,First Round,3,Arizona,90,14,Valparaiso,51,39,WIN
1997,Elite Eight,6,Louisville,74,1,North Carolina,97,-23,LOSS
1997,First Round,7,Marquette,59,10,Providence,81,-22,LOSS
1997,First Round,14,Butler,69,3,Cincinnati,86,-17,LOSS
1997,Second Round,8,Purdue,61,1,Kansas,75,-14,LOSS
1997,First Round,7,Wisconsin,58,10,Texas,71,-13,LOSS
1997,First Round,9,Virginia,60,8,Iowa,73,-13,LOSS
1997,First Round,11,Southern California,77,6,Illinois,90,-13,LOSS
1997,First Round,2,South Carolina,65,15,Coppin State,78,-13,LOSS
1997,Second Round,7,Xavier,83,2,UCLA,96,-13,LOSS
1997,First Round,10,Vanderbilt,68,7,Xavier,80,-12,LOSS
1997,Second Round,2,Duke,87,10,Providence,98,-11,LOSS
1997,Final Four,1,Minnesota,69,1,Kentucky,78,-9,LOSS
1997,First Round,5,Maryland,66,12,College of Charleston,75,-9,LOSS
1997,Final Four,1,North Carolina,58,4,Arizona,66,-8,LOSS
1997,Elite Eight,2,UCLA,72,1,Minnesota,80,-8,LOSS
1997,Second Round,4,Villanova,68,5,California,75,-7,LOSS
1997,First Round,9,Rhode Island,76,8,Purdue,83,-7,LOSS
1997,Second Round,3,Wake Forest,66,6,Stanford,72,-6,LOSS
1997,National Championship,1,Kentucky,79,4,Arizona,84,-5,LOSS
1997,Elite Eight,10,Providence,92,4,Arizona,96,-4,LOSS
1997,Sweet 16,1,Kansas,82,4,Arizona,85,-3,LOSS
1997,First Round,12,Princeton,52,5,California,55,-3,LOSS
1997,Sweet 16,6,Iowa State,73,2,UCLA,74,-1,LOSS
1997,Second Round,3,Cincinnati,66,6,Iowa State,67,-1,LOSS
1997,Second Round,6,Iowa State,67,3,Cincinnati,66,1,WIN
1997,Second Round,6,Louisville,64,3,New Mexico,63,1,WIN
1997,Sweet 16,2,UCLA,74,6,Iowa State,73,1,WIN
1997,First Round,2,Duke,71,15,Murray St.,68,3,WIN
1997,Sweet 16,4,Arizona,85,1,Kansas,82,3,WIN
1997,Elite Eight,4,Arizona,96,10,Providence,92,4,WIN
1997,Second Round,4,Arizona,73,12,College of Charleston,69,4,WIN
1997,National Championship,4,Arizona,84,1,Kentucky,79,5,WIN
1997,Sweet 16,10,Providence,71,14,Chattanooga,65,6,WIN
1997,Sweet 16,1,North Carolina,63,5,California,57,6,WIN
1997,Sweet 16,1,Minnesota,90,4,Clemson,84,6,WIN
1997,Second Round,1,Kentucky,75,8,Iowa,69,6,WIN
1997,First Round,8,Purdue,83,9,Rhode Island,76,7,WIN
1997,First Round,6,Louisville,65,11,Massachusetts,57,8,WIN
1997,First Round,1,North Carolina,82,16,Fairfield,74,8,WIN
1997,Elite Eight,1,Minnesota,80,2,UCLA,72,8,WIN
1997,Final Four,4,Arizona,66,1,North Carolina,58,8,WIN
1997,First Round,4,Arizona,65,13,South Alabama,57,8,WIN
1997,Final Four,1,Kentucky,78,1,Minnesota,69,9,WIN
1997,First Round,4,Villanova,101,13,Long Island,91,10,WIN
1997,Second Round,10,Providence,98,2,Duke,87,11,WIN
1997,First Round,6,Iowa State,69,11,Illinois State,57,12,WIN
1997,First Round,7,Xavier,80,10,Vanderbilt,68,12,WIN
1997,Second Round,2,UCLA,96,7,Xavier,83,13,WIN
1997,Elite Eight,1,Kentucky,72,2,Utah,59,13,WIN
1997,Second Round,1,Kansas,75,8,Purdue,61,14,WIN
1997,First Round,1,Kansas,78,16,Jackson State,64,14,WIN
1997,Sweet 16,6,Louisville,78,10,Texas,63,15,WIN
1997,Sweet 16,1,Kentucky,83,4,St. Joseph's,68,15,WIN
1997,Second Round,1,North Carolina,73,9,Colorado,56,17,WIN
1997,First Round,3,Cincinnati,86,14,Butler,69,17,WIN
1997,Second Round,1,Minnesota,76,9,Temple,57,19,WIN
1997,First Round,10,Providence,81,7,Marquette,59,22,WIN
1997,First Round,3,Wake Forest,68,14,St. Mary's (Cal.),46,22,WIN
1997,Elite Eight,1,North Carolina,97,6,Louisville,74,23,WIN
1997,First Round,1,Minnesota,78,16,Texas State,46,32,WIN
1997,First Round,2,UCLA,109,15,Charleston Southern,75,34,WIN
1997,First Round,1,Kentucky,92,16,Montana,54,38,WIN
1998,Sweet 16,6,UCLA,68,2,Kentucky,94,-26,LOSS
1998,Elite Eight,1,Arizona,51,3,Utah,76,-25,LOSS
1998,First Round,13,Butler,62,4,New Mexico,79,-17,LOSS
1998,Sweet 16,4,Michigan State,58,1,North Carolina,73,-15,LOSS
1998,Second Round,5,Princeton,51,4,Michigan State,63,-12,LOSS
1998,Sweet 16,2,Purdue,59,3,Stanford,67,-8,LOSS
1998,Sweet 16,4,Maryland,79,1,Arizona,87,-8,LOSS
1998,Second Round,8,Oklahoma State,73,1,Duke,79,-6,LOSS
1998,Final Four,1,North Carolina,59,3,Utah,65,-6,LOSS
1998,Second Round,6,Arkansas,69,3,Utah,75,-6,LOSS
1998,Second Round,12,Florida State,77,13,Valparaiso,83,-6,LOSS
1998,Second Round,1,Kansas,75,8,Rhode Island,80,-5,LOSS
1998,First Round,11,Miami (Fla.),62,6,UCLA,65,-3,LOSS
1998,Second Round,3,Michigan,82,6,UCLA,85,-3,LOSS
1998,Sweet 16,10,West Virginia,62,3,Utah,65,-3,LOSS
1998,Elite Eight,1,Duke,84,2,Kentucky,86,-2,LOSS
1998,First Round,12,Iona,61,5,Syracuse,63,-2,LOSS
1998,Elite Eight,8,Rhode Island,77,3,Stanford,79,-2,LOSS
1998,First Round,3,South Carolina,61,14,Richmond,62,-1,LOSS
1998,Second Round,2,Cincinnati,74,10,West Virginia,75,-1,LOSS
1998,First Round,6,Xavier,68,11,Washington,69,-1,LOSS
1998,Final Four,2,Kentucky,86,3,Stanford,85,1,WIN
1998,Second Round,10,West Virginia,75,2,Cincinnati,74,1,WIN
1998,Elite Eight,2,Kentucky,86,1,Duke,84,2,WIN
1998,Second Round,6,UCLA,85,3,Michigan,82,3,WIN
1998,First Round,6,UCLA,65,11,Miami (Fla.),62,3,WIN
1998,First Round,2,Cincinnati,65,15,Northern Arizona,62,3,WIN
1998,Second Round,8,Rhode Island,80,1,Kansas,75,5,WIN
1998,Second Round,1,Duke,79,8,Oklahoma State,73,6,WIN
1998,Sweet 16,8,Rhode Island,74,13,Valparaiso,68,6,WIN
1998,Second Round,4,Maryland,67,5,Illinois,61,6,WIN
1998,Sweet 16,1,Arizona,87,4,Maryland,79,8,WIN
1998,First Round,6,Arkansas,74,11,Nebraska,65,9,WIN
1998,National Championship,2,Kentucky,78,3,Utah,69,9,WIN
1998,First Round,12,Florida State,96,5,TCU,87,9,WIN
1998,Second Round,1,North Carolina,93,8,Charlotte,83,10,WIN
1998,Elite Eight,1,North Carolina,75,2,Connecticut,64,11,WIN
1998,Second Round,4,Michigan State,63,5,Princeton,51,12,WIN
1998,First Round,4,Michigan State,83,13,Eastern Michigan,71,12,WIN
1998,First Round,5,Princeton,69,12,UNLV,57,12,WIN
1998,Sweet 16,1,Duke,80,5,Syracuse,67,13,WIN
1998,First Round,4,Maryland,82,13,Utah State,68,14,WIN
1998,Second Round,2,Purdue,80,10,Detroit,65,15,WIN
1998,First Round,8,Oklahoma State,74,9,George Washington,59,15,WIN
1998,Sweet 16,1,North Carolina,73,4,Michigan State,58,15,WIN
1998,First Round,2,Kentucky,82,15,South Carolina State,67,15,WIN
1998,First Round,3,Michigan,80,14,Davidson,61,19,WIN
1998,First Round,8,Rhode Island,97,9,Murray St.,74,23,WIN
1998,Sweet 16,2,Kentucky,94,6,UCLA,68,26,WIN
1998,Second Round,2,Kentucky,88,10,St. Louis,61,27,WIN
1998,First Round,10,West Virginia,82,7,Temple,52,30,WIN
1998,Second Round,1,Arizona,82,9,Illinois State,49,33,WIN
1998,First Round,1,Duke,99,16,Radford,63,36,WIN
1998,First Round,1,North Carolina,88,16,Navy,52,36,WIN
1998,First Round,2,Purdue,95,15,Delaware,56,39,WIN
1998,First Round,1,Arizona,99,16,Nicholls State,60,39,WIN
1998,First Round,1,Kansas,110,16,Prairie View,52,58,WIN
1999,First Round,16,Winthrop,41,1,Auburn,80,-39,LOSS
1999,First Round,16,Mount St. Mary's,53,1,Michigan State,76,-23,LOSS
1999,First Round,14,New Mexico State,60,3,Kentucky,82,-22,LOSS
1999,Sweet 16,10,Purdue,55,6,Temple,77,-22,LOSS
1999,Sweet 16,2,Maryland,62,3,St. John's,76,-14,LOSS
1999,Second Round,10,Creighton,63,2,Maryland,75,-12,LOSS
1999,First Round,7,Minnesota,63,10,Gonzaga,75,-12,LOSS
1999,First Round,5,Wisconsin,32,12,Missouri State,43,-11,LOSS
1999,First Round,12,Rhode Island,70,5,Charlotte,81,-11,LOSS
1999,Second Round,2,Miami (Fla.),63,10,Purdue,73,-10,LOSS
1999,Second Round,4,Arkansas,72,5,Iowa,82,-10,LOSS
1999,Second Round,3,Cincinnati,54,6,Temple,64,-10,LOSS
1999,Second Round,9,Oklahoma State,74,1,Auburn,81,-7,LOSS
1999,First Round,11,Kent State,54,6,Temple,61,-7,LOSS
1999,Elite Eight,3,Kentucky,66,1,Michigan State,73,-7,LOSS
1999,Final Four,1,Michigan State,62,1,Duke,68,-6,LOSS
1999,Elite Eight,10,Gonzaga,62,1,Connecticut,67,-5,LOSS
1999,Second Round,6,Kansas,88,3,Kentucky,92,-4,LOSS
1999,First Round,7,Louisville,58,10,Creighton,62,-4,LOSS
1999,National Championship,1,Duke,74,1,Connecticut,77,-3,LOSS
1999,First Round,5,UCLA,53,12,Detroit,56,-3,LOSS
1999,First Round,8,Villanova,70,9,Mississippi,72,-2,LOSS
1999,First Round,3,North Carolina,74,14,Weber State,76,-2,LOSS
1999,Sweet 16,6,Florida,72,10,Gonzaga,73,-1,LOSS
1999,First Round,4,Arizona,60,13,Oklahoma,61,-1,LOSS
1999,Sweet 16,10,Gonzaga,73,6,Florida,72,1,WIN
1999,First Round,10,Purdue,58,7,Texas,54,4,WIN
1999,First Round,10,Creighton,62,7,Louisville,58,4,WIN
1999,Second Round,3,Kentucky,92,6,Kansas,88,4,WIN
1999,Final Four,1,Duke,68,1,Michigan State,62,6,WIN
1999,Elite Eight,1,Michigan State,73,3,Kentucky,66,7,WIN
1999,Second Round,6,Florida,82,14,Weber State,74,8,WIN
1999,Sweet 16,1,Michigan State,54,13,Oklahoma,46,8,WIN
1999,Second Round,1,Michigan State,74,9,Mississippi,66,8,WIN
1999,First Round,9,Oklahoma State,69,8,Syracuse,61,8,WIN
1999,Second Round,10,Gonzaga,82,2,Stanford,74,8,WIN
