YEAR,ROUND,SEED,TEAM,SCORE,OPP_SEED,OPPONENT,OPP_SCORE,SCORE_DIFF,RESULT
1987,Sweet 16,5,Kansas,57,1,Georgetown,70,-13,LOSS
1987,First Round,12,Middle Tennessee State,71,5,Notre Dame,84,-13,LOSS
1987,Second Round,9,Michigan,97,1,North Carolina,109,-12,LOSS
1987,Second Round,4,UCLA,68,12,Wyoming,78,-10,LOSS
1987,First Round,10,Arizona,91,7,UTEP,98,-7,LOSS
1987,Sweet 16,6,Florida,81,2,Syracuse,87,-6,LOSS
1987,Sweet 16,5,Duke,82,1,Indiana,88,-6,LOSS
1987,Sweet 16,5,Notre Dame,68,1,North Carolina,74,-6,LOSS
1987,Second Round,13,Xavier,60,5,Duke,65,-5,LOSS
1987,First Round,5,Virginia,60,12,Wyoming,64,-4,LOSS
1987,Elite Eight,1,North Carolina,75,2,Syracuse,79,-4,LOSS
1987,First Round,11,Wichita State,55,6,St. John's,57,-2,LOSS
1987,First Round,7,West Virginia,62,10,Western Kentucky,64,-2,LOSS
1987,Second Round,5,Notre Dame,58,4,TCU,57,1,WIN
1987,First Round,13,Xavier,70,4,Missouri,69,1,WIN
1987,Second Round,6,Providence,90,14,Austin Peay,87,3,WIN
1987,First Round,9,Kansas State,82,8,Georgia,79,3,WIN
1987,First Round,7,New Orleans,83,10,Brigham Young,79,4,WIN
1987,First Round,7,New Orleans,83,10,Brigham Young,79,4,WIN
1987,Second Round,5,Kansas,67,13,Missouri State,63,4,WIN
1987,Second Round,5,Duke,65,13,Xavier,60,5,WIN
1987,Sweet 16,1,North Carolina,74,5,Notre Dame,68,6,WIN
1987,First Round,5,Duke,58,12,Texas A&M,51,7,WIN
1987,First Round,3,Purdue,104,14,Northeastern,95,9,WIN
1987,First Round,5,Kansas,66,12,Houston,55,11,WIN
1987,First Round,6,Florida,82,11,North Carolina State,70,12,WIN
1987,Second Round,1,North Carolina,109,9,Michigan,97,12,WIN
1987,First Round,5,Notre Dame,84,12,Middle Tennessee State,71,13,WIN
1987,Elite Eight,6,Providence,88,1,Georgetown,73,15,WIN
1987,First Round,9,Michigan,97,8,Navy,82,15,WIN
1987,Second Round,6,Florida,85,3,Purdue,66,19,WIN
1987,First Round,4,UCLA,92,13,Central Michigan,73,19,WIN
1987,Sweet 16,6,Providence,103,2,Alabama,82,21,WIN
1987,First Round,6,Providence,90,11,Alabama-Birmingham,68,22,WIN
1987,First Round,1,North Carolina,113,16,Penn,82,31,WIN
1988,Second Round,8,Seton Hall,55,1,Arizona,84,-29,LOSS
