1994,6,1,0,76,2,0,72,4,WIN
1985,2,9,0,65,1,0,68,-3,LOSS
1989,2,5,0,84,4,0,93,-9,LOSS
1992,2,3,0,80,6,0,82,-2,LOSS
1998,2,6,0,69,3,0,75,-6,LOSS
1999,2,4,0,72,5,0,82,-10,LOSS
2008,2,9,0,77,1,0,108,-31,LOSS
2015,2,5,0,78,4,0,87,-9,LOSS
1990,2,4,0,86,12,0,84,2,WIN
1991,2,1,0,97,8,0,90,7,WIN
1993,2,4,0,80,5,0,74,6,WIN
1994,2,1,0,85,9,0,73,12,WIN
1995,2,2,0,96,7,0,94,2,WIN
1996,2,12,0,65,4,0,56,9,WIN
1993,3,4,0,74,1,0,80,-6,LOSS
1996,3,12,0,63,1,0,79,-16,LOSS
1990,3,4,0,96,8,0,73,23,WIN
1991,3,1,0,93,4,0,70,23,WIN
1994,3,1,0,103,12,0,84,19,WIN
1995,3,2,0,96,6,0,91,5,WIN
1987,1,16,0,53,1,0,75,-22,LOSS
1989,1,15,0,81,2,0,104,-23,LOSS
2011,1,14,0,52,3,0,81,-29,LOSS
2013,1,11,0,56,6,0,68,-12,LOSS
2005,1,14,0,64,3,0,63,1,WIN
2006,1,9,0,59,8,0,55,4,WIN
2005,2,14,0,62,6,0,71,-9,LOSS
2006,2,9,0,56,1,0,72,-16,LOSS
2010,4,5,0,63,2,0,56,7,WIN
2011,4,8,0,74,2,0,71,3,WIN
2010,5,5,0,52,5,0,50,2,WIN
2011,5,8,0,70,11,0,62,8,WIN
1997,1,14,0,69,3,0,86,-17,LOSS
1998,1,13,0,62,4,0,79,-17,LOSS
2000,1,12,0,68,5,0,69,-1,LOSS
2009,1,9,0,71,8,0,75,-4,LOSS
2001,1,10,0,79,7,0,63,16,WIN
2003,1,12,0,47,5,0,46,1,WIN
2007,1,5,0,57,12,0,46,11,WIN
2008,1,7,0,81,10,0,61,20,WIN
2010,1,5,0,77,12,0,59,18,WIN
2011,1,8,0,60,9,0,58,2,WIN
2013,1,6,0,68,11,0,56,12,WIN
2015,1,6,0,56,11,0,48,8,WIN
2016,1,9,0,71,8,0,61,10,WIN
2010,6,5,0,59,1,0,61,-2,LOSS
2011,6,8,0,41,3,0,53,-12,LOSS
2001,2,10,0,52,2,0,73,-21,LOSS
2008,2,7,0,71,2,0,76,-5,LOSS
2013,2,6,0,72,3,0,74,-2,LOSS
2015,2,6,0,64,3,0,67,-3,LOSS
2016,2,9,0,69,1,0,77,-8,LOSS
2003,2,12,0,79,4,0,71,8,WIN
2007,2,5,0,62,4,0,59,3,WIN
2010,2,5,0,54,13,0,52,2,WIN
2011,2,8,0,71,1,0,70,1,WIN
2003,3,12,0,54,1,0,65,-11,LOSS
2007,3,5,0,57,1,0,65,-8,LOSS
2010,3,5,0,63,1,0,59,4,WIN
2011,3,8,0,61,4,0,54,7,WIN
1993,4,2,0,68,1,0,75,-7,LOSS
1996,4,2,0,63,5,0,73,-10,LOSS
1992,4,4,0,88,6,0,57,31,WIN
1992,5,4,0,72,6,0,76,-4,LOSS
1994,1,8,0,72,9,0,80,-8,LOSS
2003,1,8,0,69,9,0,74,-5,LOSS
2013,1,10,0,63,7,0,67,-4,LOSS
2014,1,5,0,57,12,0,61,-4,LOSS
2016,1,9,0,76,8,0,78,-2,LOSS
1992,1,4,0,85,13,0,47,38,WIN
1993,1,2,0,93,15,0,66,27,WIN
1995,1,7,0,77,10,0,71,6,WIN
1996,1,2,0,66,15,0,61,5,WIN
1997,1,3,0,86,14,0,69,17,WIN
1998,1,2,0,65,15,0,62,3,WIN
1999,1,3,0,72,14,0,48,24,WIN
2000,1,2,0,64,15,0,47,17,WIN
2001,1,5,0,84,12,0,59,25,WIN
2002,1,1,0,90,16,0,52,38,WIN
2004,1,4,0,80,13,0,77,3,WIN
2005,1,7,0,76,10,0,64,12,WIN
2011,1,6,0,78,11,0,63,15,WIN
2012,1,6,0,65,11,0,59,6,WIN
2015,1,8,0,66,9,0,65,1,WIN
1995,2,7,0,91,2,0,96,-5,LOSS
1997,2,3,0,66,6,0,67,-1,LOSS
1998,2,2,0,74,10,0,75,-1,LOSS
1999,2,3,0,54,6,0,64,-10,LOSS
2000,2,2,0,61,7,0,69,-8,LOSS
2002,2,1,0,101,8,0,105,-4,LOSS
2004,2,4,0,68,5,0,92,-24,LOSS
2005,2,7,0,60,2,0,69,-9,LOSS
2011,2,6,0,58,3,0,69,-11,LOSS
2015,2,8,0,51,1,0,64,-13,LOSS
1992,2,4,0,77,5,0,65,12,WIN
1993,2,2,0,92,7,0,55,37,WIN
1996,2,2,0,78,7,0,65,13,WIN
2001,2,5,0,66,13,0,43,23,WIN
2012,2,6,0,62,3,0,56,6,WIN
2001,3,5,0,65,1,0,78,-13,LOSS
2012,3,6,0,66,2,0,81,-15,LOSS
1992,3,4,0,69,9,0,67,2,WIN
1993,3,2,0,71,6,0,54,17,WIN
1996,3,2,0,87,3,0,70,17,WIN
1989,1,14,0,69,3,0,85,-16,LOSS
2000,1,10,0,69,7,0,72,-3,LOSS
2001,1,10,0,56,7,0,69,-13,LOSS
2003,1,6,0,73,11,0,79,-6,LOSS
2005,1,10,0,61,7,0,63,-2,LOSS
2007,1,10,0,71,7,0,77,-6,LOSS
1991,1,11,0,64,6,0,56,8,WIN
1999,1,10,0,62,7,0,58,4,WIN
2002,1,12,0,83,5,0,82,1,WIN
2012,1,8,0,58,9,0,57,1,WIN
2013,1,7,0,67,10,0,63,4,WIN
2014,1,3,0,76,14,0,66,10,WIN
1991,2,11,0,69,3,0,81,-12,LOSS
1999,2,10,0,63,2,0,75,-12,LOSS
2002,2,12,0,60,4,0,72,-12,LOSS
2012,2,8,0,73,1,0,87,-14,LOSS
2013,2,7,0,50,2,0,66,-16,LOSS
2014,2,3,0,55,6,0,85,-30,LOSS
2014,4,11,0,52,1,0,62,-10,LOSS
1985,1,9,0,49,8,0,51,-2,LOSS
2000,1,11,0,61,6,0,62,-1,LOSS
2003,1,4,0,71,13,0,84,-13,LOSS
2004,1,10,0,69,7,0,76,-7,LOSS
2016,1,7,0,51,10,0,70,-19,LOSS
1990,1,12,0,88,5,0,86,2,WIN
2009,1,11,0,68,6,0,60,8,WIN
2014,1,11,0,60,6,0,59,1,WIN
2015,1,11,0,66,6,0,53,13,WIN
2015,0,11,0,56,11,0,55,1,WIN
1990,2,12,0,84,4,0,86,-2,LOSS
2009,2,11,0,43,3,0,60,-17,LOSS
2015,2,11,0,66,3,0,72,-6,LOSS
2014,2,11,0,55,3,0,53,2,WIN
2014,3,11,0,82,10,0,72,10,WIN
1998,4,1,0,84,2,0,86,-2,LOSS
2013,4,2,0,63,1,0,85,-22,LOSS
1986,4,1,0,71,7,0,50,21,WIN
1988,4,2,0,63,1,0,53,10,WIN
1989,4,2,0,85,1,0,77,8,WIN
1990,4,3,0,79,1,0,78,1,WIN
1991,4,2,0,78,4,0,61,17,WIN
1992,4,1,0,104,2,0,103,1,WIN
1994,4,2,0,69,1,0,60,9,WIN
1999,4,1,0,85,6,0,64,21,WIN
2001,4,1,0,79,6,0,69,10,WIN
2004,4,1,0,66,7,0,63,3,WIN
2010,4,1,0,78,3,0,71,7,WIN
2015,4,1,0,66,2,0,52,14,WIN
1988,5,2,0,59,6,0,66,-7,LOSS
1989,5,2,0,78,3,0,95,-17,LOSS
2004,5,1,0,78,2,0,79,-1,LOSS
1986,5,1,0,71,1,0,67,4,WIN
1990,5,3,0,97,4,0,83,14,WIN
1991,5,2,0,79,1,0,77,2,WIN
1992,5,1,0,81,2,0,78,3,WIN
1994,5,2,0,70,3,0,65,5,WIN
1999,5,1,0,68,1,0,62,6,WIN
2001,5,1,0,95,3,0,84,11,WIN
2010,5,1,0,78,2,0,57,21,WIN
2015,5,1,0,81,7,0,61,20,WIN
1996,1,8,0,51,9,0,58,-7,LOSS
2007,1,6,0,77,11,0,79,-2,LOSS
2012,1,2,0,70,15,0,75,-5,LOSS
2014,1,3,0,71,14,0,78,-7,LOSS
1985,1,3,0,75,14,0,62,13,WIN
1986,1,1,0,85,16,0,78,7,WIN
1987,1,5,0,58,12,0,51,7,WIN
1988,1,2,0,85,15,0,69,16,WIN
1989,1,2,0,90,15,0,69,21,WIN
1990,1,3,0,81,14,0,46,35,WIN
1991,1,2,0,102,15,0,73,29,WIN
1992,1,1,0,82,16,0,56,26,WIN
1993,1,3,0,105,14,0,70,35,WIN
1994,1,2,0,82,15,0,70,12,WIN
1997,1,2,0,71,15,0,68,3,WIN
1998,1,1,0,99,16,0,63,36,WIN
1999,1,1,0,99,16,0,58,41,WIN
2000,1,1,0,85,16,0,55,30,WIN
2001,1,1,0,95,16,0,52,43,WIN
2002,1,1,0,84,16,0,37,47,WIN
2003,1,3,0,67,14,0,57,10,WIN
2004,1,1,0,96,16,0,61,35,WIN
2005,1,1,0,57,16,0,46,11,WIN
2006,1,1,0,70,16,0,54,16,WIN
2008,1,2,0,71,15,0,70,1,WIN
2009,1,2,0,86,15,0,62,24,WIN
2010,1,1,0,73,16,0,44,29,WIN
2011,1,1,0,87,16,0,45,42,WIN
2013,1,2,0,73,15,0,61,12,WIN
2015,1,1,0,85,16,0,56,29,WIN
2016,1,4,0,93,13,0,85,8,WIN
1986,6,1,0,69,2,0,72,-3,LOSS
1990,6,3,0,73,1,0,103,-30,LOSS
1994,6,2,0,72,1,0,76,-4,LOSS
1999,6,1,0,74,1,0,77,-3,LOSS
1991,6,2,0,72,3,0,65,7,WIN
1992,6,1,0,71,6,0,51,20,WIN
2001,6,1,0,82,2,0,72,10,WIN
2010,6,1,0,61,5,0,59,2,WIN
2015,6,1,0,68,1,0,63,5,WIN
1985,2,3,0,73,11,0,74,-1,LOSS
1993,2,3,0,77,6,0,82,-5,LOSS
1997,2,2,0,87,10,0,98,-11,LOSS
2008,2,2,0,67,7,0,73,-6,LOSS
1986,2,1,0,89,8,0,61,28,WIN
1987,2,5,0,65,13,0,60,5,WIN
